"","x"
"1",62597
"2",2538
"3",718
"4",961
"5",201
"6",127
"7",1336
"8",213
"9",97
"10",122
"11",591
"12",2525
"13",320
"14",1111
"15",594
"16",211
"17",962
"18",93
"19",155
"20",1026
"21",69
"22",862
"23",654
"24",207
"25",57
"26",71
"27",8807
"28",5
"29",12
"30",548
"31",378
"32",90
"33",248
"34",219
"35",973
"36",690
"37",109
"38",184
"39",188
"40",87
"41",1712
"42",136
"43",415
"44",2528
"45",1695
"46",52
"47",1097
"48",52
"49",121
"50",767
"51",6546
"52",1730
"53",213
"54",162
"55",86
"56",1871
"57",13
"58",44
"59",2187
"60",1090
"61",186
"62",1678
"63",275
"64",129
"65",596
"66",369
"67",242
"68",169
"69",3390
"70",1263
"71",3390
"72",344
"73",402
"74",125
"75",94
"76",6
"77",973
"78",159
"79",134
"80",632
"81",134
"82",48
"83",2
"84",79
"85",151
"86",3578
"87",816
"88",490
"89",321
"90",72
"91",95
"92",508
"93",202
"94",14531
"95",1199
"96",943
"97",64
"98",695
"99",11321
"100",1107
"101",380
"102",80
"103",798
"104",2376
"105",262
"106",93
"107",20
"108",64
"109",107
"110",3834
"111",245
"112",180
"113",3552
"114",1453
"115",161
"116",708
"117",2056
"118",1200
"119",2719
"120",341
"121",538
"122",28
"123",285
"124",6
"125",129
"126",300
"127",280
"128",137
"129",406
"130",350
"131",206
"132",51
"133",107
"134",151
"135",116
"136",39
"137",23
"138",697
"139",230
"140",175
"141",12
"142",121
"143",145
"144",479
"145",154
"146",111
"147",174
"148",229
"149",27
"150",149
"151",174
"152",21
"153",1101
"154",989
"155",160
"156",238
"157",1143
"158",66
"159",289
"160",4394
"161",37
"162",112
"163",62
"164",664
"165",1163
"166",724
"167",284
"168",1138
"169",298
"170",2666
"171",23
"172",237
"173",1277
"174",143
"175",33
"176",70
"177",265
"178",1712
"179",333
"180",673
"181",40
"182",446
"183",1709
"184",132
"185",73
"186",139
"187",152
"188",158
"189",907
"190",299
"191",633
"192",325
"193",2161
"194",870
"195",172
"196",1098
"197",159
"198",889
"199",53
"200",556
"201",232
"202",2940
"203",442
"204",182
"205",37
"206",176
"207",15
"208",392
"209",169
"210",1
"211",482
"212",977
"213",16
"214",77
"215",158
"216",156
"217",27
"218",44
"219",2388
"220",3015
"221",1250
"222",1944
"223",129
"224",166
"225",62
"226",105
"227",108
"228",18
"229",92
"230",1456
"231",207
"232",68
"233",905
"234",449
"235",842
"236",78
"237",413
"238",1433
"239",718
"240",293
"241",1002
"242",149
"243",167
"244",71
"245",301
"246",254
"247",36
"248",103
"249",29
"250",26
"251",144
"252",79
"253",470
"254",39
"255",99
"256",604
"257",10
"258",1030
"259",125
"260",74
"261",300
"262",92
"263",20
"264",108
"265",136
"266",96
"267",77
"268",112
"269",275
"270",13
"271",89
"272",175
"273",16
"274",35
"275",173
"276",83
"277",5
"278",46
"279",107
"280",1054
"281",173
"282",306
"283",37
"284",79
"285",111
"286",105
"287",232
"288",36
"289",167
"290",80
"291",445
"292",4
"293",69
"294",272
"295",128
"296",25
"297",254
"298",10
"299",118
"300",172
"301",4
"302",8
"303",151
"304",109
"305",22
"306",279
"307",166
"308",34
"309",215
"310",138
"311",213
"312",161
"313",90
"314",197
"315",136
"316",94
"317",135
"318",202
"319",27
"320",15
"321",248
"322",14
"323",128
"324",87
"325",32
"326",66
"327",50
"328",158
"329",26
"330",57
"331",120
"332",283
"333",521
"334",144
"335",100
"336",49
"337",640
"338",57
"339",144
"340",314
"341",250
"342",722
"343",82
"344",55
"345",60
"346",28
"347",169
"348",192
"349",35
"350",6
"351",174
"352",115
"353",88
"354",113
"355",163
"356",181
"357",84
"358",57
"359",7
"360",205
"361",55
"362",190
"363",15
"364",392
"365",116
"366",50
"367",62
"368",103
"369",35
"370",278
"371",469
"372",77
"373",148
"374",10
"375",42
"376",169
"377",80
"378",39
"379",21
"380",106
"381",142
"382",55
"383",190
"384",43
"385",84
"386",28
"387",13
"388",126
"389",138
"390",485
"391",216
"392",188
"393",154
"394",39
"395",109
"396",128
"397",84
"398",78
"399",62
"400",45
"401",72
"402",305
"403",38
"404",18
"405",137
"406",3
"407",117
"408",178
"409",64
"410",56
"411",12
"412",3
"413",4
"414",71
