"","x"
"1",3897
"2",528
"3",187
"4",279
"5",1447
"6",43
"7",499
"8",395
"9",200
"10",46
"11",146
"12",24504
"13",4213
"14",556
"15",1264
"16",98
"17",342
"18",3970
"19",202
"20",19
"21",559
"22",6119
"23",17791
"24",426
"25",131
"26",1334
"27",291
"28",1626
"29",240
"30",768
"31",295
"32",359
"33",171
"34",13188
"35",598
"36",623
"37",482
"38",626
"39",2257
"40",607
"41",8
"42",3571
"43",281
"44",1269
"45",114
"46",1023
"47",594
"48",739
"49",830
"50",1719
"51",268
"52",1155
"53",1268
"54",241
"55",101
"56",378
"57",18
"58",209
"59",7
"60",300
"61",56
"62",485
"63",688
"64",460
"65",546
"66",203
"67",68
"68",331
"69",168
"70",44
"71",5
"72",349
"73",193
"74",1690
"75",2539
"76",292
"77",4
"78",193
"79",362
"80",499
"81",120
"82",414
"83",1907
"84",91
"85",186
"86",3494
"87",1230
"88",955
"89",117
"90",121
"91",74
"92",148
"93",198
"94",58
"95",68
"96",69
"97",210
"98",340
"99",876
"100",1079
"101",193
"102",103
"103",349
"104",29
"105",1045
"106",115
"107",311
"108",5
"109",42
"110",123
"111",59
"112",186
"113",301
"114",178
"115",231
"116",82
"117",245
"118",196
"119",226
"120",6
"121",550
"122",253
"123",1412
"124",145
"125",187
"126",399
"127",1136
"128",9301
"129",102
"130",83
"131",185
"132",157
"133",332
"134",83
"135",453
"136",57
"137",39
"138",118
"139",128
"140",521
"141",70
"142",1259
"143",423
"144",385
"145",259
"146",669
"147",596
"148",2
"149",737
"150",535
"151",260
"152",16
"153",696
"154",408
"155",802
"156",671
"157",268
"158",24
"159",80
"160",602
"161",168
"162",240
"163",66
"164",155
"165",48
"166",33
"167",443
"168",558
"169",5
"170",65
"171",34
"172",783
"173",271
"174",76
"175",2932
"176",188
"177",684
"178",802
"179",599
"180",230
"181",2
"182",3523
"183",371
"184",111
"185",358
"186",81
"187",81
"188",188
"189",416
"190",146
"191",575
"192",21
"193",260
"194",14
"195",5
"196",10
"197",24
"198",8
"199",2207
"200",1083
"201",1683
"202",215
"203",4
"204",35
"205",4
"206",189
"207",1436
"208",382
"209",46
"210",140
"211",44
"212",126
"213",19
"214",2
"215",15
"216",1959
"217",148
"218",716
"219",216
"220",513
"221",168
"222",162
"223",75
"224",165
"225",1140
"226",521
"227",770
"228",269
"229",2261
"230",104
"231",489
"232",306
"233",215
"234",492
"235",398
"236",71
"237",56
"238",199
"239",193
"240",104
"241",382
"242",333
"243",190
"244",40
"245",272
"246",843
"247",207
"248",267
"249",54
"250",116
"251",1221
"252",2250
"253",154
"254",227
"255",99
"256",112
"257",240
"258",14
"259",31
"260",363
"261",63
"262",259
"263",217
"264",23
"265",1132
"266",272
"267",116
"268",1244
"269",215
"270",175
"271",1
"272",779
"273",513
"274",425
"275",1689
"276",185
"277",211
"278",1356
"279",170
"280",285
"281",123
"282",275
"283",57
"284",95
"285",404
"286",1043
"287",60
"288",87
"289",203
"290",314
"291",96
"292",109
"293",144
"294",215
"295",157
"296",433
"297",52
"298",117
"299",118
"300",97
"301",141
"302",297
"303",24
"304",224
"305",88
"306",97
"307",21
"308",168
"309",261
"310",7
"311",104
"312",171
"313",46
"314",35
"315",84
"316",58
"317",4
"318",1
"319",13
"320",152
"321",3
"322",313
"323",130
"324",112
"325",259
"326",331
"327",190
"328",19
"329",198
"330",159
"331",135
"332",877
"333",100
"334",318
"335",195
"336",175
"337",54
"338",44
"339",39
"340",9
"341",138
"342",48
"343",365
"344",8
"345",915
"346",98
"347",183
"348",97
"349",421
"350",30
"351",70
"352",102
"353",45
"354",141
"355",141
"356",161
"357",25
"358",223
"359",63
"360",247
"361",1448
"362",106
"363",28
"364",120
"365",61
"366",201
"367",148
"368",10
"369",160
"370",42
"371",15
"372",47
"373",47
"374",1360
"375",92
"376",285
"377",455
"378",144
"379",109
"380",76
"381",60
"382",98
"383",122
"384",1057
"385",167
"386",49
"387",168
"388",474
"389",155
"390",91
"391",460
"392",336
"393",136
"394",75
"395",127
"396",92
"397",81
"398",271
"399",15
"400",264
"401",27
"402",11
"403",11
"404",48
"405",48
"406",299
"407",489
"408",208
"409",97
"410",92
"411",70
"412",57
"413",186
"414",221
"415",559
"416",166
"417",97
"418",90
"419",130
"420",103
"421",46
"422",151
"423",1080
"424",20
"425",12
"426",16
"427",142
"428",164
"429",240
"430",81
"431",238
"432",42
"433",85
"434",246
"435",1156
"436",118
"437",153
"438",1156
"439",218
"440",103
"441",25
"442",190
"443",73
"444",231
"445",98
"446",166
"447",361
"448",107
"449",154
"450",184
"451",58
"452",133
