"","x"
"1",1266
"2",655
"3",1177
"4",7624
"5",973
"6",2092
"7",295
"8",130
"9",88
"10",43545
"11",300
"12",4035
"13",2976
"14",687
"15",1987
"16",126
"17",43
"18",174
"19",163
"20",1095
"21",118
"22",1237
"23",3571
"24",2138
"25",1807
"26",134
"27",233
"28",887
"29",3900
"30",376
"31",271
"32",649
"33",1497
"34",672
"35",852
"36",4526
"37",163
"38",1050
"39",196
"40",165
"41",194
"42",180
"43",4870
"44",867
"45",512
"46",5431
"47",5699
"48",1033
"49",1602
"50",7
"51",3
"52",577
"53",127
"54",363
"55",71
"56",285
"57",92
"58",207
"59",535
"60",3392
"61",874
"62",1969
"63",733
"64",129
"65",75
"66",174
"67",185
"68",132
"69",641
"70",81
"71",1
"72",645
"73",2444
"74",546
"75",74
"76",100
"77",229
"78",30
"79",83
"80",185
"81",91
"82",4705
"83",84
"84",872
"85",96
"86",148
"87",52
"88",199
"89",293
"90",236
"91",467
"92",3220
"93",8223
"94",329
"95",47
"96",191
"97",357
"98",1865
"99",822
"100",606
"101",163
"102",18
"103",16
"104",222
"105",69
"106",3399
"107",1588
"108",546
"109",811
"110",619
"111",154
"112",879
"113",639
"114",532
"115",86
"116",56
"117",322
"118",142
"119",470
"120",76
"121",67
"122",679
"123",1077
"124",5
"125",282
"126",811
"127",270
"128",172
"129",254
"130",68
"131",547
"132",170
"133",1545
"134",581
"135",79
"136",2169
"137",899
"138",192
"139",11
"140",184
"141",1286
"142",323
"143",772
"144",1
"145",35
"146",33
"147",8
"148",138
"149",67
"150",194
"151",102
"152",192
"153",1
"154",5
"155",304
"156",824
"157",369
"158",388
"159",398
"160",389
"161",155
"162",132
"163",74
"164",718
"165",773
"166",647
"167",276
"168",293
"169",90
"170",183
"171",86
"172",46
"173",41
"174",314
"175",158
"176",1047
"177",218
"178",426
"179",380
"180",1075
"181",121
"182",119
"183",229
"184",405
"185",372
"186",204
"187",1187
"188",6075
"189",1284
"190",444
"191",178
"192",52
"193",89
"194",261
"195",89
"196",2343
"197",1347
"198",127
"199",361
"200",138
"201",207
"202",183
"203",763
"204",44
"205",71
"206",635
"207",1771
"208",439
"209",2252
"210",359
"211",2420
"212",997
"213",1175
"214",293
"215",21
"216",152
"217",194
"218",221
"219",855
"220",213
"221",72
"222",194
"223",492
"224",995
"225",259
"226",1336
"227",45
"228",176
"229",25
"230",3
"231",1809
"232",178
"233",66
"234",77
"235",106
"236",1
"237",471
"238",864
"239",162
"240",17
"241",137
"242",1315
"243",142
"244",277
"245",72
"246",50
"247",173
"248",9
"249",100
"250",378
"251",187
"252",47
"253",136
"254",265
"255",160
"256",78
"257",286
"258",180
"259",1493
"260",793
"261",350
"262",457
"263",217
"264",432
"265",413
"266",230
"267",45
"268",73
"269",181
"270",280
"271",45
"272",95
"273",300
"274",177
"275",128
"276",4
"277",463
"278",32
"279",552
"280",85
"281",98
"282",92
"283",267
"284",333
"285",358
"286",793
"287",90
"288",69
"289",313
"290",866
"291",349
"292",349
"293",369
"294",23
"295",100
"296",31
"297",84
"298",3
"299",85
"300",119
"301",140
"302",124
"303",166
"304",426
"305",147
"306",49
"307",99
"308",427
"309",326
"310",28
"311",1
"312",372
"313",353
"314",8
"315",455
"316",205
"317",148
"318",12
"319",302
"320",49
"321",136
"322",144
"323",240
"324",26
"325",77
"326",85
"327",101
"328",7
"329",20
"330",138
"331",89
"332",168
"333",32
"334",77
"335",116
"336",139
"337",53
"338",142
"339",276
"340",39
"341",70
"342",114
"343",21
"344",48
"345",292
"346",111
"347",141
"348",94
"349",65
"350",10
"351",179
"352",94
"353",80
"354",89
"355",186
"356",66
"357",390
"358",155
"359",160
"360",183
"361",93
"362",2
"363",232
"364",131
"365",162
"366",171
"367",325
"368",71
"369",139
"370",116
"371",20
"372",229
"373",129
"374",16
"375",369
"376",54
"377",15
"378",190
"379",178
"380",104
"381",564
"382",50
"383",218
"384",152
"385",190
"386",333
"387",122
"388",167
"389",13
"390",52
"391",54
"392",107
"393",161
"394",62
"395",86
"396",479
"397",62
"398",289
"399",78
"400",141
"401",236
"402",70
"403",14
"404",8
"405",131
"406",150
"407",61
"408",219
"409",8
"410",142
"411",150
"412",51
"413",64
"414",160
"415",62
"416",107
"417",363
"418",149
"419",184
"420",69
"421",85
"422",256
"423",43
"424",142
"425",51
"426",94
"427",113
"428",139
"429",158
"430",21
"431",143
"432",81
"433",86
"434",51
"435",303
"436",157
"437",173
"438",29
"439",173
"440",79
