"","x"
"1",9716
"2",2407
"3",293
"4",3002
"5",5597
"6",675
"7",15550
"8",2230
"9",686
"10",1008
"11",5701
"12",1349
"13",9352
"14",1682
"15",727
"16",87
"17",547
"18",87
"19",576
"20",34
"21",61
"22",448
"23",376
"24",30
"25",4012
"26",885
"27",1093
"28",1808
"29",601
"30",725
"31",3611
"32",644
"33",3476
"34",3301
"35",3
"36",956
"37",563
"38",97
"39",1046
"40",256
"41",1309
"42",4446
"43",67
"44",2064
"45",234
"46",201
"47",419
"48",171
"49",2687
"50",2128
"51",1489
"52",4819
"53",924
"54",577
"55",148
"56",635
"57",1278
"58",1446
"59",1472
"60",25
"61",1518
"62",192
"63",342
"64",118
"65",129
"66",148
"67",261
"68",1868
"69",490
"70",220
"71",12
"72",174
"73",265
"74",234
"75",342
"76",541
"77",41
"78",5097
"79",1545
"80",194
"81",510
"82",92
"83",180
"84",240
"85",175
"86",4060
"87",1008
"88",832
"89",1071
"90",436
"91",397
"92",312
"93",81
"94",4662
"95",6
"96",455
"97",25
"98",91
"99",227
"100",132
"101",462
"102",1144
"103",101
"104",88
"105",90
"106",415
"107",218
"108",365
"109",1176
"110",811
"111",499
"112",86
"113",346
"114",126
"115",457
"116",243
"117",255
"118",100
"119",362
"120",44
"121",343
"122",65
"123",312
"124",131
"125",613
"126",444
"127",248
"128",465
"129",1195
"130",439
"131",370
"132",1242
"133",451
"134",131
"135",28
"136",103
"137",29
"138",136
"139",1327
"140",269
"141",762
"142",131
"143",168
"144",69
"145",97
"146",119
"147",266
"148",4269
"149",160
"150",654
"151",1806
"152",522
"153",11
"154",70
"155",21
"156",26482
"157",6359
"158",1502
"159",894
"160",1187
"161",2323
"162",2084
"163",185
"164",38
"165",2346
"166",2870
"167",1560
"168",1607
"169",988
"170",195
"171",1193
"172",2359
"173",107
"174",848
"175",147
"176",318
"177",65
"178",784
"179",171
"180",293
"181",209
"182",348
"183",708
"184",667
"185",89
"186",127
"187",134
"188",87
"189",132
"190",136
"191",63
"192",157
"193",190
"194",125
"195",89
"196",135
"197",368
"198",128
"199",224
"200",3957
"201",971
"202",443
"203",85
"204",979
"205",1596
"206",175
"207",88
"208",462
"209",535
"210",666
"211",43
"212",78
"213",107
"214",444
"215",62
"216",42
"217",65
"218",16
"219",132
"220",43
"221",65
"222",109
"223",14
"224",287
"225",294
"226",262
"227",176
"228",224
"229",83
"230",40
"231",353
"232",101
"233",142
"234",460
"235",701
"236",93
"237",560
"238",174
"239",240
"240",278
"241",68
"242",1134
"243",114
"244",143
"245",209
"246",138
"247",47
"248",343
"249",156
"250",34
"251",142
"252",623
"253",212
"254",233
"255",376
"256",114
"257",938
"258",12
"259",537
"260",182
"261",32
"262",45
"263",39
"264",724
"265",355
"266",200
"267",441
"268",230
"269",803
"270",63
"271",91
"272",94
"273",57
"274",128
"275",109
"276",803
"277",47
"278",69
"279",475
"280",305
"281",81
"282",86
"283",411
"284",25
"285",22
"286",136
"287",60
"288",352
"289",342
"290",162
"291",34
"292",48
"293",59
"294",57
"295",27
"296",172
"297",185
"298",399
"299",540
"300",78
"301",259
"302",25
"303",173
"304",735
"305",157
"306",287
"307",690
"308",511
"309",94
"310",58
"311",76
"312",359
"313",117
"314",43
"315",280
"316",143
"317",133
"318",165
"319",125
"320",170
"321",356
"322",180
"323",3
