"","x"
"1",13008
"2",1138
"3",1103
"4",517
"5",2258
"6",235
"7",1167
"8",272
"9",326
"10",14865
"11",5093
"12",304
"13",1123
"14",1189
"15",162
"16",1116
"17",2042
"18",1368
"19",4119
"20",621
"21",558
"22",531
"23",1212
"24",2250
"25",1982
"26",1670
"27",153
"28",336
"29",7734
"30",182
"31",61
"32",472
"33",232
"34",215
"35",330
"36",2147
"37",685
"38",561
"39",330
"40",98
"41",371
"42",217
"43",84
"44",124
"45",448
"46",577
"47",579
"48",38
"49",907
"50",147
"51",1782
"52",1319
"53",1894
"54",23
"55",24
"56",2119
"57",710
"58",130
"59",373
"60",104
"61",616
"62",273
"63",1247
"64",326
"65",10
"66",19
"67",679
"68",989
"69",45
"70",889
"71",1198
"72",617
"73",678
"74",254
"75",1325
"76",490
"77",262
"78",40
"79",500
"80",310
"81",224
"82",445
"83",1280
"84",148
"85",147
"86",136
"87",99
"88",211
"89",251
"90",9029
"91",117
"92",30
"93",350
"94",204
"95",148
"96",868
"97",1431
"98",159
"99",749
"100",380
"101",1187
"102",568
"103",166
"104",627
"105",1026
"106",50
"107",13
"108",2340
"109",137
"110",1449
"111",1539
"112",573
"113",790
"114",1580
"115",4
"116",25
"117",56
"118",311
"119",675
"120",621
"121",187
"122",83
"123",1101
"124",398
"125",325
"126",429
"127",766
"128",108
"129",1264
"130",38
"131",354
"132",121
"133",6
"134",80
"135",119
"136",125
"137",14
"138",287
"139",1373
"140",663
"141",1040
"142",128
"143",209
"144",107
"145",1620
"146",634
"147",88
"148",475
"149",318
"150",240
"151",333
"152",25
"153",457
"154",149
"155",506
"156",6713
"157",1151
"158",223
"159",165
"160",138
"161",211
"162",412
"163",1096
"164",275
"165",391
"166",989
"167",123
"168",560
"169",334
"170",254
"171",217
"172",1353
"173",9
"174",224
"175",238
"176",75
"177",359
"178",54
"179",328
"180",7
"181",301
"182",411
"183",250
"184",380
"185",154
"186",924
"187",698
"188",109
"189",2333
"190",135
"191",893
"192",1429
"193",246
"194",62
"195",62
"196",393
"197",131
"198",891
"199",205
"200",281
"201",226
"202",151
"203",276
"204",22
"205",114
"206",630
"207",338
"208",47
"209",22
"210",5582
"211",804
"212",271
"213",389
"214",394
"215",1105
"216",1510
"217",934
"218",89
"219",545
"220",413
"221",602
"222",644
"223",151
"224",54
"225",421
"226",261
"227",176
"228",63
"229",16
"230",3510
"231",729
"232",546
"233",2543
"234",41
"235",602
"236",560
"237",198
"238",21
"239",125
"240",218
"241",1408
"242",150
"243",2297
"244",652
"245",168
"246",29
"247",6
"248",1577
"249",1769
"250",399
"251",38
"252",255
"253",662
"254",350
"255",363
"256",95
"257",459
"258",13
"259",2316
"260",239
"261",331
"262",97
"263",57
"264",267
"265",108
"266",6
"267",2
"268",811
"269",403
"270",353
"271",367
"272",229
"273",596
"274",336
"275",83
"276",293
"277",18
"278",497
"279",365
"280",141
"281",25
"282",167
"283",83
"284",86
"285",312
"286",187
"287",118
"288",95
"289",643
"290",249
"291",131
"292",44
"293",73
"294",151
"295",36
"296",10
"297",2
"298",23
"299",287
"300",22
"301",622
"302",55
"303",128
"304",189
"305",363
"306",224
"307",91
"308",219
"309",282
"310",107
"311",331
"312",641
"313",280
"314",93
"315",40
"316",185
"317",179
"318",126
"319",64
"320",248
"321",22
"322",104
"323",23
"324",210
"325",76
"326",69
"327",74
"328",43
"329",99
"330",202
"331",763
"332",324
"333",73
"334",210
"335",905
"336",427
"337",39
"338",39
"339",97
"340",119
"341",217
"342",133
"343",406
"344",33
"345",84
"346",34
"347",119
"348",34
"349",49
"350",83
"351",486
"352",117
"353",409
"354",11
"355",164
"356",11
"357",73
"358",53
"359",275
"360",116
"361",305
"362",64
"363",4
"364",253
"365",139
"366",77
"367",60
"368",150
"369",213
"370",176
"371",65
"372",346
"373",26
"374",124
"375",108
"376",29
"377",139
"378",53
"379",222
"380",139
"381",860
"382",199
"383",108
"384",101
"385",206
"386",19
"387",70
"388",307
"389",224
"390",126
"391",8
"392",91
"393",11
"394",128
"395",406
"396",83
"397",305
"398",677
"399",75
"400",320
"401",56
"402",111
"403",210
"404",85
"405",88
"406",72
"407",231
"408",21
"409",82
"410",22
"411",13
"412",35
"413",708
"414",171
"415",53
"416",26
"417",84
"418",617
"419",56
"420",145
"421",52
"422",70
"423",111
"424",19
"425",46
"426",323
"427",55
"428",349
"429",140
"430",98
"431",395
"432",248
"433",25
"434",236
"435",211
"436",52
"437",68
"438",619
"439",244
"440",271
"441",261
"442",213
"443",100
"444",209
"445",37
"446",253
"447",246
"448",214
"449",518
"450",57
"451",68
"452",312
"453",81
"454",775
"455",118
"456",311
"457",68
"458",104
"459",105
"460",70
