"","x"
"1",8931
"2",9770
"3",1575
"4",389
"5",730
"6",699
"7",641
"8",815
"9",150
"10",368
"11",438
"12",1576
"13",2253
"14",151
"15",285
"16",2983
"17",1111
"18",151
"19",2239
"20",1132
"21",102
"22",66
"23",63
"24",460
"25",736
"26",42
"27",59
"28",7
"29",126
"30",377
"31",37
"32",797
"33",1569
"34",161
"35",369
"36",1019
"37",53
"38",128
"39",988
"40",491
"41",198
"42",431
"43",185
"44",95
"45",429
"46",87
"47",292
"48",273
"49",383
"50",32
"51",2295
"52",1200
"53",12798
"54",982
"55",55
"56",482
"57",1230
"58",89
"59",35
"60",401
"61",1698
"62",929
"63",80
"64",63
"65",238
"66",182
"67",1554
"68",56
"69",321
"70",541
"71",62
"72",323
"73",199
"74",26
"75",607
"76",157
"77",539
"78",50
"79",205
"80",363
"81",401
"82",347
"83",454
"84",729
"85",837
"86",274
"87",104
"88",110
"89",140
"90",12
"91",1374
"92",82
"93",357
"94",187
"95",229
"96",581
"97",111
"98",81
"99",60
"100",401
"101",184
"102",619
"103",200
"104",255
"105",15379
"106",1075
"107",4570
"108",966
"109",350
"110",51
"111",229
"112",413
"113",1076
"114",1642
"115",1214
"116",1140
"117",41
"118",91
"119",141
"120",132
"121",215
"122",33
"123",118
"124",704
"125",1736
"126",64
"127",544
"128",157
"129",106
"130",197
"131",119
"132",13
"133",49362
"134",286
"135",903
"136",286
"137",56
"138",109
"139",3222
"140",314
"141",1174
"142",400
"143",2597
"144",3834
"145",2169
"146",256
"147",1330
"148",491
"149",243
"150",43
"151",145
"152",78
"153",760
"154",188
"155",3197
"156",1697
"157",88
"158",369
"159",202
"160",404
"161",3961
"162",6
"163",482
"164",65
"165",1198
"166",4409
"167",145
"168",592
"169",1065
"170",3160
"171",118
"172",92
"173",112
"174",222
"175",104
"176",382
"177",1467
"178",90
"179",198
"180",1720
"181",126
"182",77
"183",380
"184",546
"185",1600
"186",230
"187",284
"188",1935
"189",774
"190",132
"191",274
"192",269
"193",546
"194",901
"195",525
"196",941
"197",146
"198",178
"199",923
"200",141
"201",1
"202",433
"203",644
"204",185
"205",88
"206",100
"207",65
"208",381
"209",1450
"210",297
"211",66
"212",159
"213",160
"214",182
"215",225
"216",498
"217",47
"218",331
"219",301
"220",195
"221",125
"222",37
"223",294
"224",155
"225",1215
"226",398
"227",491
"228",245
"229",138
"230",50
"231",477
"232",28
"233",239
"234",247
"235",456
"236",129
"237",131
"238",99
"239",10
"240",1534
"241",1899
"242",19
"243",317
"244",6
"245",85
"246",353
"247",123
"248",2272
"249",2546
"250",289
"251",361
"252",326
"253",389
"254",136
"255",694
"256",177
"257",155
"258",1443
"259",422
"260",343
"261",299
"262",1123
"263",708
"264",246
"265",54
"266",2288
"267",717
"268",12
"269",50
"270",38
"271",2116
"272",289
"273",457
"274",745
"275",244
"276",653
"277",70
"278",184
"279",317
"280",7
"281",1207
"282",287
"283",282
"284",387
"285",666
"286",313
"287",571
"288",99
"289",115
"290",270
"291",793
"292",6
"293",140
"294",258
"295",4621
"296",394
"297",740
"298",73
"299",681
"300",659
"301",170
"302",391
"303",1750
"304",730
"305",523
"306",571
"307",260
"308",1506
"309",112
"310",7
"311",270
"312",58
"313",191
"314",814
"315",490
"316",177
"317",252
"318",18
"319",153
"320",1046
"321",15
"322",14
"323",183
"324",71
"325",449
"326",512
"327",482
"328",8
"329",14
"330",79
"331",82
"332",80
"333",111
"334",34
"335",108
"336",44
"337",315
"338",24
"339",43
"340",26
"341",114
"342",165
"343",52
"344",61
"345",162
"346",338
"347",872
"348",54
"349",287
"350",270
"351",76
"352",146
"353",83
"354",15
"355",129
"356",24
"357",245
"358",199
"359",53
"360",149
"361",154
"362",703
"363",185
"364",73
"365",474
"366",119
"367",365
"368",207
"369",78
"370",17
"371",16
"372",346
"373",226
"374",172
"375",102
"376",75
"377",90
"378",55
"379",362
"380",182
"381",238
"382",33
"383",112
"384",178
"385",136
"386",17
"387",281
"388",45
"389",18
"390",23
"391",32
"392",9
"393",51
"394",129
"395",184
"396",225
"397",187
"398",187
"399",159
"400",180
"401",196
"402",393
"403",419
"404",204
"405",64
"406",458
"407",599
"408",205
"409",399
"410",208
"411",28
"412",57
"413",69
"414",283
"415",251
"416",180
"417",308
"418",160
"419",23
"420",74
"421",33
"422",74
"423",173
"424",314
"425",146
"426",57
"427",64
"428",10
"429",29
"430",98
"431",144
"432",108
"433",214
"434",68
"435",144
"436",158
