"","x"
"1",26387
"2",2480
"3",1961
"4",1782
"5",344
"6",384
"7",2331
"8",1947
"9",136
"10",751
"11",208
"12",507
"13",988
"14",18243
"15",1286
"16",447
"17",225
"18",155
"19",56
"20",2765
"21",319
"22",132
"23",44
"24",451
"25",52
"26",174
"27",220
"28",3976
"29",645
"30",44
"31",1235
"32",169
"33",303
"34",175
"35",413
"36",61
"37",44
"38",531
"39",1401
"40",1619
"41",60
"42",482
"43",895
"44",267
"45",135
"46",11
"47",254
"48",35
"49",78
"50",577
"51",292
"52",111
"53",879
"54",43
"55",1262
"56",2665
"57",781
"58",88
"59",233
"60",114
"61",240
"62",817
"63",104
"64",69
"65",18
"66",1200
"67",455
"68",770
"69",2435
"70",3939
"71",393
"72",873
"73",77
"74",998
"75",1358
"76",507
"77",630
"78",429
"79",232
"80",207
"81",139
"82",70
"83",146
"84",1834
"85",44
"86",297
"87",12
"88",146
"89",1219
"90",200
"91",267
"92",336
"93",2515
"94",27
"95",2
"96",1391
"97",245
"98",501
"99",309
"100",108
"101",1857
"102",170
"103",300
"104",654
"105",513
"106",261
"107",498
"108",456
"109",6198
"110",67
"111",492
"112",456
"113",1986
"114",81
"115",1244
"116",52
"117",23
"118",321
"119",297
"120",170
"121",436
"122",5992
"123",157
"124",125
"125",324
"126",272
"127",789
"128",611
"129",530
"130",356
"131",157
"132",263
"133",1806
"134",283
"135",510
"136",12
"137",80
"138",451
"139",731
"140",134
"141",731
"142",123
"143",655
"144",157
"145",742
"146",420
"147",416
"148",414
"149",230
"150",554
"151",70
"152",483
"153",2307
"154",585
"155",1134
"156",233
"157",591
"158",403
"159",251
"160",301
"161",1476
"162",30
"163",672
"164",14
"165",191
"166",402
"167",42
"168",36
"169",294
"170",158
"171",7
"172",235
"173",838
"174",1517
"175",452
"176",270
"177",262
"178",822
"179",890
"180",136
"181",118
"182",645
"183",218
"184",264
"185",88
"186",93
"187",549
"188",532
"189",574
"190",4
"191",134
"192",1389
"193",2
"194",543
"195",32
"196",211
"197",401
"198",203
"199",181
"200",391
"201",288
"202",185
"203",247
"204",1297
"205",93
"206",59
"207",2283
"208",4520
"209",1069
"210",88
"211",149
"212",192
"213",771
"214",262
"215",638
"216",176
"217",3334
"218",1021
"219",13
"220",3194
"221",1026
"222",60
"223",203
"224",292
"225",151
"226",75
"227",691
"228",270
"229",348
"230",278
"231",11
"232",10
"233",216
"234",202
"235",1000
"236",250
"237",29
"238",169
"239",287
"240",89
"241",1597
"242",5
"243",9
"244",236
"245",105
"246",354
"247",168
"248",135
"249",2
"250",2451
"251",166
"252",171
"253",349
"254",92
"255",52
"256",54
"257",15
"258",215
"259",908
"260",1104
"261",380
"262",155
"263",2953
"264",244
"265",53
"266",130
"267",69
"268",1007
"269",1888
"270",39
"271",168
"272",58
"273",1934
"274",25
"275",404
"276",392
"277",144
"278",321
"279",38
"280",12
"281",2059
"282",382
"283",9
"284",983
"285",183
"286",1110
"287",13
"288",154
"289",3
"290",224
"291",680
"292",784
"293",429
"294",85
"295",52
"296",757
"297",37
"298",356
"299",46
"300",159
"301",295
"302",169
"303",80
"304",1205
"305",166
"306",72
"307",157
"308",256
"309",714
"310",80
"311",60
"312",62
"313",2
"314",358
"315",232
"316",851
"317",251
"318",136
"319",159
"320",93
"321",350
"322",118
"323",133
"324",145
"325",33
"326",37
"327",59
"328",191
"329",33
"330",50
"331",12
"332",45
"333",215
"334",88
"335",45
"336",69
"337",137
"338",125
"339",125
"340",10
"341",177
"342",239
"343",11
"344",75
"345",133
"346",290
"347",360
"348",4
"349",204
"350",554
"351",21
"352",232
"353",154
"354",143
"355",8
"356",19
"357",33
"358",141
"359",306
"360",454
"361",525
"362",408
"363",378
"364",202
"365",402
"366",56
"367",296
"368",3
"369",38
"370",202
"371",372
"372",185
"373",75
"374",430
"375",122
"376",105
"377",5
"378",45
"379",558
"380",103
"381",112
"382",180
"383",78
"384",121
"385",571
"386",1
"387",5
"388",17
"389",279
"390",104
"391",254
"392",696
"393",97
"394",543
"395",275
"396",110
"397",106
"398",5
"399",118
"400",10
"401",126
"402",165
"403",175
"404",14
"405",79
"406",246
"407",176
"408",78
"409",221
"410",54
"411",96
"412",106
"413",170
"414",76
"415",397
"416",240
"417",114
"418",240
"419",166
"420",31
"421",132
"422",22
"423",39
"424",196
"425",344
"426",26
"427",44
"428",243
"429",521
"430",137
"431",88
"432",342
"433",111
"434",218
"435",170
"436",60
"437",179
"438",101
"439",90
"440",127
"441",19
"442",9
"443",254
"444",185
"445",36
"446",793
"447",32
"448",238
"449",190
"450",27
"451",226
"452",285
"453",179
"454",63
"455",105
"456",57
"457",67
"458",87
"459",143
"460",250
"461",190
"462",43
"463",237
"464",196
"465",200
"466",324
"467",45
"468",15
"469",90
"470",14
"471",425
"472",106
"473",414
"474",40
"475",139
"476",226
"477",1
"478",325
"479",163
"480",103
"481",91
"482",52
"483",80
"484",162
"485",16
"486",202
"487",2
"488",22
"489",1
"490",90
"491",224
"492",182
"493",108
"494",134
"495",37
"496",297
"497",168
"498",3
"499",21
"500",171
"501",34
"502",140
"503",298
"504",66
"505",910
"506",115
"507",42
"508",42
"509",1035
"510",62
"511",51
"512",18
"513",138
"514",206
"515",124
"516",441
"517",110
"518",114
"519",197
"520",186
"521",116
"522",35
"523",168
"524",2
"525",98
"526",48
"527",73
"528",465
"529",132
"530",48
"531",213
"532",71
"533",80
"534",190
"535",68
"536",110
"537",88
"538",4
"539",155
"540",409
