"","x"
"1",4187
"2",573
"3",1079
"4",582
"5",1673
"6",4825
"7",547
"8",57
"9",173
"10",981
"11",366
"12",936
"13",68
"14",870
"15",774
"16",5195
"17",184
"18",7237
"19",166
"20",1006
"21",359
"22",136
"23",131
"24",756
"25",936
"26",55
"27",962
"28",21
"29",72
"30",330
"31",888
"32",3069
"33",17
"34",1382
"35",111
"36",84
"37",164
"38",109
"39",350
"40",21
"41",75
"42",138
"43",62
"44",29
"45",1594
"46",618
"47",69
"48",901
"49",347
"50",64
"51",121
"52",5
"53",132
"54",17819
"55",525
"56",479
"57",157
"58",5810
"59",376
"60",91
"61",200
"62",1188
"63",1143
"64",4819
"65",1734
"66",450
"67",169
"68",805
"69",2174
"70",1751
"71",137
"72",92
"73",342
"74",566
"75",1010
"76",22
"77",168
"78",313
"79",615
"80",343
"81",68
"82",4
"83",4
"84",1229
"85",247
"86",138
"87",259
"88",102
"89",1351
"90",114
"91",345
"92",701
"93",505
"94",463
"95",200
"96",2992
"97",476
"98",3870
"99",409
"100",574
"101",124
"102",2047
"103",506
"104",71
"105",122
"106",291
"107",23
"108",98
"109",165
"110",445
"111",3793
"112",172
"113",147
"114",2312
"115",777
"116",100
"117",331
"118",51
"119",116
"120",229
"121",404
"122",343
"123",989
"124",76
"125",468
"126",954
"127",903
"128",91
"129",745
"130",31
"131",951
"132",144
"133",362
"134",1956
"135",223
"136",73
"137",350
"138",461
"139",248
"140",534
"141",248
"142",393
"143",55
"144",418
"145",309
"146",3351
"147",630
"148",1060
"149",388
"150",3
"151",168
"152",1939
"153",731
"154",1877
"155",137
"156",607
"157",2212
"158",276
"159",98
"160",423
"161",1098
"162",155
"163",41
"164",86
"165",118
"166",610
"167",5
"168",35
"169",34
"170",575
"171",438
"172",83
"173",66
"174",46
"175",984
"176",964
"177",679
"178",1041
"179",260
"180",409
"181",183
"182",77
"183",241
"184",552
"185",54
"186",159
"187",173
"188",1127
"189",1405
"190",458
"191",232
"192",203
"193",149
"194",176
"195",251
"196",525
"197",190
"198",20
"199",159
"200",799
"201",167
"202",43
"203",575
"204",2912
"205",62
"206",143
"207",99
"208",64
"209",291
"210",11571
"211",279
"212",3240
"213",279
"214",141
"215",119
"216",5413
"217",178
"218",207
"219",582
"220",3910
"221",309
"222",32
"223",788
"224",92
"225",393
"226",56
"227",50
"228",166
"229",7
"230",495
"231",519
"232",178
"233",367
"234",1372
"235",39
"236",278
"237",206
"238",604
"239",20
"240",50
"241",482
"242",856
"243",288
"244",590
"245",340
"246",450
"247",442
"248",1236
"249",91
"250",795
"251",253
"252",66
"253",314
"254",41
"255",16
"256",177
"257",9
"258",478
"259",173
"260",144
"261",150
"262",694
"263",57
"264",197
"265",699
"266",53
"267",137
"268",150
"269",81
"270",107
"271",248
"272",4872
"273",39
"274",457
"275",159
"276",207
"277",33
"278",244
"279",86
"280",124
"281",209
"282",48
"283",310
"284",125
"285",361
"286",1685
"287",220
"288",176
"289",169
"290",71
"291",213
"292",159
"293",108
"294",78
"295",70
"296",1215
"297",122
"298",131
"299",193
"300",96
"301",98
"302",809
"303",35
"304",54
"305",102
"306",12
"307",312
"308",58
"309",222
"310",10
"311",165
"312",60
"313",558
"314",100
"315",468
"316",109
"317",56
"318",118
"319",219
"320",85
"321",9
"322",67
"323",70
"324",12
"325",190
"326",1
"327",112
"328",41
"329",134
"330",110
"331",158
"332",214
"333",64
"334",126
"335",244
"336",101
"337",99
"338",99
"339",54
"340",116
"341",207
"342",596
"343",57
"344",199
"345",160
"346",291
"347",71
"348",103
"349",313
"350",147
"351",66
"352",600
"353",92
"354",89
"355",22
"356",29
"357",392
"358",313
"359",66
"360",105
"361",248
"362",38
"363",65
"364",107
"365",86
"366",107
"367",297
"368",173
"369",661
"370",301
"371",343
"372",284
"373",41
"374",77
"375",457
"376",67
"377",105
"378",132
"379",1
"380",22
"381",102
"382",20
"383",1
"384",51
"385",133
"386",413
"387",70
"388",24
"389",396
"390",334
"391",13
"392",42
"393",21
"394",44
"395",208
"396",17
"397",35
"398",336
"399",58
"400",55
"401",218
"402",81
"403",6
"404",110
"405",220
"406",39
"407",50
"408",1210
"409",426
"410",114
"411",75
"412",31
"413",274
"414",325
"415",506
"416",246
"417",110
"418",71
"419",237
"420",95
"421",1194
"422",97
"423",77
"424",6
"425",81
"426",216
"427",9
"428",38
"429",857
"430",58
"431",53
"432",381
"433",265
"434",350
"435",52
"436",74
"437",411
"438",43
"439",96
"440",24
"441",552
"442",62
"443",52
"444",128
"445",1
"446",131
"447",1097
"448",2
"449",271
"450",136
"451",213
