"","x"
"1",40160
"2",16727
"3",306
"4",1032
"5",78
"6",2536
"7",410
"8",64
"9",392
"10",1014
"11",278
"12",998
"13",9092
"14",2179
"15",3328
"16",6614
"17",977
"18",1233
"19",9479
"20",100
"21",970
"22",963
"23",887
"24",283
"25",746
"26",786
"27",2004
"28",552
"29",627
"30",83
"31",1638
"32",625
"33",1174
"34",1122
"35",1296
"36",1145
"37",10
"38",705
"39",133
"40",19
"41",399
"42",37
"43",391
"44",170
"45",9
"46",13624
"47",2171
"48",1412
"49",2056
"50",373
"51",61
"52",413
"53",3518
"54",739
"55",437
"56",875
"57",304
"58",498
"59",109
"60",235
"61",1331
"62",1
"63",213
"64",60
"65",99
"66",15
"67",1060
"68",758
"69",399
"70",6301
"71",236
"72",65
"73",289
"74",732
"75",329
"76",55
"77",540
"78",421
"79",118
"80",1593
"81",14690
"82",237
"83",1609
"84",576
"85",177
"86",337
"87",408
"88",183
"89",975
"90",820
"91",208
"92",609
"93",882
"94",313
"95",376
"96",186
"97",84
"98",1613
"99",243
"100",53
"101",51
"102",354
"103",300
"104",84
"105",71
"106",52
"107",49
"108",1853
"109",769
"110",181
"111",122
"112",3113
"113",322
"114",236
"115",120
"116",92
"117",38
"118",489
"119",563
"120",388
"121",34
"122",80
"123",139
"124",28
"125",108
"126",1218
"127",48
"128",2851
"129",1051
"130",1454
"131",3069
"132",1275
"133",216
"134",236
"135",377
"136",863
"137",1274
"138",657
"139",109
"140",48
"141",6786
"142",55
"143",144
"144",314
"145",429
"146",1309
"147",7016
"148",617
"149",168
"150",36
"151",437
"152",336
"153",274
"154",44
"155",21
"156",182
"157",255
"158",933
"159",220
"160",194
"161",13
"162",140
"163",1577
"164",115
"165",534
"166",683
"167",70
"168",640
"169",1991
"170",884
"171",1877
"172",92
"173",213
"174",2932
"175",530
"176",92
"177",138
"178",306
"179",2510
"180",752
"181",462
"182",328
"183",26
"184",56
"185",38
"186",367
"187",780
"188",544
"189",1159
"190",267
"191",916
"192",284
"193",3655
"194",513
"195",206
"196",207
"197",1028
"198",31
"199",222
"200",600
"201",2295
"202",195
"203",581
"204",103
"205",942
"206",248
"207",208
"208",47
"209",16
"210",40
"211",324
"212",128
"213",1
"214",198
"215",1007
"216",433
"217",55
"218",483
"219",1827
"220",571
"221",211
"222",124
"223",182
"224",1557
"225",93
"226",399
"227",167
"228",83
"229",14
"230",138
"231",423
"232",583
"233",4
"234",782
"235",793
"236",82
"237",389
"238",122
"239",282
"240",258
"241",107
"242",1036
"243",28
"244",97
"245",403
"246",11
"247",798
"248",38
"249",82
"250",401
"251",42
"252",305
"253",141
"254",267
"255",1341
"256",169
"257",120
"258",474
"259",94
"260",509
"261",60
"262",116
"263",537
"264",89
"265",44
"266",35
"267",72
"268",78
"269",511
"270",48
"271",52
"272",160
"273",929
"274",278
"275",121
"276",162
"277",151
"278",25
"279",584
"280",366
"281",283
"282",169
"283",320
"284",281
"285",725
"286",80
"287",498
"288",278
"289",144
"290",44
"291",263
"292",29
"293",215
"294",252
"295",157
"296",202
"297",190
"298",28
"299",258
"300",5
"301",36
"302",10
"303",575
"304",208
"305",9
"306",125
"307",135
"308",445
"309",717
"310",343
"311",51
"312",228
"313",103
"314",452
"315",50
"316",26
"317",122
"318",57
"319",898
"320",149
"321",39
"322",116
"323",134
"324",6
"325",99
"326",575
"327",50
"328",355
"329",30
"330",185
"331",39
"332",191
"333",343
"334",86
"335",33
"336",114
"337",250
"338",148
"339",212
"340",120
"341",132
"342",177
"343",56
"344",36
"345",407
"346",190
"347",77
"348",81
"349",417
"350",262
"351",85
"352",155
"353",259
"354",165
"355",25
"356",59
"357",41
"358",63
"359",158
"360",116
"361",241
"362",25
"363",85
"364",210
"365",69
"366",109
"367",777
"368",103
"369",21
"370",138
"371",96
"372",121
"373",257
"374",113
"375",67
"376",142
"377",149
"378",86
"379",77
"380",73
"381",163
"382",292
"383",176
"384",131
"385",37
"386",248
"387",14
"388",114
"389",82
"390",95
"391",60
"392",135
"393",215
"394",173
"395",698
"396",121
"397",88
"398",33
"399",139
"400",82
"401",769
"402",140
"403",92
"404",55
"405",15
"406",282
"407",129
"408",265
"409",522
"410",72
"411",54
"412",64
"413",132
"414",76
"415",49
"416",23
"417",215
"418",38
"419",122
"420",41
"421",199
"422",37
"423",151
"424",125
"425",52
"426",69
"427",104
"428",121
"429",6
"430",220
"431",27
"432",85
"433",16
"434",180
"435",17
"436",7
"437",126
"438",273
"439",8
"440",170
"441",131
"442",264
"443",27
"444",118
"445",4
"446",18
