"","x"
"1",3519
"2",515
"3",256
"4",548
"5",105
"6",86
"7",290
"8",780
"9",1176
"10",354
"11",401
"12",949
"13",4476
"14",145
"15",271
"16",144
"17",691
"18",35
"19",54
"20",4332
"21",524
"22",122
"23",176
"24",1265
"25",4651
"26",1580
"27",12646
"28",214
"29",56
"30",214
"31",4767
"32",1074
"33",707
"34",203
"35",605
"36",1207
"37",571
"38",4751
"39",1094
"40",264
"41",3793
"42",1757
"43",77
"44",514
"45",166
"46",53
"47",155
"48",12
"49",428
"50",759
"51",1255
"52",995
"53",734
"54",1342
"55",481
"56",172
"57",454
"58",455
"59",297
"60",403
"61",1736
"62",70
"63",168
"64",101
"65",181
"66",348
"67",261
"68",271
"69",1177
"70",1523
"71",486
"72",1042
"73",358
"74",67
"75",276
"76",356
"77",5260
"78",350
"79",39
"80",1758
"81",268
"82",101
"83",478
"84",593
"85",1279
"86",2723
"87",37
"88",571
"89",182
"90",3961
"91",77
"92",2618
"93",591
"94",20
"95",40
"96",203
"97",350
"98",5546
"99",161
"100",358
"101",567
"102",11811
"103",118
"104",976
"105",940
"106",4381
"107",81
"108",83
"109",759
"110",690
"111",64
"112",504
"113",26
"114",378
"115",303
"116",2193
"117",328
"118",810
"119",21113
"120",165
"121",1898
"122",397
"123",25
"124",973
"125",927
"126",187
"127",70
"128",161
"129",630
"130",562
"131",247
"132",27
"133",1860
"134",89
"135",594
"136",158
"137",963
"138",487
"139",691
"140",983
"141",96
"142",486
"143",511
"144",170
"145",329
"146",189
"147",286
"148",119
"149",44
"150",64
"151",22
"152",159
"153",258
"154",160
"155",232
"156",204
"157",71
"158",244
"159",132
"160",389
"161",178
"162",36
"163",316
"164",297
"165",218
"166",1
"167",538
"168",410
"169",933
"170",51
"171",48
"172",195
"173",291
"174",62
"175",104
"176",21
"177",67
"178",512
"179",778
"180",30
"181",616
"182",594
"183",86
"184",385
"185",63
"186",818
"187",137
"188",71
"189",86
"190",188
"191",438
"192",528
"193",641
"194",70
"195",1600
"196",764
"197",62
"198",167
"199",1129
"200",2
"201",232
"202",109
"203",1343
"204",289
"205",361
"206",125
"207",163
"208",141
"209",187
"210",7127
"211",583
"212",555
"213",763
"214",1592
"215",208
"216",25
"217",120
"218",159
"219",285
"220",252
"221",87
"222",1049
"223",559
"224",159
"225",1010
"226",444
"227",211
"228",1099
"229",1776
"230",1534
"231",2380
"232",123
"233",2051
"234",277
"235",286
"236",1149
"237",4614
"238",117
"239",301
"240",93
"241",24
"242",120
"243",178
"244",388
"245",190
"246",474
"247",1249
"248",633
"249",315
"250",250
"251",188
"252",363
"253",440
"254",202
"255",262
"256",317
"257",256
"258",641
"259",407
"260",93
"261",84
"262",184
"263",369
"264",1323
"265",551
"266",183
"267",339
"268",73
"269",343
"270",627
"271",300
"272",457
"273",461
"274",114
"275",18
"276",149
"277",158
"278",276
"279",67
"280",34
"281",250
"282",35
"283",6
"284",283
"285",49
"286",462
"287",283
"288",77
"289",118
"290",414
"291",157
"292",128
"293",19
"294",106
"295",491
"296",43
"297",98
"298",298
"299",111
"300",57
"301",610
"302",169
"303",221
"304",32
"305",536
"306",71
"307",133
"308",10
"309",6
"310",432
"311",23
"312",911
"313",107
"314",82
"315",72
"316",302
"317",78
"318",37
"319",126
"320",174
"321",188
"322",13
"323",58
"324",144
"325",112
"326",32
"327",127
"328",51
"329",64
"330",13
"331",34
"332",153
"333",337
"334",369
"335",140
"336",243
"337",74
"338",230
"339",260
"340",102
"341",168
"342",2
"343",117
"344",115
"345",36
"346",176
"347",372
"348",79
"349",136
"350",118
"351",131
"352",156
"353",40
"354",136
"355",111
"356",109
"357",89
"358",161
"359",12
"360",133
"361",95
"362",72
"363",12
"364",133
"365",26
"366",4
"367",318
"368",119
"369",7
"370",24
"371",214
"372",318
"373",79
"374",135
"375",62
"376",147
"377",7
"378",744
"379",672
"380",98
"381",263
"382",70
"383",192
"384",7
"385",74
"386",5
"387",21
"388",87
"389",138
"390",43
"391",146
"392",34
"393",40
"394",294
"395",181
"396",1
"397",95
"398",168
"399",138
"400",245
"401",55
"402",98
"403",111
"404",28
"405",122
"406",116
"407",482
"408",715
"409",281
"410",60
"411",1
"412",181
"413",4
"414",688
"415",17
"416",94
"417",368
"418",7
"419",117
"420",24
"421",280
"422",650
"423",182
"424",93
"425",52
"426",95
"427",410
"428",360
"429",9
"430",102
"431",3
"432",329
"433",39
"434",135
"435",256
"436",20
"437",12
"438",210
"439",21
"440",343
"441",57
"442",309
