"","x"
"1",2890
"2",101
"3",491
"4",486
"5",502
"6",21064
"7",340
"8",678
"9",1190
"10",2311
"11",20207
"12",32
"13",1106
"14",56
"15",1159
"16",116
"17",5170
"18",359
"19",707
"20",186
"21",85
"22",4454
"23",2223
"24",366
"25",1284
"26",175
"27",216
"28",114
"29",32
"30",73
"31",13
"32",118
"33",267
"34",115
"35",48
"36",3085
"37",675
"38",132
"39",288
"40",78
"41",6
"42",360
"43",941
"44",1078
"45",294
"46",101
"47",250
"48",62
"49",448
"50",886
"51",1425
"52",1585
"53",350
"54",345
"55",1171
"56",32
"57",2199
"58",2668
"59",416
"60",277
"61",216
"62",302
"63",112
"64",3134
"65",3708
"66",225
"67",246
"68",513
"69",790
"70",642
"71",680
"72",113
"73",164
"74",346
"75",1232
"76",261
"77",1490
"78",3527
"79",1266
"80",925
"81",633
"82",1711
"83",1428
"84",262
"85",312
"86",184
"87",256
"88",2021
"89",2
"90",5499
"91",20
"92",255
"93",162
"94",1580
"95",372
"96",117
"97",862
"98",24
"99",188
"100",509
"101",292
"102",365
"103",29
"104",1093
"105",8262
"106",103
"107",3
"108",48
"109",1467
"110",427
"111",67
"112",1033
"113",140
"114",53
"115",65
"116",26
"117",390
"118",6
"119",674
"120",737
"121",118
"122",34
"123",130
"124",25
"125",154
"126",507
"127",188
"128",445
"129",340
"130",444
"131",555
"132",439
"133",73
"134",10145
"135",271
"136",283
"137",141
"138",96
"139",182
"140",200
"141",56
"142",192
"143",162
"144",411
"145",192
"146",2
"147",30609
"148",116
"149",703
"150",1052
"151",517
"152",109
"153",1227
"154",731
"155",168
"156",29
"157",54
"158",590
"159",51
"160",74
"161",71
"162",10
"163",182
"164",151
"165",160
"166",4093
"167",470
"168",177
"169",276
"170",52
"171",279
"172",362
"173",927
"174",183
"175",495
"176",1778
"177",661
"178",243
"179",482
"180",42
"181",106
"182",204
"183",523
"184",639
"185",9
"186",6
"187",271
"188",36
"189",113
"190",197
"191",160
"192",40
"193",257
"194",110
"195",620
"196",128
"197",109
"198",206
"199",836
"200",1038
"201",289
"202",504
"203",189
"204",1275
"205",144
"206",100
"207",1632
"208",31
"209",10
"210",668
"211",159
"212",95
"213",281
"214",694
"215",211
"216",144
"217",249
"218",160
"219",45
"220",135
"221",75
"222",159
"223",378
"224",40
"225",111
"226",124
"227",83
"228",3
"229",430
"230",162
"231",709
"232",8
"233",82
"234",115
"235",260
"236",764
"237",1922
"238",430
"239",98
"240",46
"241",52
"242",45
"243",53
"244",3924
"245",734
"246",113
"247",267
"248",209
"249",334
"250",88
"251",131
"252",121
"253",46
"254",199
"255",287
"256",1236
"257",133
"258",265
"259",79
"260",98
"261",79
"262",217
"263",40
"264",167
"265",62
"266",1749
"267",65
"268",720
"269",1085
"270",279
"271",1184
"272",84
"273",653
"274",112
"275",451
"276",67
"277",188
"278",536
"279",103
"280",124
"281",2
"282",37
"283",12
"284",170
"285",95
"286",198
"287",14
"288",527
"289",234
"290",13
"291",208
"292",60
"293",168
"294",193
"295",1630
"296",371
"297",440
"298",84
"299",74
"300",151
"301",110
"302",65
"303",249
"304",4
"305",56
"306",185
"307",33
"308",317
"309",70
"310",89
"311",361
"312",202
"313",140
"314",86
"315",127
"316",205
"317",401
"318",4
"319",113
"320",200
"321",81
"322",177
"323",211
"324",109
"325",141
"326",30
"327",41
"328",177
"329",2
"330",468
"331",645
"332",484
"333",205
"334",102
"335",200
"336",106
"337",150
"338",236
"339",266
"340",602
"341",40
"342",59
"343",202
"344",271
"345",486
"346",51
"347",766
"348",483
"349",619
"350",106
"351",217
"352",28
"353",61
"354",167
"355",75
"356",260
"357",682
"358",148
"359",121
"360",147
"361",149
"362",28
"363",471
"364",128
"365",3
"366",107
"367",42
"368",10
"369",190
"370",98
"371",91
"372",61
"373",137
"374",90
"375",91
"376",74
"377",170
"378",145
"379",55
"380",65
"381",284
"382",175
"383",14
"384",57
"385",29
"386",13
"387",77
"388",148
"389",435
"390",101
"391",23
"392",65
"393",53
"394",54
"395",223
"396",359
"397",29
"398",51
"399",26
"400",129
"401",64
"402",283
"403",61
"404",105
"405",101
"406",91
"407",37
"408",247
"409",61
"410",539
"411",139
"412",49
"413",228
"414",292
"415",170
"416",178
"417",61
"418",254
"419",58
"420",27
