"","x"
"1",34313
"2",11902
"3",1883
"4",1024
"5",1881
"6",87
"7",97
"8",1185
"9",3312
"10",2045
"11",467
"12",338
"13",162
"14",967
"15",11
"16",34
"17",4
"18",549
"19",3796
"20",102
"21",5091
"22",3532
"23",112
"24",62
"25",213
"26",1172
"27",575
"28",491
"29",110
"30",467
"31",1069
"32",137
"33",963
"34",1339
"35",94
"36",5964
"37",444
"38",211
"39",45
"40",570
"41",290
"42",399
"43",384
"44",1752
"45",3447
"46",360
"47",950
"48",294
"49",272
"50",494
"51",2460
"52",4245
"53",130
"54",283
"55",17
"56",229
"57",571
"58",360
"59",156
"60",291
"61",461
"62",141
"63",363
"64",102
"65",413
"66",193
"67",13239
"68",801
"69",1422
"70",704
"71",739
"72",1286
"73",1720
"74",90
"75",1743
"76",249
"77",82
"78",70
"79",462
"80",267
"81",79
"82",84
"83",158
"84",326
"85",293
"86",310
"87",28
"88",67
"89",720
"90",2463
"91",273
"92",6574
"93",3117
"94",1416
"95",505
"96",13
"97",238
"98",280
"99",2724
"100",221
"101",120
"102",1328
"103",230
"104",377
"105",271
"106",27
"107",103
"108",376
"109",83
"110",456
"111",1052
"112",110
"113",24
"114",461
"115",284
"116",366
"117",152
"118",234
"119",193
"120",152
"121",317
"122",242
"123",231
"124",116
"125",608
"126",39
"127",1531
"128",215
"129",1788
"130",3119
"131",98
"132",276
"133",307
"134",284
"135",430
"136",812
"137",125
"138",157
"139",126
"140",529
"141",2246
"142",86
"143",87
"144",383
"145",84
"146",162
"147",736
"148",761
"149",126
"150",175
"151",74
"152",84
"153",828
"154",296
"155",1773
"156",1019
"157",263
"158",100
"159",1416
"160",201
"161",162
"162",778
"163",229
"164",767
"165",178
"166",344
"167",351
"168",184
"169",180
"170",88
"171",500
"172",291
"173",780
"174",241
"175",1352
"176",354
"177",289
"178",931
"179",78
"180",91
"181",239
"182",113
"183",105
"184",74
"185",599
"186",364
"187",525
"188",442
"189",635
"190",756
"191",275
"192",402
"193",165
"194",140
"195",380
"196",105
"197",123
"198",85
"199",139
"200",285
"201",1713
"202",1311
"203",2350
"204",588
"205",183
"206",59
"207",358
"208",789
"209",51
"210",87
"211",1080
"212",164
"213",158
"214",74
"215",1
"216",42
"217",57
"218",434
"219",159
"220",250
"221",175
"222",346
"223",564
"224",138
"225",196
"226",81
"227",260
"228",175
"229",122
"230",41
"231",87
"232",87
"233",832
"234",432
"235",106
"236",279
"237",94
"238",111
"239",263
"240",91
"241",66
"242",184
"243",682
"244",181
"245",209
"246",1106
"247",505
"248",75
"249",31
"250",407
"251",1213
"252",154
"253",13
"254",669
"255",160
"256",658
"257",341
"258",235
"259",167
"260",4
"261",138
"262",600
"263",285
"264",244
"265",99
"266",187
"267",566
"268",726
"269",116
"270",50
"271",75
"272",46
"273",80
"274",139
"275",905
"276",146
"277",1119
"278",521
"279",720
"280",24
"281",33
"282",984
"283",172
"284",70
"285",49
"286",79
"287",31
"288",159
"289",184
"290",363
"291",128
"292",167
"293",70
"294",454
"295",75
"296",186
"297",326
"298",182
"299",466
"300",332
"301",598
"302",140
"303",25
"304",67
"305",121
"306",543
"307",319
"308",47
"309",36
"310",179
"311",138
"312",492
"313",165
"314",1
"315",30
"316",411
"317",572
"318",127
"319",264
"320",117
"321",562
"322",384
"323",63
"324",223
"325",197
"326",694
"327",151
"328",49
"329",209
"330",25
"331",17
"332",221
"333",320
"334",79
"335",174
"336",40
"337",454
"338",21
"339",149
"340",70
"341",313
"342",198
"343",86
"344",501
"345",153
"346",809
"347",18
"348",455
"349",263
"350",564
"351",110
"352",115
"353",98
"354",157
"355",48
"356",220
"357",219
"358",246
"359",381
