"","x"
"1",5893
"2",15656
"3",41
"4",172
"5",72
"6",230
"7",464
"8",474
"9",4291
"10",188
"11",87
"12",254
"13",129
"14",80
"15",197
"16",308
"17",65
"18",359
"19",1004
"20",20
"21",512
"22",1898
"23",12
"24",101
"25",156
"26",1229
"27",79
"28",46
"29",541
"30",515
"31",50
"32",3513
"33",1089
"34",832
"35",89
"36",308
"37",3352
"38",51
"39",208
"40",86
"41",62
"42",347
"43",485
"44",114
"45",519
"46",643
"47",1878
"48",9991
"49",321
"50",370
"51",963
"52",1285
"53",2085
"54",3383
"55",1764
"56",947
"57",2206
"58",10
"59",110
"60",765
"61",141
"62",280
"63",311
"64",919
"65",658
"66",1139
"67",1145
"68",1803
"69",220
"70",11958
"71",293
"72",504
"73",550
"74",2210
"75",11
"76",73
"77",447
"78",329
"79",776
"80",1045
"81",282
"82",50
"83",50
"84",24
"85",62
"86",177
"87",365
"88",29
"89",121
"90",450
"91",85
"92",109
"93",416
"94",1199
"95",291
"96",132
"97",135
"98",9
"99",1455
"100",968
"101",94
"102",264
"103",519
"104",1621
"105",702
"106",407
"107",126
"108",1023
"109",188
"110",593
"111",228
"112",311
"113",35
"114",490
"115",211
"116",1488
"117",718
"118",44
"119",503
"120",524
"121",263
"122",207
"123",252
"124",4972
"125",1055
"126",714
"127",733
"128",271
"129",83
"130",62
"131",349
"132",137
"133",94
"134",144
"135",102
"136",20
"137",475
"138",176
"139",335
"140",451
"141",776
"142",13
"143",402
"144",620
"145",73
"146",84
"147",70
"148",35
"149",1617
"150",196
"151",63
"152",202
"153",202
"154",5
"155",377
"156",219
"157",80
"158",155
"159",53
"160",94
"161",316
"162",438
"163",483
"164",205
"165",122
"166",29
"167",1062
"168",58
"169",42
"170",29
"171",148
"172",264
"173",15
"174",587
"175",2359
"176",952
"177",239
"178",1140
"179",68
"180",206
"181",320
"182",801
"183",87
"184",191
"185",621
"186",76
"187",16
"188",9
"189",2
"190",657
"191",38
"192",241
"193",177
"194",111
"195",1028
"196",8
"197",159
"198",19
"199",521
"200",572
"201",278
"202",106
"203",109
"204",406
"205",290
"206",135
"207",664
"208",2490
"209",1650
"210",45
"211",187
"212",107
"213",146
"214",112
"215",43
"216",302
"217",437
"218",103
"219",73
"220",76
"221",90
"222",22
"223",176
"224",210
"225",129
"226",173
"227",419
"228",63
"229",3117
"230",278
"231",717
"232",1183
"233",44
"234",62
"235",350
"236",334
"237",4
"238",541
"239",79
"240",235
"241",786
"242",108
"243",424
"244",141
"245",31
"246",148
"247",81
"248",208
"249",67
"250",87
"251",67
"252",1102
"253",626
"254",80
"255",252
"256",431
"257",164
"258",57
"259",190
"260",2549
"261",39
"262",178
"263",577
"264",355
"265",127
"266",116
"267",419
"268",262
"269",303
"270",77
"271",1764
"272",1033
"273",182
"274",71
"275",97
"276",50
"277",17
"278",111
"279",76
"280",251
"281",99
"282",135
"283",83
"284",323
"285",188
"286",164
"287",35
"288",17
"289",795
"290",29
"291",327
"292",196
"293",536
"294",118
"295",110
"296",321
"297",204
"298",18
"299",343
"300",15
"301",1497
"302",48
"303",104
"304",173
"305",192
"306",41
"307",141
"308",132
"309",54
"310",415
"311",664
"312",49
"313",158
"314",118
"315",120
"316",445
"317",144
"318",7
"319",351
"320",52
"321",4
"322",22
"323",356
"324",4350
"325",40
"326",1106
"327",63
"328",168
"329",785
"330",46
"331",183
"332",1363
"333",466
"334",215
"335",306
"336",210
"337",1596
"338",104
"339",1
"340",360
"341",946
"342",1398
"343",101
"344",171
"345",169
"346",41
"347",382
"348",425
"349",14
"350",680
"351",197
"352",110
"353",491
"354",2217
"355",3195
"356",20
"357",101
"358",227
"359",40
"360",72
"361",322
"362",319
"363",80
"364",77
"365",94
"366",301
"367",115
"368",15
"369",160
"370",16
"371",129
"372",108
"373",319
"374",611
"375",1113
"376",206
"377",19
"378",122
"379",81
"380",374
"381",234
"382",63
"383",233
"384",657
"385",215
"386",225
"387",99
"388",5
"389",248
"390",542
"391",34
"392",142
"393",173
"394",122
"395",334
"396",386
"397",52
"398",240
"399",49
"400",96
"401",20
"402",56
"403",283
"404",469
"405",177
"406",98
"407",16
"408",43
"409",155
"410",68
"411",81
"412",54
"413",204
"414",84
"415",493
"416",78
"417",54
"418",31
"419",65
"420",44
"421",274
"422",161
"423",25
"424",190
"425",249
"426",19
"427",267
"428",35
"429",134
"430",60
"431",136
"432",72
"433",110
"434",692
"435",43
"436",281
"437",132
"438",170
"439",226
"440",102
"441",201
"442",135
"443",94
"444",131
"445",4
"446",60
"447",104
"448",266
"449",352
"450",747
"451",57
"452",85
"453",102
"454",110
"455",61
"456",90
"457",123
"458",207
"459",248
"460",214
"461",84
"462",27
"463",165
"464",104
"465",70
"466",128
"467",1
"468",186
"469",74
"470",2
"471",251
"472",75
"473",217
"474",119
"475",387
"476",450
"477",135
"478",106
"479",245
"480",133
"481",153
"482",71
"483",35
"484",328
"485",5
"486",264
"487",77
"488",32
"489",78
"490",24
"491",172
"492",42
"493",119
"494",162
"495",603
"496",130
"497",68
"498",112
"499",92
"500",166
"501",483
"502",323
"503",14
"504",115
"505",218
"506",216
"507",132
"508",20
"509",443
"510",408
"511",25
"512",44
"513",253
"514",17
"515",43
"516",47
"517",13
"518",142
"519",83
"520",133
"521",108
"522",175
"523",243
"524",291
"525",197
"526",592
"527",6
"528",181
"529",175
"530",188
"531",58
"532",147
"533",239
"534",207
"535",68
"536",296
"537",118
"538",17
"539",210
"540",152
"541",75
"542",25
"543",151
"544",38
"545",34
"546",135
"547",176
"548",259
"549",145
"550",788
"551",150
"552",217
"553",284
"554",298
"555",80
"556",138
"557",46
"558",25
"559",74
"560",6
"561",530
"562",38
"563",115
"564",86
"565",276
"566",235
"567",258
"568",145
"569",799
"570",65
"571",89
"572",44
"573",156
"574",16
"575",72
"576",267
"577",277
"578",99
"579",71
"580",52
"581",75
"582",94
