"","x"
"1",20367
"2",103
"3",361
"4",8
"5",43
"6",174
"7",643
"8",1218
"9",4054
"10",555
"11",247
"12",9815
"13",74
"14",20
"15",5290
"16",114
"17",112
"18",653
"19",6288
"20",832
"21",1203
"22",2478
"23",95
"24",383
"25",63
"26",406
"27",68
"28",126
"29",2039
"30",61
"31",1008
"32",657
"33",312
"34",516
"35",93
"36",26
"37",239
"38",12
"39",1
"40",248
"41",126
"42",2844
"43",282
"44",265
"45",42
"46",3
"47",1
"48",47
"49",25
"50",134
"51",940
"52",1652
"53",1444
"54",476
"55",1874
"56",569
"57",438
"58",632
"59",85
"60",548
"61",648
"62",11497
"63",148
"64",53
"65",65
"66",223
"67",90
"68",156
"69",68
"70",471
"71",836
"72",2657
"73",508
"74",173
"75",1320
"76",1074
"77",295
"78",5072
"79",3732
"80",94
"81",234
"82",1001
"83",103
"84",66
"85",168
"86",105
"87",974
"88",204
"89",44
"90",84
"91",264
"92",234
"93",364
"94",81
"95",788
"96",1654
"97",711
"98",244
"99",1094
"100",2005
"101",508
"102",303
"103",331
"104",178
"105",86
"106",975
"107",672
"108",189
"109",34
"110",123
"111",210
"112",10
"113",447
"114",109
"115",98
"116",182
"117",274
"118",106
"119",618
"120",37
"121",144
"122",212
"123",49
"124",54
"125",91
"126",223
"127",640
"128",98
"129",722
"130",1758
"131",518
"132",34
"133",459
"134",10
"135",28
"136",1221
"137",200
"138",1934
"139",1335
"140",155
"141",134
"142",435
"143",198
"144",1106
"145",206
"146",250
"147",1535
"148",923
"149",212
"150",2824
"151",196
"152",76
"153",519
"154",406
"155",854
"156",160
"157",569
"158",947
"159",619
"160",1597
"161",81
"162",190
"163",152
"164",142
"165",254
"166",1526
"167",87
"168",239
"169",178
"170",595
"171",65
"172",113
"173",1894
"174",46
"175",284
"176",674
"177",228
"178",1047
"179",115
"180",221
"181",230
"182",70
"183",618
"184",330
"185",187
"186",326
"187",1624
"188",715
"189",1385
"190",1428
"191",5
"192",1316
"193",71
"194",395
"195",590
"196",19
"197",99
"198",174
"199",1899
"200",140
"201",361
"202",698
"203",58
"204",172
"205",2037
"206",448
"207",46
"208",153
"209",237
"210",258
"211",58
"212",106
"213",1129
"214",278
"215",697
"216",897
"217",1132
"218",3552
"219",514
"220",12730
"221",6653
"222",14394
"223",2303
"224",697
"225",966
"226",4378
"227",2375
"228",4893
"229",1361
"230",95
"231",663
"232",318
"233",205
"234",371
"235",549
"236",2940
"237",474
"238",308
"239",1179
"240",881
"241",232
"242",442
"243",195
"244",196
"245",1008
"246",783
"247",364
"248",126
"249",277
"250",56
"251",37
"252",362
"253",874
"254",347
"255",431
"256",418
"257",746
"258",323
"259",131
"260",163
"261",1307
"262",136
"263",545
"264",426
"265",119
"266",283
"267",492
"268",431
"269",997
"270",873
"271",697
"272",1344
"273",215
"274",24
"275",64
"276",247
"277",349
"278",60
"279",377
"280",356
"281",625
"282",151
"283",210
"284",239
"285",169
"286",635
"287",156
"288",118
"289",219
"290",275
"291",252
"292",339
"293",4
"294",42
"295",195
"296",109
"297",62
"298",92
"299",533
"300",139
"301",131
"302",46
"303",88
"304",149
"305",34
"306",78
"307",362
"308",87
"309",165
"310",1487
"311",143
"312",52
"313",440
"314",86
"315",54
"316",116
"317",83
"318",93
"319",232
"320",224
"321",569
"322",102
"323",130
"324",223
"325",224
"326",338
"327",59
"328",85
"329",593
"330",262
"331",223
"332",256
"333",103
"334",432
"335",159
"336",644
"337",551
"338",147
"339",152
"340",329
"341",64
"342",28
"343",189
"344",452
"345",26
"346",34
"347",536
"348",348
"349",191
"350",288
"351",46
"352",236
"353",64
"354",167
"355",145
"356",802
"357",77
"358",338
"359",48
"360",155
"361",182
"362",96
"363",29
"364",96
"365",285
"366",131
"367",74
"368",12
"369",23
"370",189
"371",38
"372",44
"373",79
"374",196
"375",2
"376",23
"377",131
"378",156
"379",162
"380",139
"381",52
"382",84
"383",9
"384",11
"385",80
"386",306
"387",287
"388",3
"389",77
"390",729
"391",348
"392",1348
"393",372
"394",134
"395",828
"396",196
"397",538
"398",1360
"399",249
"400",50
"401",193
"402",311
"403",149
"404",124
"405",121
"406",174
"407",63
"408",381
"409",276
"410",179
"411",1
"412",113
"413",116
"414",60
"415",176
"416",194
"417",285
"418",49
"419",154
"420",17
"421",61
"422",82
"423",129
"424",198
"425",12
"426",138
"427",223
"428",164
"429",5
"430",426
"431",2
"432",116
"433",72
"434",175
