"","x"
"1",963
"2",108
"3",188
"4",39
"5",158
"6",388
"7",60
"8",257
"9",74
"10",226
"11",31
"12",419
"13",74
"14",1367
"15",22
"16",356
"17",3355
"18",314
"19",150
"20",90
"21",105
"22",117
"23",715
"24",516
"25",63
"26",185
"27",234
"28",378
"29",238
"30",5756
"31",17347
"32",947
"33",133
"34",119
"35",68
"36",154
"37",265
"38",23
"39",253
"40",222
"41",981
"42",128
"43",61
"44",207
"45",73
"46",156
"47",1895
"48",3362
"49",1004
"50",1030
"51",232
"52",223
"53",362
"54",536
"55",906
"56",102
"57",100
"58",161
"59",97
"60",124
"61",903
"62",422
"63",304
"64",108
"65",109
"66",256
"67",32790
"68",81
"69",324
"70",94
"71",621
"72",157
"73",1531
"74",195
"75",1138
"76",45
"77",107
"78",381
"79",10
"80",5468
"81",113
"82",172
"83",202
"84",72
"85",193
"86",114
"87",139
"88",4063
"89",182
"90",1214
"91",255
"92",199
"93",111
"94",1096
"95",321
"96",13
"97",1047
"98",46
"99",4446
"100",835
"101",2827
"102",1870
"103",266
"104",229
"105",675
"106",556
"107",590
"108",3720
"109",2147
"110",8083
"111",268
"112",863
"113",300
"114",212
"115",1067
"116",542
"117",214
"118",859
"119",507
"120",354
"121",2328
"122",1263
"123",251
"124",462
"125",598
"126",332
"127",694
"128",335
"129",646
"130",769
"131",239
"132",122
"133",515
"134",2747
"135",138
"136",95
"137",350
"138",175
"139",97
"140",791
"141",494
"142",265
"143",568
"144",261
"145",812
"146",96
"147",201
"148",185
"149",55
"150",349
"151",338
"152",277
"153",610
"154",1028
"155",1054
"156",132
"157",143
"158",228
"159",875
"160",288
"161",19
"162",161
"163",655
"164",112
"165",304
"166",527
"167",167
"168",255
"169",432
"170",3667
"171",159
"172",617
"173",654
"174",696
"175",539
"176",366
"177",645
"178",1804
"179",661
"180",332
"181",3838
"182",602
"183",406
"184",8009
"185",596
"186",227
"187",560
"188",219
"189",277
"190",285
"191",1443
"192",1094
"193",279
"194",84
"195",246
"196",97
"197",540
"198",2
"199",14
"200",151
"201",2315
"202",2
"203",239
"204",115
"205",532
"206",518
"207",61
"208",2106
"209",610
"210",420
"211",252
"212",27
"213",505
"214",16
"215",338
"216",505
"217",349
"218",78
"219",504
"220",110
"221",336
"222",1044
"223",43
"224",520
"225",246
"226",39
"227",123
"228",310
"229",265
"230",76
"231",922
"232",1028
"233",556
"234",190
"235",1110
"236",162
"237",135
"238",128
"239",307
"240",261
"241",169
"242",73
"243",169
"244",390
"245",545
"246",168
"247",266
"248",213
"249",106
"250",87
"251",235
"252",665
"253",675
"254",110
"255",134
"256",668
"257",25
"258",73
"259",266
"260",559
"261",1419
"262",781
"263",188
"264",208
"265",182
"266",97
"267",155
"268",598
"269",126
"270",169
"271",68
"272",305
"273",178
"274",148
"275",279
"276",29
"277",120
"278",154
"279",20
"280",332
"281",169
"282",65
"283",61
"284",311
"285",80
"286",131
"287",691
"288",92
"289",139
"290",18
"291",55
"292",20
"293",277
"294",535
"295",15
"296",318
"297",133
"298",161
"299",124
"300",53
"301",10
"302",139
"303",552
"304",27
"305",203
"306",81
"307",375
"308",441
"309",181
"310",105
"311",305
"312",310
"313",150
"314",131
"315",226
"316",178
"317",216
"318",507
"319",103
"320",73
"321",21
"322",163
"323",141
"324",69
"325",125
"326",203
"327",319
"328",369
"329",21
"330",526
"331",252
"332",262
"333",41
"334",706
"335",983
"336",115
"337",392
"338",476
"339",68
"340",19
"341",148
"342",128
"343",185
"344",130
"345",57
"346",263
"347",514
"348",103
"349",374
"350",386
"351",94
"352",65
"353",157
"354",118
"355",250
"356",51
"357",176
"358",9
"359",56
"360",123
"361",641
"362",241
"363",40
"364",117
"365",171
"366",61
"367",195
"368",93
"369",170
"370",18
"371",545
"372",168
"373",162
"374",62
"375",178
"376",356
"377",251
"378",594
"379",58
"380",184
"381",107
"382",78
"383",21
"384",325
"385",54
"386",73
"387",841
"388",134
"389",36
"390",232
"391",149
"392",40
"393",109
"394",76
"395",200
"396",80
"397",77
"398",17
"399",191
"400",114
"401",284
"402",376
"403",189
"404",208
