"","x"
"1",16567
"2",237
"3",218
"4",8628
"5",4466
"6",137
"7",72
"8",2296
"9",130
"10",234
"11",7347
"12",2
"13",970
"14",1207
"15",2798
"16",183
"17",749
"18",904
"19",1633
"20",799
"21",451
"22",1627
"23",2985
"24",795
"25",821
"26",425
"27",283
"28",1155
"29",288
"30",129
"31",323
"32",48
"33",32
"34",361
"35",61
"36",182
"37",65
"38",52
"39",2139
"40",736
"41",527
"42",527
"43",1605
"44",177
"45",116
"46",23
"47",48
"48",684
"49",84
"50",42
"51",401
"52",184
"53",118
"54",68
"55",388
"56",143
"57",933
"58",581
"59",320
"60",12
"61",151
"62",990
"63",5811
"64",522
"65",903
"66",662
"67",422
"68",141
"69",321
"70",99
"71",54
"72",599
"73",917
"74",462
"75",304
"76",650
"77",60
"78",9
"79",876
"80",4437
"81",1871
"82",39713
"83",1302
"84",337
"85",1482
"86",397
"87",3
"88",457
"89",739
"90",140
"91",4153
"92",15487
"93",553
"94",48
"95",529
"96",37
"97",562
"98",2278
"99",3991
"100",2
"101",2516
"102",97
"103",271
"104",7
"105",2
"106",742
"107",19
"108",486
"109",790
"110",309
"111",858
"112",748
"113",106
"114",223
"115",100
"116",125
"117",508
"118",33
"119",132
"120",712
"121",1
"122",1299
"123",1982
"124",1324
"125",370
"126",335
"127",1829
"128",361
"129",173
"130",702
"131",77
"132",559
"133",632
"134",14
"135",332
"136",447
"137",289
"138",364
"139",1
"140",567
"141",365
"142",280
"143",58
"144",142
"145",890
"146",45
"147",84
"148",752
"149",381
"150",450
"151",31
"152",19
"153",645
"154",1014
"155",184
"156",65
"157",319
"158",2477
"159",391
"160",703
"161",112
"162",498
"163",111
"164",36
"165",131
"166",75
"167",271
"168",214
"169",238
"170",134
"171",780
"172",193
"173",281
"174",385
"175",12
"176",292
"177",34
"178",1830
"179",82
"180",1032
"181",50
"182",2287
"183",443
"184",78
"185",106
"186",39
"187",764
"188",524
"189",509
"190",97
"191",220
"192",416
"193",94
"194",632
"195",79
"196",285
"197",163
"198",84
"199",1009
"200",129
"201",15
"202",693
"203",344
"204",907
"205",382
"206",294
"207",117
"208",52
"209",429
"210",130
"211",178
"212",32
"213",376
"214",17
"215",95
"216",514
"217",749
"218",992
"219",369
"220",112
"221",291
"222",935
"223",490
"224",951
"225",327
"226",112
"227",138
"228",480
"229",119
"230",27
"231",154
"232",93
"233",163
"234",2441
"235",97
"236",82
"237",375
"238",298
"239",92
"240",1032
"241",229
"242",168
"243",978
"244",456
"245",238
"246",676
"247",79
"248",1694
"249",556
"250",146
"251",453
"252",25
"253",25
"254",70
"255",92
"256",189
"257",97
"258",5
"259",2024
"260",146
"261",12
"262",159
"263",99
"264",265
"265",140
"266",14
"267",150
"268",341
"269",121
"270",246
"271",20
"272",324
"273",524
"274",164
"275",125
"276",196
"277",489
"278",498
"279",91
"280",62
"281",18
"282",81
"283",43
"284",4
"285",94
"286",435
"287",87
"288",210
"289",21
"290",112
"291",72
"292",62
"293",80
"294",40
"295",33
"296",9
"297",203
"298",276
"299",490
"300",34
"301",277
"302",171
"303",67
"304",67
"305",94
"306",270
"307",26
"308",172
"309",204
"310",51
"311",244
"312",43
"313",8
"314",95
"315",20
"316",161
"317",235
"318",85
"319",46
"320",29
"321",437
"322",286
"323",168
"324",84
"325",37
"326",63
"327",657
"328",58
"329",11
"330",27
"331",164
"332",60
"333",109
"334",149
"335",24
"336",44
"337",117
"338",86
"339",27
"340",87
"341",20
"342",83
