"","x"
"1",994
"2",542
"3",59
"4",198
"5",710
"6",369
"7",886
"8",372
"9",323
"10",438
"11",368
"12",426
"13",1136
"14",1715
"15",120
"16",2201
"17",447
"18",523
"19",451
"20",193
"21",666
"22",31
"23",133
"24",57
"25",739
"26",215
"27",1622
"28",195
"29",1957
"30",571
"31",462
"32",232
"33",421
"34",841
"35",520
"36",451
"37",378
"38",3886
"39",2964
"40",264
"41",851
"42",330
"43",276
"44",206
"45",70
"46",156
"47",39
"48",40
"49",233
"50",1122
"51",852
"52",102
"53",104
"54",220
"55",74
"56",21
"57",231
"58",426
"59",1048
"60",308
"61",298
"62",185
"63",559
"64",54
"65",79
"66",158
"67",389
"68",40
"69",3613
"70",730
"71",471
"72",333
"73",4039
"74",451
"75",502
"76",2
"77",628
"78",58
"79",604
"80",699
"81",417
"82",654
"83",288
"84",424
"85",696
"86",445
"87",152
"88",2323
"89",113
"90",141
"91",1575
"92",1050
"93",57
"94",7870
"95",4987
"96",123
"97",2708
"98",1050
"99",172
"100",1794
"101",672
"102",348
"103",2282
"104",57
"105",690
"106",451
"107",59
"108",1961
"109",51
"110",1065
"111",505
"112",1298
"113",1082
"114",2274
"115",854
"116",254
"117",404
"118",49
"119",83
"120",155
"121",2605
"122",330
"123",94
"124",150
"125",98
"126",22
"127",126
"128",311
"129",199
"130",257
"131",5
"132",206
"133",642
"134",245
"135",106
"136",259
"137",357
"138",409
"139",3190
"140",758
"141",79
"142",230
"143",509
"144",754
"145",2
"146",217
"147",908
"148",438
"149",71
"150",200
"151",812
"152",187
"153",686
"154",525
"155",641
"156",3624
"157",2204
"158",445
"159",406
"160",42
"161",93
"162",33
"163",110
"164",132
"165",380
"166",202
"167",145
"168",396
"169",118
"170",184
"171",402
"172",6
"173",406
"174",15
"175",122
"176",654
"177",47
"178",78
"179",2078
"180",4127
"181",67
"182",278
"183",202
"184",30
"185",929
"186",233
"187",54
"188",251
"189",132
"190",68
"191",453
"192",626
"193",695
"194",128
"195",68
"196",93
"197",1084
"198",34
"199",297
"200",177
"201",5
"202",472
"203",459
"204",146
"205",63
"206",542
"207",49
"208",244
"209",4
"210",820
"211",1625
"212",245
"213",441
"214",128
"215",369
"216",471
"217",87
"218",107
"219",101
"220",2773
"221",839
"222",441
"223",20
"224",7
"225",69
"226",126
"227",386
"228",512
"229",164
"230",471
"231",84
"232",452
"233",1293
"234",59
"235",4143
"236",55
"237",50
"238",395
"239",102
"240",483
"241",76
"242",2515
"243",222
"244",1
"245",1339
"246",674
"247",699
"248",409
"249",222
"250",226
"251",71
"252",126
"253",76
"254",9
"255",929
"256",424
"257",452
"258",585
"259",193
"260",303
"261",340
"262",217
"263",36
"264",125
"265",376
"266",280
"267",83
"268",12
"269",8
"270",1170
"271",268
"272",164
"273",15
"274",325
"275",80
"276",443
"277",680
"278",1940
"279",18
"280",53
"281",95
"282",123
"283",75
"284",6
"285",146
"286",149
"287",102
"288",372
"289",104
"290",361
"291",36
"292",253
"293",427
"294",15
"295",1746
"296",117
"297",35
"298",547
"299",322
"300",871
"301",473
"302",369
"303",140
"304",429
"305",42
"306",138
