"","x"
"1",13738
"2",144
"3",25
"4",520
"5",839
"6",6849
"7",107
"8",184
"9",182
"10",711
"11",73
"12",142
"13",236
"14",1200
"15",1139
"16",4
"17",69
"18",384
"19",1723
"20",659
"21",868
"22",481
"23",178
"24",1589
"25",5207
"26",211
"27",2812
"28",376
"29",226
"30",941
"31",982
"32",1132
"33",252
"34",1676
"35",438
"36",302
"37",413
"38",965
"39",292
"40",1069
"41",290
"42",703
"43",299
"44",10
"45",568
"46",44253
"47",340
"48",1829
"49",66
"50",101
"51",5243
"52",2384
"53",4451
"54",20
"55",45
"56",210
"57",182
"58",288
"59",84
"60",76
"61",17
"62",72
"63",103
"64",122
"65",558
"66",339
"67",317
"68",310
"69",506
"70",174
"71",59
"72",72
"73",696
"74",230
"75",139
"76",549
"77",39
"78",51
"79",67
"80",375
"81",995
"82",637
"83",485
"84",242
"85",227
"86",110
"87",549
"88",544
"89",74
"90",529
"91",219
"92",4034
"93",735
"94",336
"95",49
"96",559
"97",312
"98",412
"99",808
"100",66
"101",593
"102",39
"103",993
"104",1
"105",144
"106",1097
"107",2816
"108",328
"109",9
"110",211
"111",522
"112",6631
"113",446
"114",175
"115",338
"116",426
"117",832
"118",303
"119",1488
"120",411
"121",1729
"122",812
"123",452
"124",910
"125",2997
"126",1884
"127",2100
"128",1703
"129",2334
"130",1086
"131",415
"132",1254
"133",626
"134",157
"135",4653
"136",40
"137",154
"138",538
"139",1410
"140",287
"141",1938
"142",209
"143",423
"144",271
"145",135
"146",364
"147",402
"148",76
"149",1694
"150",161
"151",1672
"152",1746
"153",1986
"154",130
"155",15
"156",92
"157",452
"158",639
"159",255
"160",1097
"161",23
"162",1904
"163",340
"164",184
"165",125
"166",194
"167",209
"168",95
"169",195
"170",308
"171",749
"172",255
"173",315
"174",392
"175",38
"176",186
"177",72
"178",218
"179",53
"180",7
"181",166
"182",120
"183",341
"184",849
"185",382
"186",169
"187",104
"188",161
"189",210
"190",1806
"191",632
"192",287
"193",26
"194",6
"195",655
"196",58
"197",110
"198",162
"199",140
"200",686
"201",601
"202",569
"203",985
"204",7
"205",126
"206",213
"207",10
"208",289
"209",365
"210",336
"211",302
"212",469
"213",45
"214",184
"215",459
"216",109
"217",75
"218",281
"219",124
"220",437
"221",193
"222",188
"223",191
"224",76
"225",550
"226",182
"227",600
"228",166
"229",376
"230",63
"231",19
"232",104
"233",50
"234",223
"235",40
"236",374
"237",146
"238",180
"239",349
"240",79
"241",289
"242",17
"243",130
"244",4113
"245",240
"246",546
"247",961
"248",140
"249",42
"250",157
"251",39
"252",1319
"253",129
"254",242
"255",205
"256",431
"257",280
"258",14
"259",182
"260",230
"261",814
"262",482
"263",269
"264",57
"265",253
"266",120
"267",212
"268",1333
"269",433
"270",241
"271",293
"272",294
"273",62
"274",150
"275",145
"276",18
"277",37
"278",177
"279",17
"280",334
"281",287
"282",59
"283",127
"284",352
"285",451
"286",82
"287",99
"288",124
"289",528
"290",139
"291",117
"292",147
"293",113
"294",16
"295",459
"296",317
"297",97
"298",144
"299",113
"300",187
"301",41
"302",55
"303",125
"304",21
"305",147
"306",55
"307",113
"308",111
"309",709
"310",153
"311",123
"312",153
"313",29
"314",401
"315",149
"316",11
"317",2
"318",412
"319",461
"320",145
"321",286
"322",105
"323",246
"324",249
"325",118
"326",385
"327",6
"328",51
"329",156
"330",29
"331",71
"332",338
"333",336
"334",9
"335",245
"336",114
"337",108
"338",133
"339",78
"340",5
"341",219
"342",188
"343",80
"344",342
"345",668
"346",129
"347",74
"348",181
"349",126
"350",12
"351",2
"352",72
"353",552
"354",316
"355",336
"356",212
"357",137
"358",19
"359",142
"360",258
"361",139
"362",258
"363",248
"364",1
"365",82
"366",88
"367",10
"368",329
"369",97
"370",224
"371",298
"372",204
"373",163
