"","x"
"1",65519
"2",3503
"3",90
"4",1826
"5",1167
"6",276
"7",939
"8",1253
"9",5835
"10",1934
"11",1300
"12",10
"13",307
"14",1072
"15",305
"16",142
"17",137
"18",301
"19",9235
"20",28058
"21",2371
"22",1894
"23",182
"24",221
"25",3117
"26",18
"27",23
"28",144
"29",654
"30",42
"31",4198
"32",244
"33",692
"34",479
"35",1950
"36",51
"37",2627
"38",4598
"39",6733
"40",2354
"41",82
"42",917
"43",5
"44",6
"45",822
"46",119
"47",3698
"48",311
"49",82
"50",670
"51",545
"52",742
"53",30
"54",68
"55",131
"56",133
"57",222
"58",1080
"59",7
"60",66
"61",3183
"62",281
"63",28
"64",1136
"65",406
"66",554
"67",510
"68",192
"69",240
"70",1
"71",268
"72",438
"73",557
"74",433
"75",187
"76",289
"77",506
"78",254
"79",371
"80",697
"81",165
"82",597
"83",169
"84",78
"85",1613
"86",1588
"87",125
"88",527
"89",369
"90",625
"91",118
"92",151
"93",356
"94",1012
"95",319
"96",704
"97",299
"98",871
"99",837
"100",1578
"101",870
"102",84
"103",817
"104",304
"105",30
"106",217
"107",110
"108",40
"109",1103
"110",476
"111",10
"112",176
"113",193
"114",166
"115",1645
"116",706
"117",439
"118",94
"119",97
"120",200
"121",616
"122",64
"123",368
"124",59
"125",118
"126",75
"127",3000
"128",113
"129",295
"130",1635
"131",616
"132",1205
"133",140
"134",863
"135",94
"136",166
"137",814
"138",390
"139",1075
"140",280
"141",1982
"142",95
"143",731
"144",1069
"145",717
"146",436
"147",26
"148",18
"149",17
"150",176
"151",117
"152",179
"153",402
"154",1318
"155",14
"156",551
"157",148
"158",140
"159",78
"160",173
"161",131
"162",86
"163",1340
"164",140
"165",347
"166",495
"167",125
"168",101
"169",113
"170",1487
"171",219
"172",46
"173",317
"174",544
"175",283
"176",425
"177",1017
"178",151
"179",406
"180",806
"181",63
"182",173
"183",1081
"184",297
"185",28
"186",247
"187",138
"188",24
"189",55
"190",2335
"191",337
"192",108
"193",717
"194",56
"195",154
"196",199
"197",194
"198",304
"199",159
"200",4933
"201",914
"202",557
"203",185
"204",250
"205",460
"206",154
"207",798
"208",147
"209",252
"210",394
"211",757
"212",58
"213",578
"214",196
"215",562
"216",226
"217",24
"218",56
"219",111
"220",180
"221",205
"222",78
"223",109
"224",54
"225",66
"226",22
"227",786
"228",27
"229",12
"230",390
"231",858
"232",1113
"233",2800
"234",677
"235",289
"236",52
"237",1252
"238",219
"239",327
"240",1031
"241",155
"242",226
"243",504
"244",249
"245",416
"246",859
"247",45
"248",206
"249",445
"250",664
"251",498
"252",100
"253",381
"254",738
"255",2084
"256",260
"257",2613
"258",663
"259",1
"260",913
"261",179
"262",275
"263",738
"264",13
"265",1
"266",18
"267",304
"268",1555
"269",1238
"270",127
"271",621
"272",224
"273",41
"274",305
"275",76
"276",35
"277",83
"278",15
"279",141
"280",130
"281",134
"282",1
"283",26
"284",22
"285",403
"286",431
"287",256
"288",563
"289",481
"290",216
"291",91
"292",67
"293",717
"294",550
"295",1251
"296",419
"297",357
"298",185
"299",68
"300",41
"301",298
"302",118
"303",101
"304",101
"305",52
"306",20
"307",176
"308",55
"309",202
"310",20
"311",27
"312",85
"313",7
"314",137
"315",47
"316",120
"317",95
"318",52
"319",248
"320",112
"321",310
"322",169
"323",135
"324",39
"325",66
"326",311
"327",4
"328",57
"329",83
"330",11
"331",164
"332",176
"333",48
"334",156
"335",172
"336",141
"337",1
"338",68
"339",44
"340",59
"341",42
"342",209
"343",126
"344",95
"345",26
"346",254
"347",308
"348",106
"349",129
"350",95
"351",69
"352",197
"353",69
"354",26
"355",45
"356",16
"357",181
"358",51
"359",260
"360",176
"361",123
"362",131
"363",134
"364",195
"365",40
"366",25
"367",12
"368",220
"369",161
"370",52
"371",105
"372",19
"373",41
"374",49
"375",114
"376",216
"377",12
"378",11
"379",269
"380",48
"381",80
"382",119
"383",135
"384",21
"385",36
"386",256
"387",158
"388",396
"389",93
"390",168
"391",276
"392",246
"393",309
"394",89
"395",108
"396",136
"397",14
"398",570
"399",149
"400",170
"401",11
"402",62
"403",17
"404",311
"405",116
"406",65
"407",116
"408",81
"409",147
"410",86
"411",39
"412",192
"413",135
"414",58
"415",38
"416",3
"417",12
"418",43
"419",371
