"","x"
"1",11188
"2",802
"3",437
"4",213
"5",6
"6",64
"7",4454
"8",1171
"9",122
"10",125
"11",4471
"12",13149
"13",4720
"14",3913
"15",482
"16",998
"17",22
"18",462
"19",352
"20",156
"21",56
"22",261
"23",389
"24",252
"25",671
"26",2455
"27",30
"28",547
"29",538
"30",2307
"31",8486
"32",2638
"33",3263
"34",20
"35",44
"36",522
"37",55
"38",107
"39",265
"40",248
"41",86
"42",330
"43",662
"44",108
"45",243
"46",112
"47",910
"48",145
"49",73
"50",135
"51",166
"52",324
"53",736
"54",456
"55",1201
"56",636
"57",69
"58",640
"59",20064
"60",375
"61",220
"62",279
"63",953
"64",32
"65",119
"66",156
"67",136
"68",277
"69",123
"70",282
"71",724
"72",841
"73",198
"74",960
"75",557
"76",372
"77",536
"78",451
"79",179
"80",58
"81",1302
"82",674
"83",1282
"84",167
"85",903
"86",151
"87",3096
"88",197
"89",271
"90",214
"91",122
"92",119
"93",926
"94",316
"95",2894
"96",1627
"97",80
"98",68
"99",557
"100",2528
"101",422
"102",745
"103",50
"104",433
"105",1433
"106",424
"107",1577
"108",170
"109",169
"110",266
"111",126
"112",303
"113",1144
"114",868
"115",584
"116",641
"117",341
"118",1803
"119",733
"120",135
"121",345
"122",3489
"123",212
"124",315
"125",9
"126",1250
"127",525
"128",336
"129",5804
"130",136
"131",198
"132",539
"133",541
"134",138
"135",693
"136",2007
"137",295
"138",1846
"139",1907
"140",332
"141",336
"142",122
"143",378
"144",225
"145",80
"146",37
"147",71
"148",1318
"149",258
"150",61
"151",25
"152",757
"153",68
"154",203
"155",272
"156",104
"157",633
"158",282
"159",147
"160",135
"161",1552
"162",404
"163",502
"164",202
"165",113
"166",22
"167",409
"168",92
"169",366
"170",142
"171",282
"172",291
"173",271
"174",12
"175",2120
"176",166
"177",188
"178",26
"179",681
"180",394
"181",41
"182",206
"183",332
"184",316
"185",370
"186",799
"187",498
"188",189
"189",517
"190",1170
"191",843
"192",473
"193",294
"194",1420
"195",1350
"196",685
"197",554
"198",289
"199",47
"200",346
"201",752
"202",1579
"203",486
"204",509
"205",273
"206",162
"207",1222
"208",101
"209",120
"210",111
"211",359
"212",174
"213",33
"214",240
"215",65
"216",317
"217",196
"218",96
"219",500
"220",2613
"221",60
"222",204
"223",106
"224",184
"225",9
"226",751
"227",53
"228",485
"229",657
"230",849
"231",181
"232",4246
"233",674
"234",828
"235",669
"236",416
"237",559
"238",38
"239",249
"240",42
"241",83
"242",104
"243",146
"244",79
"245",55
"246",66
"247",27
"248",654
"249",349
"250",318
"251",89
"252",54
"253",552
"254",610
"255",933
"256",241
"257",457
"258",354
"259",750
"260",796
"261",404
"262",247
"263",228
"264",738
"265",73
"266",278
"267",272
"268",170
"269",122
"270",6
"271",1180
"272",285
"273",730
"274",8
"275",504
"276",140
"277",166
"278",67
"279",164
"280",128
"281",234
"282",75
"283",149
"284",182
"285",178
"286",4
"287",1273
"288",76
"289",230
"290",301
"291",271
"292",110
"293",58
"294",165
"295",398
"296",968
"297",10
"298",73
"299",123
"300",162
"301",5
"302",7
"303",98
"304",224
"305",216
"306",103
"307",161
"308",381
"309",131
"310",147
"311",85
"312",409
"313",74
"314",76
"315",115
"316",108
"317",98
"318",328
"319",245
"320",191
"321",34
"322",238
"323",209
"324",102
"325",98
"326",99
"327",322
"328",212
"329",116
"330",41
"331",390
"332",94
"333",574
"334",68
"335",37
"336",699
"337",100
"338",190
"339",154
"340",1
"341",149
"342",151
"343",173
"344",25
"345",176
"346",134
"347",95
"348",10
"349",1
"350",14
"351",228
"352",56
"353",78
"354",263
"355",106
"356",171
"357",73
"358",44
"359",232
"360",81
"361",179
"362",48
"363",197
"364",21
"365",206
"366",73
"367",178
"368",171
"369",447
"370",195
"371",42
"372",60
"373",206
"374",110
"375",404
"376",469
"377",52
"378",132
"379",480
"380",26
"381",524
"382",458
"383",72
"384",67
"385",120
"386",64
"387",474
"388",495
"389",85
"390",77
"391",46
"392",92
"393",110
"394",158
"395",198
"396",720
"397",233
"398",162
"399",392
"400",149
"401",175
"402",17
"403",142
"404",213
"405",375
"406",12
"407",9
"408",434
"409",171
"410",227
"411",73
"412",224
"413",111
"414",128
"415",65
"416",176
"417",29
"418",25
"419",70
"420",109
"421",152
"422",37
"423",8
"424",296
"425",118
"426",397
"427",106
"428",139
"429",107
"430",83
"431",62
"432",354
"433",153
"434",141
"435",135
"436",219
"437",232
