"","x"
"1",1509
"2",307
"3",471
"4",1326
"5",2388
"6",295
"7",378
"8",1002
"9",380
"10",450
"11",1253
"12",142
"13",167
"14",817
"15",302
"16",420
"17",2934
"18",99
"19",208
"20",1688
"21",333
"22",322
"23",632
"24",1278
"25",933
"26",1424
"27",2730
"28",238
"29",87
"30",113
"31",390
"32",305
"33",105
"34",509
"35",22
"36",1052
"37",1120
"38",8
"39",18
"40",5166
"41",225
"42",76
"43",763
"44",387
"45",496
"46",433
"47",2111
"48",270
"49",138
"50",241
"51",134
"52",53
"53",259
"54",38
"55",8
"56",297
"57",135
"58",180
"59",21
"60",608
"61",65
"62",165
"63",69
"64",115
"65",354
"66",169
"67",83
"68",198
"69",137
"70",274
"71",896
"72",250
"73",356
"74",323
"75",20
"76",382
"77",1
"78",520
"79",90
"80",204
"81",206
"82",152
"83",280
"84",227
"85",101
"86",763
"87",619
"88",1153
"89",117
"90",236
"91",1771
"92",1011
"93",432
"94",1477
"95",244
"96",822
"97",459
"98",1382
"99",286
"100",420
"101",261
"102",111
"103",67
"104",107
"105",375
"106",268
"107",745
"108",273
"109",411
"110",1484
"111",1059
"112",255
"113",22
"114",140
"115",653
"116",101
"117",90
"118",65
"119",220
"120",108
"121",188
"122",29
"123",179
"124",5
"125",142
"126",529
"127",129
"128",576
"129",190
"130",252
"131",419
"132",2099
"133",814
"134",344
"135",185
"136",15
"137",1587
"138",230
"139",172
"140",23
"141",1206
"142",286
"143",185
"144",52
"145",344
"146",346
"147",163
"148",332
"149",1340
"150",1864
"151",1130
"152",385
"153",238
"154",24
"155",495
"156",193
"157",492
"158",179
"159",169
"160",306
"161",286
"162",766
"163",86
"164",198
"165",74
"166",115
"167",694
"168",2
"169",51
"170",36
"171",62
"172",305
"173",13
"174",121
"175",114
"176",466
"177",490
"178",22
"179",1105
"180",119
"181",162
"182",229
"183",106
"184",110
"185",2159
"186",1273
"187",234
"188",52
"189",62
"190",246
"191",362
"192",1428
"193",53
"194",694
"195",556
"196",2800
"197",234
"198",467
"199",260
"200",104
"201",132
"202",245
"203",220
"204",146
"205",167
"206",3124
"207",316
"208",228
"209",229
"210",5227
"211",626
"212",804
"213",172
"214",217
"215",197
"216",56
"217",144
"218",17
"219",2229
"220",514
"221",324
"222",159
"223",190
"224",766
"225",1353
"226",112
"227",14
"228",31
"229",55
"230",2165
"231",149
"232",6383
"233",288
"234",48
"235",410
"236",3059
"237",971
"238",747
"239",229
"240",167
"241",298
"242",2459
"243",357
"244",150
"245",137
"246",20
"247",292
"248",498
"249",636
"250",137
"251",126
"252",22
"253",640
"254",66
"255",174
"256",801
"257",184
"258",911
"259",11
"260",321
"261",158
"262",116
"263",397
"264",251
"265",64
"266",94
"267",193
"268",198
"269",37
"270",779
"271",1670
"272",798
"273",253
"274",100
"275",470
"276",222
"277",585
"278",6590
"279",433
"280",2881
"281",514
"282",385
"283",3204
"284",543
"285",65
"286",502
"287",123
"288",309
"289",47
"290",358
"291",101
"292",394
"293",111
"294",128
"295",326
"296",1969
"297",2799
"298",179
"299",463
"300",82
"301",507
"302",1148
"303",182
"304",90
"305",8
"306",185
"307",323
"308",184
"309",241
"310",96
"311",549
"312",292
"313",90
"314",21
"315",109
"316",187
"317",56
"318",715
"319",1669
"320",289
"321",278
"322",62
"323",296
"324",160
"325",282
"326",1398
"327",227
"328",44
"329",247
"330",285
"331",150
"332",1280
"333",155
"334",83
"335",45
"336",16
"337",583
"338",95
"339",379
"340",674
"341",241
"342",30
"343",454
"344",69
"345",318
"346",64
"347",763
"348",347
"349",151
"350",199
"351",281
"352",484
"353",285
"354",71
"355",152
"356",209
"357",60
"358",107
"359",94
"360",788
"361",131
"362",171
"363",741
"364",281
"365",687
"366",154
"367",123
"368",90
"369",89
"370",136
"371",93
"372",45
"373",8
"374",5
"375",370
"376",419
"377",457
"378",406
"379",168
"380",358
"381",143
"382",94
"383",39
"384",258
"385",353
"386",171
"387",135
"388",358
"389",64
"390",384
"391",82
"392",1533
"393",930
"394",327
"395",77
"396",54
"397",114
"398",83
"399",264
"400",159
"401",810
"402",657
"403",876
"404",148
"405",1417
"406",683
"407",725
"408",126
"409",117
"410",84
"411",180
"412",118
"413",483
"414",78
"415",349
"416",98
"417",179
"418",276
"419",93
"420",79
"421",137
"422",280
"423",8
"424",297
"425",155
"426",151
"427",122
"428",335
"429",64
"430",218
"431",3
"432",146
"433",339
"434",201
"435",81
"436",103
"437",152
"438",1
"439",1
"440",108
"441",580
"442",80
"443",88
"444",53
"445",63
"446",6
"447",45
"448",36
"449",183
"450",122
"451",41
"452",5
"453",257
"454",308
"455",60
"456",204
"457",12
"458",81
"459",139
"460",96
"461",89
"462",237
"463",225
"464",71
"465",127
"466",67
"467",171
"468",18
"469",97
"470",153
"471",91
"472",199
"473",26
"474",104
"475",763
"476",33
"477",22
"478",39
"479",188
"480",413
"481",179
"482",60
"483",22
"484",45
"485",28
"486",19
"487",68
"488",67
"489",98
"490",86
"491",163
"492",671
"493",34
"494",75
"495",141
"496",60
"497",138
"498",18
"499",88
"500",38
"501",90
"502",131
"503",58
"504",130
"505",39
"506",99
"507",211
"508",14
"509",165
"510",431
"511",62
"512",35
"513",52
"514",121
"515",108
"516",360
"517",305
"518",114
"519",26
"520",26
"521",206
"522",275
"523",200
"524",26
"525",119
"526",86
"527",138
"528",149
"529",182
"530",125
"531",10
"532",41
"533",447
"534",158
"535",67
"536",13
"537",204
"538",19
"539",128
"540",135
"541",130
"542",194
"543",22
"544",161
"545",36
"546",95
"547",51
"548",690
"549",12
"550",59
"551",113
"552",177
"553",97
"554",17
"555",296
"556",57
"557",60
"558",42
"559",269
"560",332
"561",22
"562",1962
"563",817
"564",284
"565",43
"566",81
"567",96
"568",119
"569",307
"570",71
"571",15
"572",116
"573",334
"574",319
"575",45
"576",248
"577",175
"578",134
"579",11
"580",1
"581",576
"582",100
"583",65
"584",10
"585",479
"586",50
"587",54
"588",26
"589",213
"590",70
"591",176
"592",23
"593",34
"594",106
"595",25
"596",21
"597",174
"598",112
"599",71
"600",114
"601",195
"602",466
"603",119
"604",35
"605",138
"606",67
"607",125
"608",36
"609",129
"610",130
"611",84
"612",99
"613",166
"614",167
"615",550
"616",96
"617",359
"618",6
"619",76
"620",75
"621",148
"622",818
"623",183
"624",143
"625",134
"626",59
"627",122
"628",135
"629",73
"630",69
"631",125
"632",100
"633",222
"634",347
"635",209
"636",189
"637",271
"638",110
"639",9
"640",198
"641",173
"642",878
"643",36
"644",136
"645",121
