"","x"
"1",10623
"2",1880
"3",832
"4",885
"5",228
"6",810
"7",100
"8",25
"9",70
"10",57
"11",15
"12",159
"13",7
"14",202
"15",85
"16",421
"17",805
"18",99
"19",453
"20",272
"21",107
"22",307
"23",197
"24",69
"25",53
"26",464
"27",1715
"28",211
"29",214
"30",850
"31",795
"32",659
"33",790
"34",746
"35",84
"36",140
"37",272
"38",166
"39",92
"40",27
"41",589
"42",246
"43",1088
"44",441
"45",1190
"46",874
"47",75
"48",281
"49",7657
"50",321
"51",28
"52",48
"53",85
"54",356
"55",5307
"56",408
"57",134
"58",168
"59",838
"60",725
"61",260
"62",313
"63",16
"64",18
"65",640
"66",2491
"67",236
"68",195
"69",82
"70",490
"71",197
"72",450
"73",356
"74",325
"75",155
"76",19
"77",279
"78",114
"79",68
"80",18
"81",126
"82",202
"83",3251
"84",418
"85",603
"86",494
"87",2357
"88",603
"89",207
"90",596
"91",1644
"92",761
"93",134
"94",555
"95",569
"96",1065
"97",835
"98",452
"99",333
"100",97
"101",169
"102",400
"103",311
"104",490
"105",1701
"106",165
"107",238
"108",63
"109",521
"110",1022
"111",1068
"112",1234
"113",166
"114",504
"115",10
"116",118
"117",443
"118",79
"119",293
"120",222
"121",309
"122",138
"123",149
"124",158
"125",43
"126",183
"127",238
"128",166
"129",63
"130",197
"131",1231
"132",193
"133",3715
"134",321
"135",359
"136",102
"137",604
"138",834
"139",8
"140",81
"141",174
"142",212
"143",417
"144",427
"145",404
"146",280
"147",85
"148",151
"149",1105
"150",508
"151",137
"152",417
"153",192
"154",393
"155",1211
"156",56
"157",268
"158",165
"159",145
"160",3716
"161",2242
"162",53
"163",237
"164",58
"165",349
"166",2044
"167",7
"168",17
"169",61
"170",87
"171",369
"172",116
"173",207
"174",33
"175",127
"176",74
"177",111
"178",2373
"179",225
"180",1109
"181",188
"182",117
"183",420
"184",604
"185",394
"186",573
"187",295
"188",273
"189",1532
"190",3066
"191",276
"192",28
"193",136
"194",50
"195",534
"196",160
"197",323
"198",409
"199",228
"200",4376
"201",141
"202",576
"203",205
"204",171
"205",36
"206",217
"207",79
"208",320
"209",351
"210",57
"211",101
"212",75
"213",62
"214",130
"215",78
"216",268
"217",137
"218",173
"219",85
"220",51
"221",70
"222",21
"223",5766
"224",98
"225",222
"226",194
"227",69
"228",995
"229",1006
"230",293
"231",1078
"232",423
"233",137
"234",502
"235",193
"236",149
"237",22
"238",81
"239",522
"240",245
"241",46
"242",263
"243",393
"244",294
"245",38
"246",270
"247",368
"248",228
"249",1723
"250",198
"251",152
"252",122
"253",480
"254",115
"255",336
"256",148
"257",54
"258",215
"259",1053
"260",1085
"261",108
"262",240
"263",55
"264",216
"265",227
"266",428
"267",97
"268",124
"269",93
"270",189
"271",74
"272",303
"273",19
"274",216
"275",1237
"276",310
"277",1054
"278",2453
"279",190
"280",111
"281",211
"282",137
"283",637
"284",11999
"285",311
"286",261
"287",57
"288",47
"289",284
"290",2
"291",283
"292",254
"293",12
"294",529
"295",37
"296",12
"297",275
"298",489
"299",77
"300",150
"301",29
"302",163
"303",337
"304",2774
"305",682
"306",94
"307",86
"308",1110
"309",564
"310",110
"311",70
"312",7575
"313",215
"314",86
"315",266
"316",98
"317",126
"318",230
"319",1010
"320",12
"321",376
"322",157
"323",93
"324",322
"325",340
"326",409
"327",16
"328",182
"329",62
"330",191
"331",380
"332",226
"333",275
"334",268
"335",250
"336",69
"337",139
"338",598
"339",189
"340",88
"341",172
"342",643
"343",179
"344",584
"345",942
"346",316
"347",932
"348",1686
"349",13
"350",182
"351",64
"352",396
"353",173
"354",146
"355",303
"356",170
"357",339
"358",8
"359",261
"360",317
"361",360
"362",63
"363",115
"364",243
"365",70
"366",17
"367",153
"368",347
"369",83
"370",245
"371",13
"372",134
"373",247
"374",37
"375",27
"376",98
"377",1256
"378",62
"379",249
"380",251
"381",196
"382",493
"383",150
"384",145
"385",106
"386",108
"387",374
"388",201
"389",263
"390",368
"391",69
"392",216
"393",88
"394",93
"395",150
"396",81
"397",162
"398",243
"399",36
"400",221
"401",165
"402",262
"403",279
"404",437
"405",72
"406",109
"407",289
"408",41
"409",6
"410",56
"411",74
"412",10
"413",199
"414",287
"415",30
"416",73
"417",647
"418",208
"419",9
"420",340
"421",380
"422",496
"423",148
"424",304
"425",27
"426",107
"427",16
"428",184
"429",145
"430",107
"431",33
"432",107
"433",49
"434",233
"435",125
"436",197
"437",108
"438",154
"439",46
"440",134
"441",58
"442",328
"443",284
"444",4
"445",111
"446",35
"447",182
"448",353
"449",174
"450",246
"451",466
"452",66
"453",195
"454",105
"455",333
"456",437
"457",370
"458",100
"459",266
"460",172
"461",124
"462",147
"463",467
"464",23
"465",243
"466",170
"467",341
"468",109
"469",182
"470",87
"471",30
"472",71
"473",132
"474",40
"475",135
"476",22
"477",40
"478",206
"479",31
"480",199
"481",139
"482",193
"483",277
"484",400
"485",228
"486",183
"487",23
"488",81
"489",71
"490",137
"491",38
"492",205
"493",460
"494",235
"495",129
"496",226
"497",154
"498",140
"499",188
"500",92
"501",44
"502",245
"503",227
"504",131
"505",17
"506",413
"507",161
"508",167
"509",62
"510",122
"511",407
"512",82
"513",9
"514",137
"515",79
"516",56
"517",764
"518",408
"519",111
"520",80
"521",37
"522",261
"523",175
"524",112
"525",139
"526",210
"527",80
"528",511
"529",126
"530",62
"531",322
"532",153
"533",1002
"534",34
"535",5
"536",25
"537",86
"538",768
"539",185
"540",54
"541",137
"542",57
"543",68
"544",181
"545",65
"546",8
"547",227
"548",254
"549",123
"550",15
"551",86
"552",58
"553",145
"554",16
"555",91
"556",78
"557",66
"558",99
"559",133
"560",338
"561",15
"562",411
"563",26
"564",131
"565",331
"566",145
"567",81
"568",42
"569",168
"570",556
"571",177
"572",60
"573",187
"574",164
"575",166
"576",102
"577",66
"578",183
"579",17
"580",263
"581",269
"582",8
"583",42
"584",302
"585",627
"586",47
"587",223
"588",145
