"","x"
"1",10495
"2",2330
"3",3194
"4",1711
"5",2988
"6",5771
"7",2422
"8",1310
"9",5279
"10",516
"11",414
"12",69
"13",5180
"14",2825
"15",597
"16",27437
"17",885
"18",302
"19",605
"20",142
"21",12142
"22",133
"23",1
"24",2067
"25",214
"26",167
"27",435
"28",1118
"29",125
"30",158
"31",2619
"32",3216
"33",5899
"34",9724
"35",885
"36",1092
"37",2908
"38",5735
"39",55
"40",36639
"41",724
"42",135
"43",27
"44",355
"45",696
"46",1417
"47",1622
"48",3361
"49",4936
"50",29
"51",633
"52",26
"53",427
"54",3404
"55",889
"56",443
"57",427
"58",281
"59",795
"60",988
"61",2184
"62",295
"63",599
"64",375
"65",147
"66",160
"67",52
"68",566
"69",320
"70",7762
"71",11627
"72",1655
"73",2576
"74",235
"75",1084
"76",776
"77",1433
"78",509
"79",1237
"80",551
"81",684
"82",702
"83",2607
"84",938
"85",564
"86",745
"87",373
"88",29
"89",427
"90",249
"91",181
"92",542
"93",487
"94",390
"95",175
"96",541
"97",731
"98",962
"99",1
"100",225
"101",748
"102",162
"103",7
"104",509
"105",163
"106",352
"107",425
"108",188
"109",657
"110",575
"111",88
"112",33
"113",460
"114",359
"115",774
"116",507
"117",114
"118",244
"119",1197
"120",107
"121",104
"122",682
"123",117
"124",110
"125",13
"126",271
"127",813
"128",1067
"129",55
"130",1090
"131",142
"132",153
"133",99
"134",66
"135",4
"136",50
"137",296
"138",1608
"139",44
"140",176
"141",366
"142",747
"143",216
"144",80
"145",403
"146",153
"147",1103
"148",492
"149",64
"150",2062
"151",17
"152",70
"153",80
"154",14
"155",439
"156",281
"157",50
"158",157
"159",65
"160",232
"161",36
"162",194
"163",205
"164",165
"165",311
"166",6
"167",545
"168",97
"169",42
"170",233
"171",90
"172",178
"173",542
"174",92
"175",30
"176",101
"177",648
"178",50
"179",1
"180",531
"181",620
"182",32
"183",2
"184",190
"185",159
"186",18
"187",24
"188",702
"189",982
"190",124
"191",2073
"192",314
"193",167
"194",233
"195",222
"196",360
"197",119
"198",154
"199",66
"200",110
"201",426
"202",9
"203",362
"204",370
"205",207
"206",128
"207",32
"208",37
"209",129
"210",7
"211",16
"212",8
"213",5
"214",119
"215",16
"216",149
"217",282
"218",176
"219",186
"220",2
"221",703
"222",75
"223",78
"224",330
"225",12
"226",25
"227",390
"228",18
"229",50
"230",23
"231",56
"232",184
"233",208
"234",196
"235",217
"236",11
"237",168
"238",534
"239",47
"240",144
"241",327
"242",99
"243",35
"244",184
"245",8
"246",89
"247",225
"248",112
"249",240
"250",25
"251",114
"252",102
"253",20
"254",151
"255",465
"256",384
"257",72
"258",359
"259",174
"260",119
"261",417
"262",303
"263",110
"264",150
"265",147
"266",222
"267",38
"268",312
"269",151
"270",65
"271",158
"272",202
"273",99
"274",37
"275",55
"276",119
"277",256
"278",67
"279",91
"280",36
"281",31
"282",52
