"","x"
"1",49461
"2",7219
"3",1384
"4",1187
"5",1081
"6",5090
"7",3786
"8",294
"9",8299
"10",3123
"11",1627
"12",687
"13",821
"14",1072
"15",73
"16",713
"17",549
"18",881
"19",3925
"20",614
"21",18
"22",108
"23",330
"24",526
"25",641
"26",3821
"27",785
"28",776
"29",275
"30",3
"31",93
"32",687
"33",158
"34",273
"35",236
"36",96
"37",126
"38",336
"39",74
"40",1290
"41",125
"42",91
"43",109
"44",388
"45",5431
"46",917
"47",151
"48",1572
"49",1250
"50",70
"51",1603
"52",249
"53",1351
"54",5
"55",489
"56",323
"57",696
"58",580
"59",71
"60",59
"61",130
"62",492
"63",301
"64",214
"65",739
"66",656
"67",873
"68",163
"69",434
"70",79
"71",167
"72",9
"73",1377
"74",129
"75",289
"76",233
"77",275
"78",27
"79",51
"80",153
"81",17
"82",114
"83",255
"84",395
"85",88
"86",82
"87",302
"88",359
"89",85
"90",109
"91",10
"92",557
"93",1487
"94",277
"95",296
"96",822
"97",2045
"98",1259
"99",227
"100",318
"101",4282
"102",210
"103",445
"104",568
"105",1025
"106",3438
"107",390
"108",1145
"109",154
"110",41
"111",173
"112",1133
"113",2606
"114",736
"115",1512
"116",3181
"117",35
"118",40
"119",93
"120",352
"121",1348
"122",186
"123",545
"124",989
"125",2076
"126",1229
"127",433
"128",308
"129",355
"130",12264
"131",985
"132",127
"133",211
"134",671
"135",2578
"136",47
"137",70
"138",591
"139",97
"140",158
"141",160
"142",1364
"143",86
"144",446
"145",435
"146",902
"147",283
"148",695
"149",121
"150",636
"151",804
"152",74
"153",286
"154",825
"155",124
"156",1320
"157",34
"158",558
"159",130
"160",166
"161",186
"162",52
"163",632
"164",973
"165",23
"166",4
"167",162
"168",73
"169",341
"170",584
"171",679
"172",110
"173",127
"174",295
"175",102
"176",67
"177",395
"178",29
"179",105
"180",84
"181",190
"182",207
"183",94
"184",637
"185",77
"186",200
"187",756
"188",105
"189",1290
"190",241
"191",191
"192",10
"193",11
"194",122
"195",89
"196",88
"197",116
"198",165
"199",646
"200",954
"201",262
"202",453
"203",137
"204",222
"205",745
"206",109
"207",259
"208",705
"209",115
"210",361
"211",22
"212",6
"213",348
"214",105
"215",2150
"216",46
"217",84
"218",13
"219",368
"220",35
"221",104
"222",68
"223",155
"224",246
"225",87
"226",607
"227",58
"228",7
"229",84
"230",157
"231",203
"232",497
"233",252
"234",33
"235",47
"236",106
"237",186
"238",107
"239",26
"240",174
"241",466
"242",221
"243",338
"244",13
"245",113
"246",18
"247",324
"248",308
"249",196
"250",121
"251",172
"252",109
"253",68
"254",830
"255",120
"256",125
"257",94
"258",389
"259",132
"260",76
"261",117
"262",542
"263",1161
"264",258
"265",34
"266",80
"267",89
"268",292
