"","x"
"1",1984
"2",723
"3",434
"4",5281
"5",1248
"6",1143
"7",139
"8",299
"9",276
"10",151
"11",1436
"12",365
"13",336
"14",1291
"15",665
"16",1087
"17",3551
"18",6322
"19",31
"20",6754
"21",44
"22",1707
"23",2279
"24",405
"25",678
"26",4237
"27",472
"28",617
"29",1275
"30",1006
"31",1940
"32",3066
"33",1636
"34",1026
"35",730
"36",309
"37",784
"38",4717
"39",59
"40",36
"41",1000
"42",145
"43",467
"44",295
"45",695
"46",1432
"47",1459
"48",715
"49",670
"50",136
"51",125
"52",497
"53",430
"54",274
"55",215
"56",1168
"57",347
"58",192
"59",303
"60",452
"61",56
"62",92
"63",561
"64",31
"65",202
"66",11
"67",27
"68",65
"69",605
"70",1259
"71",2857
"72",1556
"73",2691
"74",3319
"75",438
"76",3612
"77",795
"78",3251
"79",10
"80",10685
"81",68
"82",331
"83",89
"84",503
"85",165
"86",24
"87",45
"88",109
"89",47
"90",72
"91",370
"92",101
"93",322
"94",494
"95",676
"96",7
"97",243
"98",35
"99",129
"100",339
"101",55
"102",8576
"103",2875
"104",121
"105",1000
"106",75
"107",966
"108",285
"109",85
"110",1
"111",352
"112",25
"113",10
"114",108
"115",1100
"116",484
"117",7931
"118",369
"119",157
"120",178
"121",2456
"122",60
"123",266
"124",686
"125",151
"126",41
"127",40
"128",1265
"129",353
"130",66
"131",48
"132",11
"133",248
"134",834
"135",2174
"136",30
"137",1285
"138",2458
"139",9
"140",40
"141",624
"142",251
"143",196
"144",59
"145",1109
"146",34
"147",497
"148",163
"149",319
"150",90
"151",1649
"152",111
"153",26
"154",534
"155",261
"156",285
"157",9
"158",484
"159",174
"160",33
"161",511
"162",1238
"163",657
"164",155
"165",338
"166",20
"167",452
"168",55
"169",202
"170",736
"171",158
"172",270
"173",1796
"174",111
"175",29
"176",125
"177",206
"178",965
"179",892
"180",673
"181",629
"182",124
"183",310
"184",741
"185",667
"186",2224
"187",126
"188",42
"189",204
"190",181
"191",341
"192",473
"193",1158
"194",22
"195",349
"196",611
"197",245
"198",1254
"199",413
"200",213
"201",391
"202",1487
"203",429
"204",18
"205",5096
"206",1101
"207",230
"208",903
"209",79
"210",242
"211",586
"212",266
"213",170
"214",78
"215",55
"216",73
"217",542
"218",44
"219",1108
"220",560
"221",462
"222",216
"223",121
"224",71
"225",4096
"226",1425
"227",121
"228",113
"229",43
"230",293
"231",740
"232",42
"233",222
"234",1099
"235",309
"236",168
"237",114
"238",522
"239",595
"240",251
"241",192
"242",256
"243",109
"244",313
"245",63
"246",218
"247",268
"248",204
"249",183
"250",271
"251",300
"252",30
"253",86
"254",416
"255",220
"256",161
"257",989
"258",352
"259",824
"260",6
"261",434
"262",110
"263",101
"264",17
"265",112
"266",337
"267",229
"268",129
"269",181
"270",409
"271",149
"272",11
"273",159
"274",216
"275",2425
"276",576
"277",1154
"278",81
"279",208
"280",42
"281",449
"282",18
"283",46
"284",232
"285",132
"286",251
"287",411
"288",369
"289",36
"290",278
"291",606
"292",1202
"293",127
"294",99
"295",229
"296",68
"297",25
"298",118
"299",127
"300",37
"301",98
"302",276
"303",174
"304",561
"305",448
"306",159
"307",101
"308",129
"309",339
"310",148
"311",183
"312",616
"313",53
"314",216
"315",360
"316",128
"317",786
"318",63
"319",40
"320",35
"321",198
"322",163
"323",116
"324",310
"325",58
"326",49
"327",181
"328",11
"329",574
"330",174
"331",140
"332",92
"333",193
"334",207
"335",246
"336",99
"337",15
"338",160
"339",222
"340",106
"341",554
"342",58
"343",164
"344",182
"345",233
"346",205
"347",73
"348",31
"349",179
"350",29
"351",306
"352",226
"353",138
"354",135
"355",158
"356",92
"357",46
"358",31
"359",179
"360",225
"361",154
"362",134
"363",83
"364",202
"365",423
"366",89
"367",134
"368",255
"369",9
"370",132
"371",97
"372",452
"373",6
"374",1147
"375",459
"376",158
"377",76
"378",120
"379",98
"380",40
"381",9
"382",132
"383",42
"384",160
"385",75
"386",545
"387",2
"388",163
"389",1286
"390",18
"391",245
"392",114
"393",50
"394",240
"395",24
"396",145
"397",46
"398",415
"399",152
"400",65
"401",155
"402",56
"403",129
"404",68
"405",290
"406",94
"407",106
"408",64
"409",115
"410",192
"411",157
"412",214
"413",1376
"414",402
"415",122
"416",155
"417",241
"418",109
"419",316
"420",199
"421",102
"422",121
"423",131
"424",136
"425",350
"426",31
"427",149
"428",157
"429",131
"430",161
"431",97
"432",139
