"","x"
"1",15497
"2",10261
"3",1177
"4",3261
"5",14687
"6",10156
"7",6858
"8",701
"9",471
"10",547
"11",4294
"12",2237
"13",6666
"14",1047
"15",919
"16",1329
"17",1504
"18",2811
"19",142
"20",19649
"21",2162
"22",2427
"23",17
"24",338
"25",328
"26",93
"27",24
"28",105
"29",1843
"30",44
"31",1101
"32",267
"33",705
"34",581
"35",3217
"36",1136
"37",522
"38",1029
"39",1243
"40",190
"41",8
"42",141
"43",11292
"44",436
"45",554
"46",1622
"47",214
"48",597
"49",138
"50",791
"51",339
"52",1891
"53",166
"54",186
"55",1379
"56",231
"57",957
"58",724
"59",771
"60",68
"61",1540
"62",273
"63",1776
"64",686
"65",84
"66",328
"67",784
"68",325
"69",78
"70",558
"71",752
"72",6170
"73",6668
"74",2141
"75",271
"76",20290
"77",2220
"78",469
"79",1586
"80",405
"81",321
"82",3682
"83",1338
"84",657
"85",456
"86",21
"87",358
"88",17
"89",73
"90",224
"91",209
"92",1188
"93",159
"94",59
"95",235
"96",105
"97",262
"98",220
"99",107
"100",1197
"101",252
"102",568
"103",2806
"104",5364
"105",1329
"106",1918
"107",4784
"108",390
"109",365
"110",267
"111",135
"112",266
"113",675
"114",481
"115",380
"116",1609
"117",10031
"118",15
"119",1166
"120",1363
"121",16
"122",173
"123",117
"124",446
"125",112
"126",31
"127",131
"128",200
"129",297
"130",4154
"131",62
"132",319
"133",1149
"134",1105
"135",313
"136",375
"137",4232
"138",60
"139",114
"140",440
"141",167
"142",75
"143",3
"144",1
"145",1554
"146",133
"147",136
"148",1256
"149",208
"150",1270
"151",202
"152",232
"153",178
"154",10
"155",205
"156",608
"157",19
"158",57
"159",1003
"160",472
"161",738
"162",161
"163",7
"164",65
"165",67
"166",1726
"167",687
"168",195
"169",632
"170",923
"171",664
"172",335
"173",177
"174",12
"175",132
"176",33
"177",850
"178",182
"179",325
"180",357
"181",234
"182",241
"183",215
"184",125
"185",100
"186",88
"187",305
"188",428
"189",78
"190",236
"191",2438
"192",259
"193",480
"194",188
"195",76
"196",118
"197",83
"198",219
"199",285
"200",105
"201",102
"202",237
"203",64
"204",162
"205",893
"206",63
"207",81
"208",554
"209",58
"210",162
"211",470
"212",116
"213",115
"214",444
"215",186
"216",299
"217",368
"218",148
"219",385
"220",158
"221",48
"222",86
"223",29
"224",329
"225",546
"226",117
"227",42
"228",330
"229",574
"230",124
"231",232
"232",81
"233",91
"234",47
"235",170
"236",134
"237",47
"238",139
"239",207
"240",128
"241",140
"242",1156
"243",85
"244",174
"245",251
"246",213
"247",60
"248",273
"249",97
"250",103
"251",39
"252",147
"253",119
"254",117
"255",108
"256",63
"257",140
"258",173
"259",25
"260",207
"261",180
"262",20
"263",246
"264",128
"265",211
"266",185
"267",31
"268",133
"269",67
"270",130
"271",289
"272",132
"273",2
"274",55
"275",187
"276",203
"277",75
"278",208
"279",367
"280",499
"281",68
"282",127
"283",94
"284",956
"285",90
"286",141
"287",73
"288",106
"289",43
"290",488
"291",261
"292",443
"293",86
"294",212
"295",35
"296",124
"297",653
"298",473
"299",24
"300",76
"301",57
"302",132
"303",123
"304",71
"305",219
"306",77
"307",105
"308",207
"309",205
"310",155
"311",218
"312",303
"313",62
"314",90
"315",82
"316",198
"317",45
"318",229
"319",84
"320",168
"321",102
"322",54
"323",129
"324",119
"325",189
"326",169
"327",106
"328",816
"329",95
"330",630
"331",12
"332",7
"333",4
"334",163
"335",158
"336",289
