"","x"
"1",18954
"2",2639
"3",3945
"4",994
"5",1275
"6",1112
"7",153
"8",2402
"9",6542
"10",15
"11",16
"12",264
"13",183
"14",388
"15",128
"16",544
"17",447
"18",418
"19",137
"20",78
"21",794
"22",1192
"23",627
"24",1385
"25",54
"26",605
"27",1333
"28",1034
"29",670
"30",3272
"31",2316
"32",2538
"33",1005
"34",1326
"35",236
"36",213
"37",432
"38",109
"39",129
"40",39
"41",112
"42",158
"43",380
"44",333
"45",1468
"46",50
"47",489
"48",872
"49",1921
"50",203
"51",421
"52",4211
"53",164
"54",3
"55",84
"56",107
"57",573
"58",610
"59",839
"60",272
"61",292
"62",21
"63",94
"64",42
"65",120
"66",144
"67",1080
"68",3335
"69",678
"70",163
"71",72
"72",413
"73",130
"74",81
"75",284
"76",233
"77",187
"78",134
"79",83
"80",1349
"81",6800
"82",1454
"83",1215
"84",291
"85",193
"86",13
"87",774
"88",566
"89",18
"90",377
"91",99
"92",52
"93",291
"94",81
"95",540
"96",108
"97",2662
"98",356
"99",200
"100",678
"101",513
"102",935
"103",1561
"104",12
"105",85
"106",581
"107",345
"108",82
"109",169
"110",754
"111",963
"112",154
"113",50
"114",181
"115",144
"116",134
"117",225
"118",157
"119",16
"120",153
"121",178
"122",1565
"123",131
"124",873
"125",164
"126",79
"127",266
"128",37
"129",251
"130",5343
"131",149
"132",250
"133",73
"134",38
"135",7
"136",56
"137",398
"138",104
"139",31
"140",12
"141",203
"142",3
"143",217
"144",276
"145",97
"146",211
"147",24
"148",110
"149",166
"150",562
"151",3
"152",246
"153",187
"154",60
"155",62
"156",44
"157",961
"158",1981
"159",1303
"160",109
"161",351
"162",123
"163",30
"164",150
"165",662
"166",45
"167",1368
"168",315
"169",2137
"170",250
"171",175
"172",695
"173",43
"174",225
"175",203
"176",401
"177",458
"178",181
"179",212
"180",660
"181",35
"182",209
"183",33
"184",22
"185",46
"186",646
"187",99
"188",189
"189",2403
"190",188
"191",779
"192",494
"193",68
"194",228
"195",886
"196",57
"197",1596
"198",323
"199",785
"200",1492
"201",2039
"202",1036
"203",638
"204",705
"205",220
"206",442
"207",74
"208",437
"209",29
"210",1180
"211",191
"212",73
"213",224
"214",630
"215",66
"216",348
"217",225
"218",897
"219",85
"220",55
"221",28
"222",147
"223",56
"224",144
"225",71
"226",267
"227",35
"228",316
"229",249
"230",453
"231",819
"232",301
"233",418
"234",466
"235",230
"236",141
"237",143
"238",530
"239",352
"240",1238
"241",92
"242",143
"243",271
"244",35
"245",192
"246",1416
"247",174
"248",597
"249",387
"250",929
"251",690
"252",842
"253",424
"254",446
"255",1045
"256",413
"257",156
"258",1312
"259",88
"260",285
"261",203
"262",35
"263",198
"264",6
"265",72
"266",15
"267",156
"268",79
"269",93
"270",331
"271",156
"272",2
"273",15686
"274",1273
"275",4681
"276",1036
"277",24
"278",39
"279",129
"280",289
"281",2747
"282",505
"283",64
"284",132
"285",857
"286",208
"287",865
"288",182
"289",875
"290",2408
"291",474
"292",425
"293",824
"294",811
"295",2466
"296",107
"297",177
"298",687
"299",1338
"300",1183
"301",1342
"302",914
"303",26
"304",248
"305",189
"306",63
"307",67
"308",72
"309",589
"310",1046
"311",965
"312",297
"313",485
"314",83
"315",96
"316",714
"317",405
"318",142
"319",224
"320",124
"321",127
"322",35
"323",225
"324",156
"325",26
"326",95
"327",59
"328",281
"329",345
"330",117
"331",697
"332",389
"333",377
"334",1055
"335",261
"336",266
"337",363
"338",864
"339",148
"340",73
"341",3
"342",151
"343",27
"344",94
"345",54
"346",247
"347",304
"348",258
"349",221
"350",103
"351",80
"352",210
"353",391
"354",62
"355",44
"356",144
"357",98
"358",162
"359",162
"360",700
"361",272
"362",21
"363",73
"364",92
"365",29
"366",54
"367",206
"368",265
"369",190
"370",25
"371",353
"372",53
"373",64
"374",32
"375",57
"376",22
"377",2
"378",354
"379",90
"380",69
"381",16
"382",92
"383",62
"384",97
"385",60
"386",101
"387",41
"388",765
"389",318
"390",39
"391",120
"392",52
"393",172
"394",183
"395",35
"396",63
"397",39
"398",73
"399",75
"400",2
"401",78
"402",241
"403",92
"404",185
"405",1
"406",369
"407",170
"408",235
"409",6
"410",37
"411",55
"412",112
"413",538
"414",121
"415",125
"416",102
"417",122
"418",47
"419",182
"420",170
"421",25
"422",2
"423",16
"424",237
"425",13
"426",394
"427",64
"428",70
"429",109
"430",227
"431",74
"432",291
"433",298
"434",79
"435",114
"436",180
"437",57
"438",147
"439",20
"440",9
"441",69
"442",84
"443",784
"444",408
"445",409
"446",334
"447",27
"448",135
"449",288
"450",382
"451",122
"452",266
"453",9
"454",287
"455",105
"456",131
"457",46
"458",106
"459",191
"460",9
"461",109
"462",286
"463",119
"464",97
"465",65
"466",72
"467",53
"468",43
"469",185
"470",45
"471",91
"472",64
"473",131
"474",42
"475",85
"476",58
"477",19
"478",107
"479",225
"480",33
"481",121
"482",136
