"","x"
"1",8310
"2",695
"3",214
"4",403
"5",347
"6",68
"7",111
"8",417
"9",45
"10",138
"11",684
"12",144
"13",13825
"14",1940
"15",961
"16",796
"17",157
"18",1369
"19",146
"20",341
"21",1397
"22",822
"23",61
"24",1727
"25",542
"26",518
"27",742
"28",914
"29",881
"30",12
"31",97
"32",3
"33",1181
"34",1045
"35",1121
"36",140
"37",14
"38",133
"39",495
"40",125
"41",508
"42",814
"43",2394
"44",18698
"45",759
"46",28
"47",45
"48",225
"49",115
"50",95
"51",4
"52",1436
"53",198
"54",2729
"55",61
"56",574
"57",174
"58",6882
"59",1017
"60",409
"61",2730
"62",573
"63",1417
"64",2036
"65",322
"66",96
"67",4245
"68",2552
"69",452
"70",148
"71",102
"72",143
"73",298
"74",73
"75",270
"76",126
"77",79
"78",2329
"79",326
"80",743
"81",1181
"82",1114
"83",78
"84",4
"85",149
"86",624
"87",613
"88",375
"89",282
"90",137
"91",1384
"92",160
"93",108
"94",261
"95",185
"96",782
"97",207
"98",208
"99",2
"100",326
"101",237
"102",45
"103",138
"104",231
"105",293
"106",366
"107",505
"108",755
"109",63
"110",388
"111",333
"112",64
"113",972
"114",619
"115",4
"116",145
"117",107
"118",74
"119",292
"120",354
"121",917
"122",14
"123",535
"124",228
"125",446
"126",472
"127",67
"128",925
"129",2695
"130",151
"131",304
"132",260
"133",299
"134",146
"135",67
"136",200
"137",888
"138",52
"139",65
"140",76
"141",387
"142",231
"143",759
"144",361
"145",778
"146",21
"147",79
"148",72
"149",4
"150",216
"151",419
"152",112
"153",57
"154",104
"155",2377
"156",193
"157",159
"158",84
"159",198
"160",427
"161",414
"162",79
"163",102
"164",273
"165",283
"166",35
"167",11
"168",168
"169",30
"170",40
"171",17
"172",198
"173",31
"174",75
"175",260
"176",325
"177",61
"178",777
"179",65
"180",27
"181",14
"182",193
"183",511
"184",996
"185",428
"186",211
"187",525
"188",199
"189",59
"190",53
"191",375
"192",137
"193",2071
"194",133
"195",79
"196",27
"197",85
"198",260
"199",35
"200",74
"201",84
"202",1506
"203",99
"204",1437
"205",6
"206",768
"207",210
"208",71
"209",1154
"210",14
"211",333
"212",72
"213",3035
"214",169
"215",942
"216",118
"217",116
"218",496
"219",40
"220",16
"221",226
"222",544
"223",2828
"224",232
"225",27
"226",17
"227",274
"228",86
"229",78
"230",220
"231",280
"232",217
"233",426
"234",104
"235",54
"236",235
"237",138
"238",54
"239",203
"240",440
"241",143
"242",116
"243",375
"244",195
"245",183
"246",145
"247",9
"248",14
"249",96
"250",11846
"251",3558
"252",1015
"253",944
"254",499
"255",338
"256",666
"257",523
"258",1274
"259",449
"260",23
"261",372
"262",166
"263",345
"264",9
"265",545
"266",1292
"267",261
"268",275
"269",7333
"270",1590
"271",13
"272",18
"273",311
"274",212
"275",317
"276",112
"277",1
"278",571
"279",777
"280",187
"281",542
"282",56
"283",445
"284",281
"285",916
"286",222
"287",17
"288",3
"289",2031
"290",368
"291",756
"292",509
"293",169
"294",817
"295",248
"296",315
"297",274
"298",296
"299",228
"300",97
"301",1518
"302",748
"303",138
"304",61
"305",397
"306",1306
"307",297
"308",324
"309",118
"310",111
"311",667
"312",2938
"313",128
"314",726
"315",360
"316",52
"317",631
"318",47
"319",63
"320",321
"321",582
"322",50
"323",52
"324",378
"325",444
"326",174
"327",581
"328",268
"329",255
"330",245
"331",127
"332",366
"333",972
"334",318
"335",13
"336",24
"337",122
"338",46
"339",131
"340",476
"341",78
"342",546
"343",59
"344",51
"345",17
"346",84
"347",5
"348",14
"349",318
"350",123
"351",219
"352",93
"353",147
"354",40
"355",78
"356",46
"357",397
"358",220
"359",70
"360",143
"361",160
"362",242
"363",40
"364",111
"365",136
"366",426
"367",115
"368",311
"369",66
"370",60
"371",62
"372",112
"373",40
"374",25
"375",248
"376",184
"377",238
"378",91
"379",24
"380",58
"381",250
"382",87
"383",611
"384",53
"385",108
"386",121
"387",258
"388",378
"389",156
"390",42
"391",93
"392",180
"393",64
"394",241
"395",29
"396",57
"397",170
"398",93
"399",84
"400",8
"401",133
"402",6
"403",36
"404",96
"405",19
"406",98
"407",52
"408",21
"409",6
"410",207
"411",29
"412",49
"413",45
"414",68
"415",118
"416",133
"417",6
"418",56
"419",86
"420",116
"421",19
"422",3
"423",131
"424",9
"425",240
"426",373
"427",41
"428",189
"429",177
"430",147
"431",32
"432",304
"433",1
"434",278
"435",69
"436",296
"437",71
"438",83
"439",27
"440",200
"441",189
"442",19
"443",301
"444",11
"445",703
"446",14
"447",3
"448",79
"449",30
"450",34
"451",106
"452",79
"453",113
"454",170
"455",76
"456",189
"457",273
"458",72
"459",67
"460",12
"461",90
"462",170
"463",353
"464",5
"465",39
"466",125
"467",191
"468",178
"469",139
"470",106
"471",425
"472",69
"473",98
"474",75
"475",58
"476",63
"477",93
"478",13
"479",63
"480",31
"481",118
"482",20
"483",53
"484",462
"485",115
"486",187
"487",126
"488",40
"489",42
"490",21
"491",91
"492",160
"493",54
"494",10
"495",543
