"","V1","V2","V3","V4","V5"
"1",41,207,252,306,417
"3",252,306,391,408,417
"4",306,346,391,408,417
"6",306,346,388,391,408
"9",207,346,388,391,408
"11",207,321,346,388,391
"12",41,207,252,321,388
"13",41,207,252,321,417
"15",207,252,321,391,417
"16",252,321,391,408,417
"21",306,388,391,408,417
"24",41,207,306,388,417
"32",207,306,346,388,391
"33",41,207,321,346,388
"34",41,207,346,388,390
"37",252,306,388,390,417
"44",207,252,306,346,417
"1043",207,306,346,408,417
"1051",207,346,388,390,391
"1052",41,207,390,391,417
"1055",41,346,390,408,417
"1058",41,306,346,388,408
"1063",207,306,388,391,417
"1067",207,306,346,388,408
"1081",41,306,346,388,390
"1083",306,346,388,390,417
"1086",41,207,306,391,417
"1089",207,306,346,388,417
"1097",41,207,306,346,391
"3082",41,202,306,388,408
"3087",202,275,306,391,408
"3088",202,275,390,391,408
"3092",207,275,390,391,417
"3094",202,207,390,391,417
"3099",202,207,388,390,391
"3102",202,306,388,391,408
"3104",41,202,306,408,417
"3105",41,202,207,306,417
"3107",202,207,306,391,417
"3116",202,207,391,408,417
"3124",41,306,391,408,417
"3130",41,202,207,388,408
"3138",202,275,321,346,390
"4417",41,252,306,321,417
"4420",41,306,321,388,391
"4428",202,207,388,390,417
"4430",202,207,252,390,417
"4432",252,321,388,390,417
"4435",252,306,321,388,417
"4436",41,252,306,321,388
"4438",41,207,252,306,388
"4439",41,207,306,388,391
"4447",202,306,321,388,391
"4453",202,207,252,388,390
"4456",202,252,321,390,417
"4459",41,306,321,391,417
"4475",202,207,388,390,416
"4476",202,321,388,390,416
"5157",41,252,306,408,417
"5160",252,306,388,391,408
"5164",202,388,390,391,408
"5168",207,252,390,391,417
"5178",41,306,388,390,417
"5182",306,388,390,391,417
"5194",41,207,388,391,408
"5196",41,207,252,388,408
"5199",207,252,306,388,417
"5201",252,306,388,408,417
"5898",207,252,388,390,391
"5902",41,207,252,408,417
"5920",41,306,388,391,408
"5924",207,252,388,391,408
"5926",207,252,321,388,391
"5932",41,306,321,388,417
"5939",41,306,388,391,417
"5940",41,321,388,391,417
"7555",41,252,306,388,408
"7563",202,207,275,306,391
"7564",202,207,275,321,391
"7567",207,252,275,321,391
"7572",41,252,321,388,408
"7580",41,252,306,388,391
"7585",41,202,306,321,391
"7596",202,207,275,391,408
"7599",207,252,275,391,408
"7609",207,252,306,388,391
"8536",202,207,252,306,388
"8538",202,306,346,388,408
"8541",275,306,346,391,408
"8546",207,275,346,391,408
"8552",202,321,346,388,408
"8558",207,252,306,346,388
"8581",252,306,346,388,408
"10740",207,252,306,391,417
"10744",252,306,321,346,417
