"","V1","V2","V3","V4","V5"
"461",129,231,256,270,474
"465",33,53,231,270,398
"468",33,53,204,270,398
"471",33,53,204,377,398
"473",33,53,204,256,377
"477",53,204,256,377,474
"479",204,231,256,377,474
"482",204,231,256,270,474
"483",65,204,231,270,474
"486",53,65,204,231,270
"487",53,65,129,231,270
"489",129,231,270,398,474
"490",53,231,270,398,474
"501",33,53,204,256,270
"503",33,53,231,256,270
"506",33,53,65,231,270
"507",53,65,231,270,474
"2586",65,219,231,270,474
"2591",33,65,219,231,270
"2595",33,53,204,219,377
"2597",33,53,231,256,377
"2599",53,231,256,270,474
"2601",53,219,231,270,474
"2604",53,65,219,231,270
"2610",33,65,219,231,474
"2611",33,53,219,231,474
"2612",33,53,204,219,474
"2613",33,53,129,256,270
"2614",33,53,129,231,256
"2617",53,219,231,256,270
"2619",53,219,231,256,377
"2621",33,53,219,231,270
"2627",33,219,231,270,474
"4166",204,219,231,270,474
"4170",53,204,219,270,474
"4172",53,129,219,270,474
"4174",33,53,129,219,474
"4175",33,53,129,219,377
"4176",33,53,129,256,377
"4179",53,231,256,270,377
"4185",204,231,256,270,377
"4188",129,219,231,270,474
"4200",33,53,219,231,377
"4203",53,129,256,270,377
"4208",53,204,231,256,270
"4209",53,204,219,231,270
"4217",204,219,231,377,474
"8391",53,129,219,377,474
"8395",53,129,231,256,377
"8396",53,129,231,256,270
"8409",129,219,231,256,270
"8416",53,219,231,377,474
"8418",53,129,256,377,474
"8426",53,129,219,231,270
"8428",129,204,219,270,474
"10306",33,231,246,256,377
"10313",33,219,231,246,270
"10314",204,219,231,246,270
"10316",204,219,231,246,377
"10320",33,204,219,231,270
"10322",33,219,231,256,270
"10324",33,53,219,256,270
"10325",33,53,246,256,270
"10326",33,53,204,256,474
"10328",33,204,219,231,474
"12663",33,53,204,219,270
"12668",53,204,219,231,377
"12669",53,204,231,256,377
"12676",231,246,256,270,474
"12678",219,231,246,270,474
"12687",53,129,219,256,377
"13495",53,204,219,377,474
"13506",204,219,231,256,270
"13509",219,231,256,270,474
"13522",53,129,256,270,474
"13524",129,204,256,270,474
"13534",204,219,231,256,474
"15270",129,219,231,377,474
"15276",53,219,256,370,474
"15278",65,219,231,256,270
"15281",65,219,231,256,370
"15285",65,219,231,256,474
"15290",65,231,256,270,474
"15293",219,231,256,370,474
"15297",53,219,256,270,474
"15298",53,65,256,270,474
"15310",53,129,370,377,398
"16066",129,231,256,270,377
"16087",129,219,256,270,474
"16090",53,129,231,256,474
"16092",53,129,219,231,474
"16762",53,65,129,256,370
"16763",65,129,256,370,474
"16765",65,231,256,370,474
"16778",53,65,219,231,370
"16789",33,53,219,231,370
"16792",33,219,231,256,370
"16793",33,129,231,256,370
"16795",33,53,129,256,370
"16796",33,53,65,256,270
"16804",33,53,65,256,474
"16806",33,65,231,256,474
"16808",33,219,231,256,474
"17753",33,53,219,256,370
"17757",33,53,129,256,474
"17761",53,65,219,270,474
"17765",53,65,231,270,398
"17774",53,65,219,231,377
"17780",65,219,231,370,474
"17784",65,129,370,398,474
"17785",53,65,129,370,398
"17787",53,65,129,219,270
"18411",33,65,129,256,270
"18416",33,65,231,256,270
"18433",33,65,129,256,474
"18435",33,53,219,256,474
"18444",129,246,370,377,398
"19073",33,53,129,231,398
"19074",33,65,129,231,398
"19087",53,65,219,377,474
"19090",33,53,129,219,270
"19092",33,53,129,219,370
"19097",33,53,129,370,398
"19099",33,53,231,398,474
"20499",33,129,219,231,474
"20503",33,129,231,370,398
"20504",33,53,129,270,398
"20509",53,129,270,398,474
"20511",53,219,270,398,474
"20518",33,65,231,398,474
"20519",33,65,231,370,398
"20523",33,65,129,270,398
"21711",33,219,231,270,398
"21716",33,53,219,270,398
"21718",33,53,129,398,474
"21734",129,219,256,370,474
"21747",33,129,219,256,474
"21749",33,129,219,256,370
"21752",33,129,219,256,270
"21753",33,129,231,256,270
"21757",53,219,231,256,474
"22489",53,129,370,398,474
"22510",53,219,231,370,474
"22531",65,246,370,377,398
"25811",53,129,270,370,398
"25824",53,231,256,370,474
"25826",53,129,256,370,474
"25831",33,53,129,231,474
"25837",129,231,370,398,474
"25839",129,231,377,398,474
"25841",53,129,377,398,474
"25843",53,129,256,377,398
"25844",53,129,270,377,398
"26483",129,231,256,370,474
"26513",231,256,270,398,474
"26521",65,246,256,370,377
"27160",53,65,370,377,398
"27165",65,231,370,377,398
"27166",65,231,370,398,474
"27168",65,231,270,398,474
"27172",53,65,231,256,270
"27177",53,129,231,270,398
"27180",53,129,231,370,398
"27181",129,231,370,377,398
"27185",53,65,370,398,474
"27186",53,65,231,370,398
"28305",33,53,65,256,370
"28314",33,129,231,270,398
"28320",129,231,256,370,377
"28323",231,246,270,398,474
"28325",231,246,256,270,377
"28326",53,246,256,270,377
"28330",53,246,256,370,377
"28345",33,65,231,256,377
"28347",33,53,65,256,377
"28929",53,246,256,370,474
"28931",33,53,246,256,370
"28933",33,53,246,256,377
"28960",33,53,231,256,474
"29860",33,129,231,256,377
"29862",53,129,246,256,377
"29866",53,246,256,270,474
"29881",129,231,256,377,474
"29886",33,53,65,377,398
"29898",53,65,246,256,377
"31504",53,231,370,398,474
"31505",53,231,370,377,398
"31510",53,231,270,377,398
"31514",53,65,256,270,377
"32334",65,129,377,398,474
"32347",33,53,65,246,370
"32950",53,231,256,398,474
"33658",33,129,231,398,474
"33692",53,129,231,398,474
"35863",33,53,129,377,398
"36502",65,231,377,398,474
"36509",53,231,377,398,474
"37298",53,65,256,377,398
"37335",53,65,270,398,474
"38489",53,65,256,377,474
"38491",53,65,256,289,377
"38507",65,129,256,289,377
"38513",65,231,256,377,474
"39377",65,129,231,270,398
"39379",65,129,231,377,398
"39381",129,231,270,377,398
"39391",65,246,256,289,377
"40072",53,231,256,377,474
"40079",53,65,256,270,289
"40094",53,129,231,377,398
"40110",65,256,270,398,474
"40939",231,256,370,398,474
"40942",65,129,231,256,370
"40945",53,65,129,231,256
"40958",53,65,231,256,377
"48607",53,246,270,398,474
"48610",246,250,256,270,474
"48613",246,250,256,289,377
"48615",246,250,256,289,370
"48618",65,250,256,289,370
"48621",65,250,256,370,474
"48628",246,250,270,398,474
"48630",246,250,377,398,474
"48633",246,250,256,377,474
"48636",53,250,256,270,474
"48637",53,250,270,398,474
"48644",65,250,289,377,398
"49218",65,250,270,377,398
"49221",65,250,256,289,377
"49224",65,250,256,289,474
"49226",65,250,256,270,474
"49228",53,65,246,256,270
"49232",53,65,246,250,256
"49242",65,250,270,398,474
"49243",53,65,250,256,377
"49255",53,65,250,256,474
"49256",53,65,250,256,270
"51772",53,204,270,398,474
"51775",65,204,270,398,474
"51776",65,204,256,270,474
"51777",65,250,256,377,396
"51780",65,250,256,270,377
"51783",53,250,256,270,377
"51789",53,65,129,398,474
"51792",204,250,270,398,474
"51793",204,250,256,270,474
"51799",53,250,256,377,474
"51800",53,250,256,377,396
"51813",53,65,250,377,398
"52525",204,250,256,270,289
"52526",204,250,289,396,398
"52528",65,250,289,396,398
"52538",53,246,256,270,289
"52545",204,250,256,396,474
"52548",204,250,256,289,396
"53260",65,250,270,289,398
"53263",65,246,270,398,474
"53271",53,246,396,398,474
"53274",53,246,250,398,474
"53285",204,250,270,289,398
"53286",53,204,250,270,398
"53287",53,65,250,270,398
"53298",65,246,256,270,474
"53304",65,246,250,256,474
"56285",129,204,256,377,396
"56289",246,250,256,377,396
"56290",246,250,256,289,396
"56293",65,246,250,289,370
"56301",129,250,256,370,377
"56304",129,204,256,289,396
"56310",129,204,250,256,377
"56312",246,250,256,370,377
"56322",129,250,256,377,396
"56325",65,129,256,377,396
"58917",53,129,256,289,396
"58920",53,65,250,289,398
"58921",65,204,250,289,398
"58922",65,204,250,396,398
"58929",53,65,250,396,398
"58931",53,129,250,256,396
"58935",53,129,250,256,289
"58938",53,65,129,256,289
"58941",65,129,204,289,398
"58943",65,129,204,396,398
"58948",65,204,250,256,396
"58951",53,65,204,250,398
"58956",65,204,250,256,398
"58964",65,204,250,256,289
"58965",53,65,204,250,256
"58967",65,250,256,396,398
"59709",53,129,204,256,289
"59723",53,65,250,256,289
"59728",53,65,129,256,398
"59742",53,65,250,256,398
"59744",65,250,256,289,398
"1656",53,204,256,270,474
"1666",53,204,219,270,377
"1667",204,219,231,270,377
"1700",65,129,256,377,474
"1704",65,129,204,377,398
"1705",65,204,246,377,398
"1974",33,53,129,204,256
"1988",33,65,204,219,231
"2011",53,219,231,270,377
"3121",33,53,129,204,219
"3138",65,129,204,246,377
"4672",33,53,204,219,231
"6125",53,129,219,231,377
"6138",33,129,204,256,270
"7025",53,129,204,219,231
"7223",53,129,219,256,270
"7229",53,204,219,231,474
"9053",33,129,204,256,474
"9054",33,129,204,231,256
"9055",129,204,231,256,377
"9056",129,219,231,256,377
"9066",65,129,219,231,474
"9071",65,204,219,231,474
"9076",65,129,219,377,474
"9224",204,246,256,377,474
"9239",204,219,256,377,474
"9242",204,219,256,270,474
"9246",33,204,219,256,474
"9249",33,53,246,256,474
"9253",33,53,129,246,256
"9258",65,204,246,256,377
"11549",33,204,219,246,474
"11551",33,53,219,246,474
"11556",53,231,246,256,270
"14645",129,231,246,256,370
"14647",129,246,256,270,377
"14654",129,204,256,270,377
"19718",33,65,129,370,398
"19720",33,129,219,270,398
"19726",219,231,270,398,474
"19735",33,219,231,398,474
"19742",33,53,219,370,398
"19748",219,231,370,398,474
"20790",33,53,231,370,398
"20804",53,129,219,231,370
"23175",129,219,231,370,474
"23180",33,129,219,231,270
"23206",53,129,219,370,474
"23225",53,129,219,231,256
"24019",53,129,256,370,377
"24845",129,219,231,270,370
"24848",53,129,219,270,370
"24849",53,129,270,370,474
"24851",129,231,270,370,474
"24860",33,129,231,370,474
"24861",33,53,231,370,474
"24862",33,53,370,398,474
"24871",53,129,256,270,370
"24875",33,53,129,256,398
"24877",33,129,231,256,398
"27483",53,246,370,398,474
"27485",53,231,246,370,398
"27493",33,65,231,256,370
"29975",33,129,231,256,474
"29980",53,65,256,270,370
"29983",53,65,256,370,377
"30941",53,231,256,370,377
"30945",53,256,270,377,398
"30955",65,231,270,377,398
"30969",53,231,256,270,398
"41635",65,231,256,270,377
"41640",53,65,256,370,474
"41651",53,65,231,398,474
"42430",65,246,256,289,370
"42432",65,246,256,370,474
"42461",53,65,270,377,398
"42464",53,256,270,398,474
"42468",53,65,129,256,474
"43304",65,129,270,398,474
"43311",65,129,256,370,377
"43331",129,246,256,270,474
"43335",129,246,270,398,474
"43341",129,246,256,377,474
"43347",65,246,256,270,377
"43841",53,65,289,377,398
"43866",65,246,289,377,398
"43867",65,246,377,398,474
"44163",53,250,256,370,474
"44165",65,250,256,370,377
"44170",246,250,256,270,377
"44186",65,250,370,377,398
"44198",53,129,250,398,474
"45140",65,250,256,377,398
"45146",53,65,256,398,474
"45148",53,129,256,398,474
"45159",65,250,256,377,474
"45741",65,246,250,256,377
"46851",53,65,377,398,474
"46872",65,129,256,270,370
"46874",65,250,256,270,370
"46879",129,250,256,270,474
"47729",65,250,377,398,474
"47734",129,250,270,398,474
"49840",53,246,270,289,398
"49843",65,250,256,270,289
"49855",53,246,256,377,474
"49856",53,246,377,398,474
"49871",53,246,270,377,398
"49873",246,250,289,377,398
"49885",53,246,250,270,398
"49890",65,246,250,377,398
"50656",53,129,396,398,474
"50658",53,129,377,396,398
"50668",53,129,256,377,396
"50673",53,129,250,256,377
"50680",53,250,256,370,377
"50683",246,250,256,396,474
"50684",53,250,256,396,474
"54024",65,204,289,396,398
"54035",65,250,256,289,396
"54467",65,250,377,396,398
"54471",65,129,289,396,398
"54472",65,129,270,289,398
"54483",129,250,256,289,396
"54496",65,246,250,289,396
"54497",65,129,246,289,396
"54503",129,246,256,370,377
"55013",53,129,256,396,474
"55014",129,250,256,396,474
"55019",65,250,256,396,474
"55048",53,250,289,377,398
"55052",65,256,289,377,398
"55055",65,256,289,370,398
"55056",65,250,289,370,398
"55471",204,250,256,270,377
"55486",129,250,256,270,377
"55491",129,250,256,270,289
"55501",65,129,256,270,377
"55504",65,129,250,289,396
"57282",53,129,204,256,377
"57314",204,250,256,289,377
"57318",129,204,256,289,377
"57984",53,129,256,289,377
"57992",65,204,250,377,398
"58001",129,250,289,377,398
"58002",53,129,289,377,398
"58006",53,129,204,377,398
"58017",65,204,250,256,377
"58019",129,250,256,289,377
"58428",65,246,250,396,398
"58445",65,129,250,256,398
"58446",53,129,256,396,398
"58447",53,129,246,256,398
"58455",65,246,250,256,398
"58456",53,65,129,250,398
"58457",53,129,250,396,398
"58459",53,65,256,396,398
