"","V1","V2","V3","V4","V5"
"157",59,101,261,399,476
"158",59,101,261,399,415
"159",59,101,261,415,421
"164",59,228,415,421,432
"167",228,399,415,421,432
"168",227,228,399,421,432
"172",101,227,228,399,432
"174",101,227,261,399,432
"175",101,261,399,432,476
"181",59,101,228,415,421
"183",59,101,227,228,421
"188",59,101,399,415,421
"193",59,101,228,399,421
"199",59,227,228,421,432
"202",227,399,415,421,432
"205",227,261,399,421,432
"206",59,261,399,421,432
"207",59,101,261,399,432
"208",59,101,228,261,399
"211",59,101,228,421,476
"217",59,101,299,381,476
"1104",59,101,261,339,421
"1107",59,101,228,339,421
"1109",59,228,339,421,432
"1111",228,339,399,421,432
"1117",101,261,399,415,432
"1122",59,101,261,421,476
"1129",101,228,339,399,421
"1133",59,228,399,415,421
"1136",227,228,415,421,432
"1139",227,228,339,421,432
"1141",101,227,339,421,432
"1142",59,101,227,339,432
"1144",59,101,339,399,432
"1147",59,101,399,432,476
"1152",59,101,415,421,432
"1155",59,101,399,421,432
"2025",59,261,415,421,432
"2031",227,228,339,399,421
"2037",101,227,261,339,399
"2038",59,101,261,339,399
"2044",101,261,399,415,421
"2045",101,228,399,415,421
"2052",59,228,339,399,421
"2061",59,228,399,415,432
"2074",101,228,399,421,432
"3895",59,101,339,415,421
"3898",101,339,415,421,432
"3903",227,261,339,421,432
"3904",227,261,381,421,432
"3905",261,339,381,421,432
"3906",227,261,339,381,432
"3914",59,228,381,415,432
"3930",59,227,339,421,432
"3934",101,227,261,339,432
"3935",101,261,339,381,432
"3941",101,227,381,415,432
"3944",101,212,227,381,476
"3945",212,227,299,381,476
"5941",101,228,415,421,432
"5943",101,227,399,415,432
"5944",101,227,339,399,432
"5947",212,227,339,399,432
"5950",212,261,339,399,432
"5951",101,212,261,339,421
"5952",101,212,261,415,421
"5953",101,261,381,415,421
"5959",101,227,381,399,415
"5960",227,381,399,415,432
"5961",339,381,399,415,432
"5966",101,381,399,415,432
"5967",101,227,415,421,432
"5970",227,339,399,421,432
"5971",261,339,399,421,432
"5974",261,339,381,399,421
"5976",212,228,261,381,399
"5977",101,212,228,381,415
"5981",212,227,228,415,432
"5983",212,227,228,339,432
"5989",101,212,415,421,432
"5990",212,381,415,421,432
"6583",101,228,339,421,432
"6585",101,227,228,339,432
"6589",212,227,261,339,432
"6591",212,227,261,339,399
"6594",101,212,261,399,476
"6598",101,261,399,421,476
"6600",101,228,399,421,476
"6616",227,228,339,399,432
"6617",227,261,339,399,432
"6628",101,228,399,415,432
"6630",101,227,228,421,432
"8601",59,227,339,399,432
"8602",59,261,339,399,432
"8603",59,228,261,399,432
"8604",228,261,399,421,432
"8608",101,227,399,415,421
"8615",59,101,228,415,432
"8624",59,101,339,415,432
"8627",59,101,261,339,432
"8630",59,261,339,399,421
