"","V1","V2","V3","V4","V5"
"2327",38,173,222,445,462
"2329",38,173,222,445,475
"2335",38,187,267,462,475
"2337",187,254,267,462,475
"2340",187,244,254,267,462
"2348",38,173,222,244,445
"2355",38,173,445,462,475
"2364",38,187,254,267,475
"2373",38,187,254,445,475
"2374",38,222,254,445,475
"2377",38,222,267,445,462
"2379",38,187,267,445,462
"2384",38,267,445,462,475
"3056",222,244,267,445,462
"3061",38,173,187,244,445
"3076",175,244,254,267,462
"3079",106,175,244,254,374
"6388",38,173,187,445,475
"6402",173,187,244,254,445
"6404",173,222,244,254,445
"6418",187,254,445,462,475
"6427",38,254,267,462,475
"7852",173,187,254,267,462
"7854",173,222,254,445,462
"7856",38,222,254,445,462
"7867",38,187,267,445,475
"7869",187,267,374,462,475
"9021",38,222,445,462,475
"9022",38,222,244,445,462
"9025",38,222,244,254,445
"9027",38,187,244,254,267
"9035",222,244,254,267,462
"9038",38,222,244,267,445
"9040",38,222,244,254,267
"9043",38,222,244,267,462
"9048",38,187,244,254,445
"9053",38,187,254,267,462
"9701",38,187,244,254,374
"9702",187,244,254,267,374
"9705",187,254,267,374,462
"9709",222,254,267,445,462
"9730",187,244,254,267,445
"9741",38,175,254,445,462
"9745",106,175,185,244,374
"10701",38,187,254,445,462
"10706",173,187,254,267,475
"10713",38,222,254,267,445
"10718",38,173,222,267,445
"10722",38,254,445,462,475
"10724",38,244,254,445,475
"10726",244,254,267,445,475
"10730",38,244,267,445,475
"10735",38,244,267,445,462
"11618",244,254,267,462,475
"11623",222,244,254,445,462
"11643",38,222,254,267,462
"12196",38,244,254,267,475
"12199",173,187,244,254,267
"12216",38,173,244,445,475
"12223",244,254,445,462,475
"12918",38,173,187,445,462
"12921",38,175,244,254,445
"12922",175,244,254,267,445
"12928",38,175,254,267,462
"14066",38,187,244,374,462
"14070",38,187,374,445,462
"14071",38,175,374,445,462
"14079",38,187,244,267,445
"14080",187,244,267,374,462
"14081",106,187,244,267,374
"14083",106,185,187,244,374
"15883",38,173,267,462,475
"15884",38,173,244,267,475
"15892",187,244,254,445,462
"16681",38,175,267,445,475
"16696",106,187,244,254,267
"16697",106,187,244,254,374
"19457",173,267,445,462,475
"19460",173,187,244,267,445
"19463",106,187,244,254,445
"19465",106,175,244,254,267
"19467",106,173,175,244,267
"19470",173,175,244,267,445
"19471",173,175,267,445,462
"19474",175,244,267,445,462
"19477",173,187,267,445,462
"19489",187,244,267,445,462
"19490",244,267,445,462,475
"19493",254,267,445,462,475
"21905",173,244,254,267,475
"21924",38,175,244,267,445
"21925",38,175,244,254,267
"22784",173,222,244,267,445
"22787",222,244,254,267,445
"22798",38,173,175,445,462
"22799",38,175,267,445,462
"22801",38,173,175,267,445
"22802",38,175,222,267,445
"23523",173,222,244,254,267
"24261",173,175,244,254,445
