"","V1","V2","V3","V4","V5"
"46",72,150,307,379,406
"48",62,72,150,307,406
"51",62,72,291,307,328
"52",62,291,307,311,328
"55",62,154,291,311,328
"57",62,154,311,328,406
"59",72,154,328,379,406
"61",72,154,311,328,379
"62",72,154,307,311,379
"63",72,150,154,379,406
"65",72,150,154,311,379
"66",62,72,150,154,311
"67",62,72,150,307,311
"71",72,150,328,379,406
"74",150,291,328,379,406
"78",72,154,291,328,379
"82",62,72,150,154,406
"85",62,72,150,154,291
"96",72,150,154,291,379
"100",72,154,307,379,406
"2078",72,307,328,379,406
"2083",62,72,154,328,406
"2085",62,72,154,291,328
"2089",154,291,311,328,379
"2092",150,154,291,311,379
"2095",72,150,307,311,379
"2106",62,72,307,311,328
"2107",62,72,154,311,328
"2124",72,150,291,307,379
"3636",150,291,311,328,406
"3639",150,311,328,379,406
"3641",154,311,328,379,406
"3643",62,154,328,379,406
"3645",62,72,154,328,379
"3655",72,150,311,328,379
"3659",72,150,291,328,379
"3663",62,72,150,328,406
"4482",62,72,150,291,328
"4488",154,307,311,379,406
"4492",154,291,307,311,379
"4498",62,72,150,328,379
"4512",72,150,291,311,328
"4513",72,150,311,328,406
"4514",72,154,311,328,406
"4516",62,154,307,311,406
"6640",72,150,200,328,406
"6643",72,154,200,328,406
"6644",154,200,311,328,406
"6654",72,150,200,307,311
"6658",72,200,307,328,379
"6676",150,154,311,379,406
"7894",72,154,200,291,328
"7895",72,200,291,307,328
"7906",150,200,307,379,406
"7908",154,200,328,379,406
"7914",72,150,200,307,406
"7917",72,150,154,200,291
"7922",154,200,291,328,406
"7923",154,291,328,379,406
"7932",72,150,154,200,311
"7933",72,150,154,200,406
"7935",72,150,154,311,406
"13004",72,154,291,311,328
"13007",154,291,311,328,406
"13723",72,291,328,379,406
"13724",72,150,291,379,406
"14715",72,291,307,328,379
"14722",154,200,291,311,328
"15503",72,150,200,291,307
"16707",72,150,200,291,328
"16708",62,200,291,307,328
"16715",62,72,307,328,406
"16733",62,291,307,328,379
"16735",62,72,307,328,379
"16737",62,72,150,154,379
"16746",72,150,154,200,379
"17549",62,150,200,291,328
"17560",72,150,200,328,379
"18153",62,72,150,307,379
"18173",200,291,307,328,406
"18180",291,307,311,328,406
"18184",291,307,311,359,406
"18185",30,291,311,359,406
"19566",62,154,291,307,328
"19569",72,154,307,328,379
"19570",154,200,307,328,379
"19573",150,154,200,307,379
"19574",150,154,200,379,406
"19588",62,72,200,307,328
"20783",72,150,154,307,379
"20785",72,150,307,328,379
"20791",72,200,291,328,359
"20792",62,200,291,328,359
"20797",62,72,150,359,379
"20805",72,154,200,328,379
"20814",62,72,154,291,359
"20815",62,154,200,291,359
"20817",150,200,291,359,379
"20819",72,150,291,359,379
"22992",62,72,150,307,359
"22993",62,72,150,359,406
"22996",62,154,200,359,406
"22997",62,154,359,379,406
"23014",72,150,359,379,406
"23020",62,72,154,359,406
"23024",62,72,150,379,406
"23025",62,72,154,379,406
"23852",72,150,154,200,307
"23854",62,72,150,154,307
"23858",62,291,307,359,406
"23859",62,154,291,359,406
"23868",72,150,200,307,359
"23880",62,72,150,291,359
"23887",62,72,150,291,307
"23895",62,72,150,200,406
"23903",62,72,154,200,406
"24624",62,72,154,307,359
"24636",72,150,311,359,406
"24642",150,291,311,359,406
"24646",72,291,307,311,359
"26146",72,154,200,307,359
"26148",72,200,307,359,406
"26150",154,200,291,359,406
"26152",150,291,359,379,406
"26165",72,150,307,359,379
"26168",72,150,200,359,406
"26172",154,291,359,379,406
"26173",72,154,359,379,406
"26784",72,154,291,359,379
"28201",62,72,328,359,406
"28202",62,291,328,359,406
"28205",62,291,328,359,379
"28228",62,72,311,328,406
"28237",62,72,150,291,379
"29575",72,200,307,328,406
"29584",154,200,291,307,328
"29585",154,291,307,328,379
"29586",150,154,291,307,379
"29606",62,72,291,307,359
"29609",62,154,291,311,359
"29610",154,291,311,359,379
"29615",72,150,311,359,379
"29616",72,150,311,379,406
"31283",72,150,154,291,311
"31285",72,150,291,307,311
"31289",62,291,307,359,379
"31298",62,72,154,359,379
"31314",72,291,307,359,379
"31316",291,311,359,379,406
"31320",72,291,359,379,406
"31329",30,139,291,311,406
"33093",291,307,359,379,406
"33094",154,291,307,379,406
"33108",72,150,291,307,406
"33115",62,72,154,291,307
"39131",125,150,154,311,379
"39135",150,291,311,359,379
"39138",150,200,291,311,359
"39139",150,200,291,359,406
"39142",30,200,291,359,406
"39143",30,291,359,379,406
"39150",125,154,311,359,379
"39166",62,150,291,311,359
"39169",62,150,200,291,359
"39170",62,200,291,359,406
"39172",30,62,291,359,406
"39177",30,291,311,359,379
"39182",30,62,139,291,406
"39936",150,311,359,379,406
"39937",154,311,359,379,406
"39938",62,154,311,359,406
"39941",62,139,291,359,406
"39943",62,125,291,359,406
"39944",62,139,291,311,359
"39945",139,291,311,359,379
"39951",125,150,154,291,379
"39953",125,150,154,379,406
"39958",139,291,359,379,406
"39969",62,125,139,291,359
"39972",62,125,154,291,359
"39974",62,150,154,291,311
"39976",125,150,291,311,379
"40733",62,125,150,154,311
"40734",62,150,154,311,406
"40736",62,150,311,359,406
"40738",62,150,291,359,406
"40752",125,150,311,359,379
"40758",62,125,150,311,359
"41801",125,150,154,311,406
"41804",62,150,154,291,406
"41809",62,150,202,291,359
"41811",62,139,202,291,359
"41814",139,202,291,311,359
"41816",125,139,291,311,359
"41818",125,139,311,359,406
"41825",62,125,150,154,406
"41843",125,154,291,311,406
"41845",125,150,154,291,311
"43063",150,202,291,311,359
"43066",154,202,291,311,359
"43067",125,154,202,311,359
"43070",125,150,202,291,311
"43074",125,150,291,311,406
"43080",154,202,311,359,406
"43082",125,150,311,359,406
"43090",62,154,202,291,359
"43097",125,150,291,311,359
"43099",62,125,150,291,311
"43103",125,291,311,359,406
"45551",72,125,150,154,379
"45558",150,202,291,307,311
"45559",150,291,307,311,379
"45564",72,125,154,359,379
"45568",72,125,150,154,311
"45575",125,150,154,202,311
"45587",72,154,291,307,379
"45591",72,154,291,307,311
"45592",72,125,154,307,311
"45598",125,150,307,311,379
"46296",150,202,291,307,379
"46298",62,150,202,291,307
"46299",62,154,202,291,307
"46310",125,150,291,307,379
"46319",150,154,202,291,311
"46320",125,154,202,307,379
"46321",125,154,307,311,379
"47573",62,150,291,307,406
"47589",125,150,202,307,311
"47590",62,125,150,202,307
"47593",62,202,291,307,359
"47595",202,291,307,311,359
"47604",62,139,202,359,406
"49834",72,125,154,307,379
"49845",72,139,291,311,359
"49846",62,72,139,291,359
"49849",139,202,291,359,379
"49860",62,72,125,154,307
"49863",62,72,125,291,359
"49867",154,202,291,359,379
"49878",72,139,291,359,379
"50610",72,125,139,154,379
"51408",72,125,202,359,379
"51935",72,125,150,307,379
"51947",202,291,307,359,379
"51951",125,202,307,359,379
"53851",72,150,154,202,379
"53888",72,154,202,359,379
"55726",72,125,150,311,359
"55732",62,139,202,291,307
"55735",62,72,139,291,307
"55736",62,72,125,139,307
"55740",72,125,150,307,311
"55743",72,125,150,202,311
"55756",62,72,139,202,307
"55761",62,72,150,202,307
"55767",72,125,150,291,307
"55769",72,150,202,307,311
"55774",72,125,202,307,311
"58134",72,125,150,359,379
"58135",72,125,139,359,379
"58139",62,72,139,202,359
"58153",72,150,202,359,379
"58161",62,72,150,202,359
"58171",72,139,202,359,379
"58173",72,125,139,202,379
"58175",72,125,139,150,379
"58179",72,125,150,202,379
"59388",72,139,202,307,406
"59392",72,202,291,307,359
"59396",72,139,291,359,406
"59400",139,202,291,307,406
"59407",139,202,291,359,406
"59411",202,291,307,359,406
"59412",72,291,307,359,406
"486",72,307,311,328,379
"1288",72,307,311,328,406
"1297",62,72,154,291,406
"3072",62,154,291,307,311
"3076",154,291,311,359,406
"5418",62,72,154,307,406
"5438",72,154,311,379,406
"5463",30,62,291,311,359
"5464",30,139,291,311,359
"8854",72,150,307,311,406
"8872",72,154,200,311,328
"9414",150,154,291,311,406
"9415",150,154,200,291,406
"9417",150,200,291,307,406
"9425",72,200,307,311,328
"9433",72,291,307,311,328
"9437",154,200,291,307,311
"9441",72,154,200,291,307
"9442",72,154,200,307,406
"9449",154,291,307,311,406
"10912",150,200,311,328,406
"10915",150,200,328,379,406
"10916",150,200,291,328,379
"10920",72,200,328,379,406
"10930",154,200,291,328,379
"10933",200,291,307,328,379
"10940",72,150,200,307,379
"11857",154,200,311,328,379
"11870",139,154,311,359,406
"16188",200,291,307,311,328
"16189",291,307,311,328,379
"20183",62,200,291,307,359
"20195",72,328,359,379,406
"20201",62,72,200,307,359
"20205",62,200,307,311,359
"20210",62,72,311,328,359
"20212",30,62,307,311,359
"22128",154,200,291,359,379
"22145",72,150,200,291,359
"22281",30,72,200,291,359
