"","V1","V2","V3","V4","V5"
"1163",221,272,317,402,463
"1166",113,221,272,317,402
"1170",113,224,272,402,426
"1172",103,113,224,272,426
"1173",103,113,224,426,436
"1174",113,221,224,426,436
"1180",113,221,402,426,436
"1181",113,221,272,402,436
"1182",221,272,402,436,463
"1185",224,272,317,402,463
"1186",113,224,272,317,463
"1188",113,221,272,317,463
"1189",113,221,272,426,463
"1193",113,221,426,436,463
"1194",113,224,426,436,463
"1204",113,221,224,272,426
"1206",221,224,272,426,463
"1213",103,183,224,238,247
"3139",221,224,272,317,463
"3148",103,113,224,238,426
"3150",103,113,238,426,463
"3153",103,113,426,436,463
"3157",221,224,426,436,463
"3159",221,224,272,436,463
"3163",113,221,224,272,317
"3167",113,224,317,426,463
"3172",221,224,317,426,463
"3174",113,221,317,426,463
"3175",113,221,238,426,463
"3182",221,224,238,426,463
"3192",103,113,272,426,463
"3999",103,221,272,317,463
"4008",113,221,224,238,426
"4014",113,183,224,238,436
"4019",113,221,224,272,436
"4031",113,224,272,426,463
"4039",103,221,317,426,463
"4041",103,221,238,426,463
"4044",113,224,238,426,463
"4056",103,224,272,426,463
"4061",103,113,224,426,463
"4914",103,113,221,238,426
"4915",113,221,238,317,426
"4917",113,221,238,272,317
"4920",221,238,272,317,463
"4922",221,238,272,426,463
"4924",113,238,272,426,463
"4936",103,113,221,317,426
"4946",113,221,224,426,463
"4948",113,221,224,272,463
"5575",221,272,402,426,463
"5583",113,224,402,426,436
"5592",113,221,272,402,426
"5611",113,224,238,402,426
"9079",103,221,238,317,402
"9080",103,221,238,402,426
"9090",113,224,272,317,402
"9098",103,224,272,317,402
"9099",221,224,272,317,402
"9100",221,224,272,402,426
"9102",113,221,224,402,426
"9105",113,221,238,402,426
"9107",103,221,238,402,436
"9109",103,221,272,402,436
"9113",103,113,224,272,436
"9115",113,224,272,402,436
"9750",103,221,272,402,426
"9754",103,224,272,402,436
"9767",103,221,224,272,426
"9776",103,224,272,402,426
"9781",103,224,402,426,436
"9782",103,221,224,426,436
"9784",113,221,224,238,436
"9801",103,224,238,247,402
"9802",103,224,238,247,436
"10414",103,224,238,402,436
"10417",103,113,224,238,436
"10419",113,224,238,402,436
"10438",103,224,238,402,426
"10440",103,221,224,238,436
"12231",221,238,402,426,463
"12249",221,317,402,426,463
"12250",221,402,426,436,463
"12273",221,224,402,426,463
"13395",224,272,402,426,463
"13406",221,238,272,402,463
"13409",224,238,272,402,463
"13430",113,221,238,272,463
"13433",113,221,238,272,402
"13437",221,224,238,402,426
"15931",113,221,317,402,426
"15938",224,402,426,436,463
"15939",103,224,426,436,463
"15942",103,221,224,272,463
"15943",103,113,221,224,272
"15946",103,113,221,272,402
"15949",103,221,224,402,426
"15959",103,113,224,272,402
"15961",103,224,272,402,463
"15967",103,113,221,426,463
"15969",103,113,221,272,463
"19383",113,224,317,402,426
"19387",221,224,317,402,426
"19398",103,113,221,224,426
"20336",218,221,272,317,402
"20340",113,221,272,317,394
"20343",113,221,272,394,426
"20345",113,221,238,394,426
"20346",113,224,238,394,426
"20347",113,224,238,394,436
"20348",218,224,272,394,436
"20352",218,224,394,426,436
"20354",218,221,402,426,436
"20356",218,221,317,402,426
"20371",113,224,272,317,394
"20375",113,224,272,394,426
"20377",103,224,272,394,426
"20378",103,224,238,394,426
"20380",103,218,224,238,426
"20382",103,218,224,238,436
"21438",113,224,394,426,463
"21443",218,224,394,426,463
"21444",218,272,394,426,463
"21448",113,218,221,272,426
"21453",113,221,272,394,402
"21456",113,221,272,394,463
"21464",113,238,394,402,426
"21467",113,238,394,426,463
"21468",218,238,394,426,463
"21470",218,221,394,426,463
"21475",113,221,394,426,463
"21479",113,221,238,272,394
"24891",218,221,272,402,426
"24901",113,224,317,394,426
"24903",113,224,238,317,394
"24907",113,221,238,317,394
"24908",218,221,238,317,394
"24912",218,221,238,317,402
"24918",218,221,272,394,426
"24925",224,238,317,394,463
"24927",103,224,238,436,463
"25579",218,224,238,317,394
"25597",218,221,394,402,426
"25600",113,221,394,402,426
"25603",113,218,272,394,426
"25604",113,218,272,317,394
"25606",218,272,317,394,402
"25609",113,272,317,394,402
"25615",103,113,238,317,394
"30609",113,221,394,402,436
"30610",113,218,272,394,436
"30614",218,221,224,394,436
"30617",218,221,224,394,402
"30618",218,221,224,317,402
"30619",218,221,224,402,426
"30627",218,221,272,317,394
"30630",218,221,238,394,426
"30634",103,113,224,394,436
"31881",113,218,238,394,426
"31882",218,238,394,402,426
"31883",218,272,394,402,426
"31894",103,113,272,317,394
"31902",113,221,238,317,402
"31905",218,221,238,402,426
"31907",113,218,221,402,426
"31917",218,221,272,394,402
"32553",113,272,394,426,463
"32561",113,221,317,394,402
"32576",113,272,394,402,426
"32586",113,218,221,272,402
"33135",113,272,317,394,463
"33137",218,272,317,394,463
"33138",218,221,272,394,463
"33156",113,317,394,402,426
"33157",113,218,317,394,426
"34030",113,221,317,394,426
"34032",218,224,272,317,394
"34036",218,221,224,402,436
"34038",113,221,224,402,436
"34052",113,221,224,394,426
"34057",113,224,317,394,402
"34059",224,394,402,436,463
"34063",103,224,394,436,463
"35043",113,224,394,402,426
"35045",113,218,224,317,394
"35049",113,218,221,317,394
"35070",113,218,224,272,394
"35072",113,218,224,394,426
"35074",113,218,221,394,426
"35081",103,113,224,317,394
"37138",221,272,394,426,463
"37140",221,272,317,394,463
"37141",218,224,317,394,463
"37142",218,224,317,394,402
"37145",218,224,394,402,426
"37150",221,272,394,402,426
"37157",221,317,394,402,426
"37165",218,221,224,272,394
"37166",218,221,224,394,426
"37171",221,224,317,394,402
"37187",218,221,317,394,463
"37588",221,394,426,436,463
"37589",224,394,426,436,463
"37591",224,317,394,436,463
"37608",218,394,426,436,463
"37609",218,224,394,436,463
"37611",218,224,394,402,436
"37614",218,221,394,402,436
"38315",218,221,317,394,402
"38318",221,317,394,402,463
"38323",218,221,317,402,463
"38330",221,272,394,402,436
"38342",221,317,394,436,463
"38354",103,224,247,394,463
"39196",224,272,317,394,463
"39201",218,224,272,317,402
"39207",221,394,402,426,436
"39213",221,317,394,426,463
"39217",218,224,317,394,426
"39218",218,224,317,394,436
"39222",221,317,394,402,436
"39228",103,218,224,402,426
"39694",218,221,317,394,426
"39700",113,224,247,317,394
"41276",113,145,218,224,317
"41277",113,218,224,317,402
"41290",113,221,224,272,402
"41292",113,145,221,224,402
"41293",113,145,218,224,402
"41295",113,218,224,272,317
"41296",113,218,221,272,317
"41306",113,145,224,247,402
"41857",113,218,224,402,426
"41875",113,221,224,317,402
"41883",113,145,221,317,402
"41885",145,218,224,317,402
"41896",113,145,224,317,463
"41897",145,224,238,317,463
"41898",145,224,238,247,463
"43746",218,224,272,394,426
"43747",218,224,272,402,426
"45107",113,218,221,224,402
"45125",113,218,224,238,426
"45130",224,238,295,394,426
"45131",145,224,238,295,394
"45133",145,224,238,247,295
"45647",113,224,247,295,394
"46332",113,145,221,394,426
"46333",113,145,218,394,426
"49406",113,145,224,394,402
"49410",113,145,224,272,402
"49413",113,145,218,224,272
"49419",113,218,224,272,402
"49421",113,218,272,394,402
"49424",145,218,394,402,426
"49425",113,145,394,402,426
"49437",113,145,224,402,426
"49439",113,145,218,224,426
"49441",113,145,218,402,426
"49442",113,218,272,402,426
"49452",113,218,394,402,426
"51415",145,218,221,317,402
"51418",113,145,221,402,426
"51434",113,145,221,317,394
"51435",145,221,224,317,394
"51440",145,218,221,402,426
"51455",224,238,247,295,394
"51994",218,272,295,402,426
"54279",113,218,238,402,426
"54282",113,238,402,426,463
"54310",113,145,224,394,426
"55036",221,272,317,394,402
