"","V1","V2","V3","V4","V5"
"2798",282,332,341,345,458
"2800",140,332,341,345,458
"2801",140,341,345,361,458
"2804",140,181,282,341,361
"2807",140,181,282,361,439
"2809",32,181,282,361,439
"2810",32,181,282,332,361
"2813",32,181,332,345,361
"2817",32,332,345,361,458
"2818",32,332,341,345,458
"2819",32,341,345,361,458
"2821",181,332,341,345,458
"2823",181,282,332,341,458
"2825",140,282,332,341,458
"2828",140,181,341,361,458
"2830",140,181,361,439,458
"2836",32,181,332,361,458
"2838",32,140,332,361,458
"2842",32,282,332,361,458
"2844",32,282,332,341,458
"2846",32,181,332,341,458
"2847",32,181,341,361,458
"2850",32,181,282,332,458
"2852",32,140,181,282,361
"2856",16,32,140,282,298
"3679",133,140,341,439,458
"3685",32,133,181,361,439
"3693",140,282,341,361,458
"3698",140,181,332,341,458
"3701",133,140,282,341,458
"3708",32,181,282,341,361
"3713",32,181,345,361,439
"3716",181,332,345,361,458
"3718",32,140,332,345,458
"3722",32,140,282,332,458
"3726",16,133,140,225,341
"3731",16,133,225,341,439
"3732",16,133,225,361,439
"4539",282,341,345,361,458
"4546",140,181,282,332,361
"4547",16,140,181,332,361
"4549",16,133,140,181,361
"4550",16,32,133,181,361
"4551",32,133,181,282,361
"4556",32,133,181,332,345
"4564",133,181,282,341,458
"4579",32,133,181,361,458
"4580",32,133,181,332,458
"4583",32,133,282,341,458
"5996",140,181,341,439,458
"6002",16,32,181,332,439
"6004",16,32,133,181,439
"6006",16,32,181,361,439
"6011",16,32,361,439,458
"6014",32,282,341,439,458
"6015",140,282,341,439,458
"6017",140,181,282,332,341
"6021",133,140,181,282,341
"6027",140,181,332,361,458
"6033",16,32,181,282,361
"6037",181,282,361,439,458
"6039",181,282,341,439,458
"6055",140,181,282,341,458
"6058",16,140,181,282,458
"6059",16,133,140,181,282
"6695",181,282,341,361,458
"6702",140,181,345,361,439
"6704",140,181,332,345,361
"6707",32,140,282,332,361
"6711",32,140,282,332,341
"6721",181,282,332,345,458
"6734",16,32,181,332,361
"6743",32,140,341,439,458
"9312",181,341,345,361,458
"9327",32,140,332,345,361
"9335",32,341,345,439,458
"9349",181,282,332,361,458
"9356",32,140,332,341,458
"9360",32,140,341,361,458
"12294",16,140,181,293,332
"12297",16,140,181,293,439
"12298",16,181,293,439,458
"12302",282,293,345,439,458
"12303",282,341,345,439,458
"12323",133,140,181,282,361
"12331",16,140,181,341,361
"12334",16,133,140,225,361
"14526",140,181,332,345,439
"14530",140,181,293,332,345
"14559",140,181,282,345,361
"14563",140,181,282,361,458
"14564",140,181,282,332,458
"14570",181,282,341,345,458
"14573",282,332,345,439,458
"16277",32,133,181,345,361
"16293",140,282,332,341,345
"16304",32,181,341,345,361
"17581",32,140,282,341,345
"17584",140,181,341,345,439
"17587",181,282,332,345,361
"17595",32,181,282,332,341
"17599",32,140,181,361,439
"17602",32,140,181,345,361
"17605",32,140,181,332,345
"17608",32,140,181,282,332
