"","V1","V2","V3","V4","V5"
"1214",136,146,182,257,318
"1216",36,136,146,257,318
"1218",36,136,142,146,318
"1221",36,136,142,146,325
"1223",25,36,142,146,325
"1225",25,36,142,236,325
"1226",25,36,236,318,325
"1231",136,146,236,318,325
"1233",136,146,257,318,325
"1236",25,136,146,182,318
"1239",25,36,136,146,318
"1240",36,136,146,236,318
"1245",25,36,136,146,325
"1247",25,36,146,236,325
"1251",25,36,236,303,325
"1261",36,136,146,182,318
"1266",25,36,167,182,236
"3733",136,146,182,194,318
"3738",25,146,182,194,318
"3740",25,142,146,236,318
"3743",25,142,146,236,325
"3751",36,136,142,194,325
"3753",136,142,146,194,325
"3760",136,146,182,318,325
"3770",36,142,146,236,325
"3782",25,136,146,318,325
"3784",36,136,146,318,325
"3789",36,146,182,236,303
"3795",36,182,236,303,342
"5214",25,142,146,182,236
"5217",25,36,142,146,236
"5218",25,36,142,236,342
"5226",25,36,194,318,342
"5228",36,136,146,194,318
"5232",136,142,146,182,194
"5239",25,142,146,182,194
"5248",25,36,136,142,342
"6073",25,36,236,318,342
"6074",25,36,146,236,318
"6076",25,36,146,194,318
"6087",25,136,142,146,318
"6088",25,36,136,142,146
"6095",36,136,142,146,236
"6096",36,136,142,146,194
"6097",136,142,146,194,318
"6769",25,36,142,194,325
"6774",36,136,142,194,318
"6782",25,36,142,318,325
"6796",36,142,194,325,342
"6799",36,194,318,325,342
"6801",36,146,194,318,325
"6806",142,146,303,318,325
"6807",36,142,146,318,325
"9363",136,146,182,236,318
"9370",25,36,146,194,325
"9378",36,142,146,194,325
"9380",36,142,146,194,318
"9386",25,146,182,236,318
"9389",25,146,182,194,325
"9393",25,36,146,325,342
"9394",25,36,142,325,342
"9395",36,142,236,325,342
"9399",36,146,182,236,325
"9401",36,136,146,182,325
"10169",25,146,182,236,325
"10172",36,146,182,194,325
"10176",25,36,142,194,318
"10181",25,36,142,146,318
"10184",36,146,182,236,318
"10187",25,36,146,182,318
"10200",25,146,182,318,325
"10203",146,182,236,318,325
"10208",36,182,236,325,342
"10808",36,146,194,303,325
"10809",36,142,194,303,325
"10817",146,182,236,303,325
"10837",142,182,236,303,325
"10838",142,146,182,236,325
"11703",36,146,182,194,318
"11724",25,146,182,303,318
"11731",146,182,194,303,318
"11737",36,142,182,303,325
"11738",36,142,182,318,325
"11740",25,36,142,303,325
"11745",25,142,146,318,325
"11746",142,146,182,318,325
"11747",36,146,182,318,325
"11754",36,142,236,318,342
"11755",36,142,236,303,342
"15986",36,136,236,303,325
"15999",36,146,236,303,325
"16002",36,136,146,236,325
"16005",36,136,142,236,325
"16006",36,136,142,236,318
"16011",36,136,146,194,325
"17048",136,146,182,236,325
"17055",36,182,236,303,325
"17072",136,146,182,257,325
"17083",36,142,182,236,303
"17088",36,136,182,303,325
"18248",36,182,257,303,325
"18251",36,136,182,257,325
"18268",36,142,182,236,342
"18275",36,142,182,257,342
"18276",36,182,257,325,342
"18277",36,146,182,257,325
"20396",36,142,146,236,342
"20430",36,136,182,325,342
"20431",36,136,142,325,342
"20432",36,136,142,303,325
"21142",136,182,257,325,342
"21143",36,136,257,325,342
"21147",36,136,236,325,342
"21151",25,36,142,182,236
"21154",36,136,142,182,236
"21158",136,142,182,257,325
"21161",36,136,182,236,325
"21163",136,142,182,257,342
"21179",25,36,136,182,325
"23559",25,36,182,236,325
"23566",25,36,142,257,342
"23568",36,136,142,257,325
"23582",25,36,142,236,303
"23593",36,136,142,182,342
"25347",25,36,146,325,333
"25350",25,36,142,146,333
"25351",25,36,142,333,342
"25357",136,142,146,182,236
"25367",136,146,182,325,333
"25372",36,136,146,325,333
"25375",25,36,146,257,325
"27757",36,142,146,182,236
"27758",36,142,146,182,257
"27760",36,142,182,257,333
"27761",36,142,257,318,333
"27762",36,142,236,257,318
"27768",25,36,142,146,182
"27776",36,142,303,318,333
"27781",36,146,182,318,333
"28772",25,146,182,325,333
"28777",25,36,142,182,318
"28779",25,36,142,303,318
"28783",36,142,146,303,325
"28799",25,36,146,318,333
"28802",25,36,182,318,333
"28803",25,36,182,236,318
"28812",25,36,146,182,325
"29624",25,136,146,182,325
"29633",25,36,142,236,318
"29647",36,146,182,236,250
"29660",25,136,182,318,325
"30328",25,142,146,257,318
"30329",25,36,142,146,257
