"","V1","V2","V3","V4","V5"
"218",76,121,215,220,313
"222",121,215,220,297,313
"225",51,121,297,313,428
"227",40,51,233,297,428
"228",40,51,76,233,428
"233",40,76,220,233,428
"236",76,121,220,233,313
"243",76,121,220,313,428
"245",51,76,121,313,428
"247",40,51,68,233,428
"252",68,121,220,233,428
"254",68,121,220,233,313
"1271",40,76,215,220,313
"1274",40,51,76,313,428
"1278",51,68,121,233,428
"1283",68,121,215,220,313
"1297",40,51,68,76,313
"1304",68,121,220,313,428
"2862",51,76,121,215,233
"2866",40,51,68,313,428
"2877",76,118,121,215,313
"2879",118,121,233,313,428
"2880",76,118,121,233,428
"2881",76,121,220,233,428
"8254",76,121,215,220,233
"8258",40,68,118,233,428
"8280",40,118,233,313,428
"8284",121,220,233,313,428
"9808",76,118,121,313,428
"9810",68,118,121,313,428
"9829",76,118,121,215,233
"9831",40,76,118,233,428
"9833",40,220,233,313,428
"9834",40,215,220,233,313
"9835",121,215,220,233,313
"11123",51,121,233,313,428
"11124",40,51,233,313,428
"11142",51,76,121,233,428
"11146",40,76,220,313,428
"11156",22,51,68,199,428
"13045",40,76,215,220,233
"13063",40,51,76,215,313
"13082",40,76,220,233,313
"13087",51,76,220,233,313
"13089",51,76,121,220,313
"13730",51,121,215,233,313
"13790",76,220,233,313,428
"15262",40,51,199,233,428
"15263",40,118,199,233,428
"15265",22,68,118,199,428
"15266",22,68,118,199,233
"18897",51,76,121,215,313
"18908",40,51,76,215,233
"18909",22,51,76,215,233
"18934",76,215,220,233,313
"22360",51,68,121,215,233
"22361",40,51,68,215,233
"22402",51,76,215,233,313
"24386",121,215,226,233,313
"24387",40,76,226,233,428
"24391",40,76,226,313,428
"24403",40,215,226,233,313
"24418",22,199,226,233,313
"24419",22,68,199,226,233
"27481",76,121,199,215,220
"27484",76,121,199,215,226
"27486",40,199,226,233,428
"27512",121,199,220,233,428
"28423",40,76,215,226,233
"28425",40,226,233,313,428
"28426",121,226,233,313,428
"28440",22,76,220,233,428
"28449",76,121,226,233,428
"28464",40,76,220,226,428
"29993",76,121,215,226,233
"30740",121,199,215,220,313
"34082",40,76,226,233,313
"34098",76,121,226,233,313
"36929",121,199,215,226,313
"36937",40,199,226,233,313
"36940",121,199,220,233,313
"36954",40,199,215,226,313
"36956",121,199,215,226,233
"36958",121,199,226,233,313
"36964",40,220,226,233,313
"36968",199,220,233,313,428
"38359",121,199,220,313,428
"38363",40,199,226,313,428
"38377",40,199,220,313,428
"39230",121,199,226,313,428
"39231",40,121,199,226,313
"39241",40,51,121,199,313
"39260",40,51,199,313,428
"39261",40,51,121,199,233
"39262",51,121,199,233,428
"39266",51,121,199,233,313
"40874",76,121,184,220,428
"40876",76,121,184,220,313
"40877",51,76,121,184,313
"40879",51,121,184,233,313
"40882",40,51,184,199,233
"40893",51,76,121,184,233
"40903",40,51,76,184,233
"40909",121,184,199,220,313
"41966",68,76,121,184,220
"41969",51,68,76,121,184
"41970",51,68,121,184,199
"41972",40,51,68,199,313
"41978",40,68,76,220,313
"41980",40,76,121,184,220
"41982",40,76,184,220,313
"41998",40,51,68,179,199
"41999",22,51,68,179,199
"43461",76,121,179,220,313
"43464",68,76,121,179,220
"43468",51,68,121,179,199
"43469",40,51,68,184,199
"43470",40,51,68,184,313
"43473",40,51,76,184,313
"43492",40,68,199,220,313
"43495",40,68,179,199,220
"45972",51,68,76,121,313
"45973",68,76,121,220,313
"45996",51,68,121,184,313
"46001",40,68,76,184,220
"49457",76,121,184,220,233
"49503",76,184,220,233,313
"50296",51,68,121,184,233
"50299",40,51,68,233,313
"50302",40,68,220,233,313
"50320",40,51,76,233,313
"50671",68,121,184,220,233
"51479",40,51,184,233,428
"51480",51,121,184,233,428
"51482",51,76,121,184,428
"52058",121,184,199,220,233
"52061",51,121,184,199,233
"52085",121,184,220,233,313
"52713",40,51,184,233,313
"52717",40,76,184,220,233
"52737",40,51,68,76,428
"54351",51,76,121,233,313
"54359",40,76,121,220,313
"54363",76,184,220,313,428
"55356",40,51,76,184,428
"57754",40,51,68,76,184
"57770",68,121,184,220,313
"57772",51,68,121,313,428
"59140",76,118,121,184,233
"59143",40,68,118,313,428
"59161",40,76,118,184,233
"59169",68,118,121,184,313
"60726",51,76,184,233,428
"60891",121,184,220,233,428
"60909",51,76,184,233,313
"11",40,51,233,297,313
"12",40,51,215,233,297
"15",51,121,215,233,297
"5279",68,76,215,220,233
"7621",40,68,220,233,428
"7645",68,118,121,233,428
"9512",40,76,118,215,233
"9516",40,76,118,215,313
"9518",40,76,118,313,428
"9521",76,118,233,313,428
"10508",40,118,199,215,233
"10510",118,121,215,233,313
"10535",22,51,68,233,428
"15903",40,51,215,233,313
"15925",22,68,118,199,215
"17203",51,121,199,313,428
"17230",51,76,233,313,428
"17239",40,51,68,199,428
"19564",22,51,233,313,428
"19566",22,220,233,313,428
"19584",22,76,215,220,233
"19586",22,76,121,220,233
"19587",22,51,121,233,313
"19615",22,51,76,215,220
"19616",51,76,215,220,428
"23691",40,199,215,226,233
"25026",76,121,215,226,313
"26297",22,76,215,220,313
"26299",22,76,220,313,428
"26308",22,76,226,233,428
"31861",40,121,226,233,313
"31864",40,76,121,226,233
"31866",40,76,121,226,313
"31868",40,76,121,215,313
"31869",40,76,121,215,233
"32613",40,76,215,226,428
"35241",76,121,226,313,428
"36366",40,199,220,226,428
"36371",121,199,215,220,233
"36378",40,199,220,233,313
"36383",40,199,220,233,428
"37724",121,199,226,233,428
"37736",40,68,215,220,313
"37758",68,220,233,313,428
"37763",40,68,220,313,428
"40451",40,184,220,233,313
"40463",51,68,121,199,428
"41276",40,51,199,233,313
"43174",68,121,199,220,313
"43186",40,51,184,199,313
"43200",40,51,68,76,179
"44717",51,68,121,199,313
"44732",40,51,76,121,184
"45746",76,121,179,184,220
"46980",68,76,184,220,313
"47985",40,68,184,220,313
"48980",22,51,68,199,233
"56687",121,184,199,220,428
"57217",51,68,76,121,428
"59424",40,51,68,199,233
"59428",22,51,68,233,297
"59429",22,51,68,297,428
"59434",40,51,199,297,428
"59441",40,51,199,233,297
"59443",22,40,51,199,233
"59444",22,40,51,68,233
"59447",22,40,51,68,428
"59453",22,68,118,297,428
"59455",22,68,118,233,428
"59456",22,40,68,118,233
"59987",51,68,76,184,233
"59999",68,184,220,233,313
"60002",68,118,233,297,428
"61285",40,51,68,184,233
