"","V1","V2","V3","V4","V5"
"102",34,54,105,166,425
"105",34,105,166,214,425
"106",31,34,105,166,214
"107",31,34,105,135,214
"108",31,105,135,214,285
"110",31,135,214,268,407
"111",31,214,268,407,425
"117",31,34,105,166,268
"118",34,54,105,166,268
"122",34,54,105,214,268
"123",31,34,54,105,214
"127",31,34,105,214,407
"133",105,135,166,214,425
"134",31,105,135,166,214
"136",31,34,135,214,268
"139",31,34,214,268,407
"142",31,166,214,268,407
"146",105,135,166,268,425
"150",34,105,135,166,425
"156",31,268,285,384,407
"2392",105,166,214,407,425
"2394",105,166,214,268,407
"2395",34,105,214,268,407
"2402",31,34,166,268,425
"2404",31,34,105,166,425
"2405",31,105,166,384,425
"2408",105,135,166,384,425
"2417",105,166,214,285,425
"2423",31,214,268,285,407
"2424",31,87,214,285,407
"2425",31,87,285,384,407
"2426",31,87,285,384,424
"2429",87,285,384,407,424
"3194",34,135,166,268,425
"3195",135,166,214,268,425
"3198",166,214,268,407,425
"3217",34,166,214,285,425
"4072",31,34,214,268,285
"4077",31,34,268,285,425
"4078",31,166,268,285,425
"4079",31,135,166,268,425
"4082",87,105,135,166,425
"4083",87,105,166,424,425
"4093",34,105,214,268,285
"4103",34,105,384,424,425
"5259",54,105,166,214,425
"5260",54,105,166,214,268
"5265",31,34,54,214,268
"5268",31,34,268,407,425
"5270",31,105,166,407,425
"5286",54,105,214,268,285
"5291",31,34,54,268,425
"5293",54,105,166,268,425
"7195",34,105,135,166,384
"7197",54,105,166,214,384
"7201",34,54,87,214,268
"7207",34,105,135,166,268
"7211",105,135,166,214,384
"7215",34,54,105,166,384
"7217",34,54,105,166,214
"7227",34,105,166,214,268
"7238",54,135,166,214,268
"8301",31,34,54,87,214
"8303",31,34,54,214,425
"8305",31,34,54,166,425
"8306",31,34,135,166,425
"8323",31,34,87,214,407
"8326",31,34,166,214,425
"8328",31,54,166,214,425
"9413",105,135,166,214,268
"9417",31,34,87,135,214
"9421",34,54,87,214,425
"9435",105,135,214,285,425
"9436",31,135,214,268,285
"10863",31,54,214,268,407
"10867",34,54,268,407,425
"10883",31,135,166,214,268
"10884",31,135,214,268,424
"10886",31,135,268,384,424
"10889",31,87,384,407,424
"12337",54,105,166,384,425
"12354",31,105,135,166,425
"12360",54,87,105,166,425
"12362",87,105,166,214,425
"12371",105,135,214,268,407
"12384",31,87,135,384,424
"18944",31,135,214,268,384
"18948",31,105,135,166,268
"18956",105,166,214,384,425
"18966",31,214,268,384,407
"18970",31,87,268,384,407
"19683",31,166,268,407,425
"19686",105,166,268,407,425
"19687",105,166,384,407,425
"19688",105,166,384,424,425
"19696",105,166,214,268,285
"21493",31,135,268,285,425
"21511",31,54,105,166,214
"21513",31,87,105,166,214
"21517",31,87,166,214,268
"21518",31,87,135,214,268
"21519",31,135,214,268,425
"21531",54,87,214,285,425
"21533",31,87,214,285,384
"21951",31,135,214,407,425
"21952",31,135,384,407,425
"21953",31,135,166,384,425
"21956",54,166,268,384,425
"21972",87,135,214,268,384
"21975",87,135,214,268,285
"21976",87,135,268,285,425
"21981",105,166,214,268,425
"23083",87,135,166,214,268
"23084",87,214,268,285,384
"23085",87,214,268,285,425
"23087",87,105,166,268,425
"23106",87,268,285,384,425
"23107",87,268,285,424,425
"24984",87,166,268,407,425
"24988",87,214,268,407,424
"24989",87,105,214,268,424
"24992",87,105,214,424,425
"24997",105,166,268,424,425
"24998",87,166,268,424,425
"24999",87,166,214,424,425
"25002",54,87,166,214,425
"25008",87,268,407,424,425
"25012",54,166,214,268,425
"25018",87,166,214,268,425
"25020",87,166,214,407,425
"25660",34,214,268,407,425
"25663",34,87,214,268,407
"25665",87,105,166,214,407
"25666",54,87,105,166,214
"25684",34,87,214,407,425
"25685",34,87,214,384,407
"28257",34,105,135,214,268
"28258",34,87,135,214,268
"28261",34,54,87,268,425
"28272",34,105,166,214,384
"28289",34,105,166,268,425
"29213",31,54,166,268,425
"29215",31,54,105,166,425
"29233",31,34,135,268,384
"29235",31,34,87,135,384
"32177",34,54,214,268,425
"32178",34,54,166,268,425
"32200",31,166,214,268,425
"32213",34,87,384,407,425
"33242",31,34,105,214,425
"33252",166,268,384,407,425
"33259",34,105,214,407,425
"33260",105,214,384,407,425
"33270",31,105,135,166,384
"33284",34,87,268,384,424
"33285",87,268,384,407,424
"34124",31,105,214,384,407
"34128",31,34,214,268,384
"34129",34,214,268,384,425
"34135",31,34,105,269,425
"34137",31,34,54,105,425
"34139",31,54,105,214,425
"34146",31,105,166,214,384
"34148",214,268,384,407,425
"34150",34,166,268,384,425
"34156",34,87,105,166,425
"34157",34,87,105,424,425
"34160",31,87,269,384,424
"37626",31,105,166,214,407
"37643",34,105,166,407,425
"38819",34,54,105,214,425
"38821",54,105,214,384,425
"38825",34,105,214,384,425
"38840",34,166,214,268,425
"44093",34,54,87,166,425
"44094",34,87,166,407,425
"44098",87,166,384,407,425
"44099",31,87,166,384,407
"44102",31,34,268,384,407
"44103",31,34,268,384,436
"44108",34,166,268,425,436
"44114",54,87,166,384,425
"44118",31,87,166,285,384
"44128",31,54,87,166,384
"44133",31,34,54,384,425
"44134",31,54,166,384,425
"44144",34,166,268,407,425
"44960",31,105,166,384,436
"44962",31,105,166,214,436
"44964",31,166,214,268,436
"44965",31,34,214,268,436
"44970",34,105,268,407,425
"44977",34,105,166,384,425
"44983",31,105,166,384,407
"44985",31,34,105,384,407
"46431",31,54,105,166,384
"46441",34,87,268,407,425
"46443",34,87,268,425,436
"46444",87,166,268,425,436
"46452",34,54,105,384,425
"46454",34,105,166,285,425
"46456",31,34,105,166,384
"46459",31,105,166,268,384
"46462",31,34,268,384,425
"46990",31,34,105,214,436
"47019",31,34,268,425,436
"47023",105,166,268,425,436
"47027",87,105,166,425,436
"47030",87,105,285,384,425
"47031",31,87,285,384,425
"47618",34,214,268,425,436
"47636",31,105,166,214,285
"47638",31,87,166,214,285
"47640",31,105,166,285,384
"47642",34,268,384,425,436
"47647",31,34,105,166,407
"47648",31,34,87,166,407
"48158",31,34,54,105,166
"48160",31,105,166,268,407
"48170",105,166,384,425,436
"48188",31,34,105,268,407
"48192",31,34,105,407,425
"48722",31,54,105,166,268
"48723",31,105,166,268,436
"48731",34,87,285,384,425
"49526",34,87,384,425,436
"49535",34,87,166,425,436
"49551",34,87,285,425,436
"49552",31,34,87,285,436
"49553",31,87,285,384,436
"52104",34,54,268,384,425
"52118",105,166,268,384,425
"52122",31,105,268,285,384
"52745",31,34,105,166,436
"52751",34,268,384,407,425
"52763",87,105,166,285,425
"53567",31,87,384,407,425
"53579",31,34,87,105,166
"53591",31,34,87,407,425
"53600",31,105,166,285,425
"53603",31,87,285,407,425
"54377",31,34,87,268,407
"54407",31,87,105,166,425
"54413",31,87,166,285,425
"55393",31,34,87,268,425
"55405",31,34,166,384,425
"55991",34,105,166,425,436
"56001",34,105,384,407,425
"56015",31,34,105,166,285
"56017",31,105,166,268,285
"56020",31,105,166,268,425
"56021",31,87,166,268,425
"56590",34,135,268,384,425
"56592",34,105,135,268,425
"56597",34,105,135,214,425
"56605",31,54,105,214,384
"56608",34,105,268,384,425
"56617",34,54,105,268,425
"57385",31,135,166,268,384
"59557",31,34,214,384,407
"59558",31,214,285,384,407
"59560",31,214,285,384,436
"59916",31,166,214,425,436
"59918",31,87,166,214,436
"59919",31,87,166,214,425
"59922",34,54,87,214,384
"59923",34,54,214,384,425
"59940",31,166,214,384,425
"59945",34,54,166,214,425
"59951",34,87,166,384,425
"60352",31,34,105,135,268
"60361",31,34,105,214,268
"60850",34,135,214,268,425
"60852",31,34,214,268,425
"60866",31,34,87,214,436
"60868",31,34,214,407,425
"60872",34,166,214,407,425
"60881",87,384,407,425,436
"60882",31,87,384,407,436
"61650",34,87,166,268,425
"61663",31,135,166,214,425
"61665",31,34,135,214,425
"61671",34,135,166,214,425
"61926",34,105,214,268,436
"61927",31,34,166,214,268
"61935",34,87,105,166,214
"61941",105,166,214,268,436
"61971",31,87,135,384,407
"62118",31,34,105,268,436
"62122",31,34,105,268,425
"62361",31,34,54,105,268
"62366",34,54,87,105,268
"62368",34,87,135,268,384
"62370",34,87,135,384,407
"62655",31,54,166,214,268
"62659",31,135,166,214,384
"62687",31,166,214,384,407
"62690",31,166,214,407,425
"62702",34,166,214,384,425
"62822",31,105,135,268,285
"62823",31,34,105,268,285
"62833",135,214,268,285,425
"62838",34,105,214,268,425
"62842",34,105,214,425,436
"62850",31,34,214,285,425
"62853",105,214,268,285,425
"62874",31,285,384,407,436
"63203",166,214,268,425,436
"63217",105,166,214,425,436
"63251",87,135,166,214,425
"63272",87,166,214,425,436
"63273",87,166,214,384,436
"63283",31,34,87,135,268
"63285",31,87,135,285,384
"63328",34,105,268,425,436
"63331",34,87,105,425,436
"63332",34,87,105,384,436
"63335",31,34,87,384,436
"63336",31,34,87,384,407
"63954",31,105,166,214,425
