"","V1","V2","V3","V4","V5"
"265",24,78,177,239,259
"266",24,78,177,180,259
"268",24,46,61,177,180
"271",46,61,177,180,259
"274",24,46,180,239,259
"275",24,180,239,259,420
"277",24,78,239,259,420
"282",61,78,177,239,420
"284",46,61,78,177,239
"287",24,61,177,180,259
"291",24,177,180,239,259
"294",24,46,61,177,239
"298",24,46,61,78,177
"299",46,61,78,177,259
"300",46,61,78,259,420
"302",24,61,177,259,420
"306",24,61,177,239,259
"312",24,61,112,239,290
"314",61,112,180,239,290
"1317",24,177,208,239,259
"1322",24,46,78,177,180
"1323",46,61,78,177,180
"1326",46,61,78,180,259
"1328",61,177,208,239,259
"1335",24,46,78,177,239
"1339",24,61,78,177,259
"1349",24,46,61,177,208
"1352",46,61,180,208,259
"1365",61,112,180,259,290
"1366",46,61,112,180,290
"2430",24,177,208,259,427
"2432",24,46,78,177,427
"2435",46,61,78,177,427
"2438",46,61,177,208,259
"2440",24,46,61,208,259
"2442",24,61,208,259,427
"2445",24,177,180,259,427
"2451",24,46,177,208,427
"2453",61,177,208,259,427
"2466",46,61,208,259,427
"2472",24,78,177,259,427
"2475",24,61,177,208,259
"3261",24,46,61,78,259
"3272",61,78,177,259,427
"3279",24,61,177,180,420
"3281",24,61,180,259,420
"3283",24,61,78,259,420
"3284",61,78,177,259,420
"3285",61,177,208,420,427
"6103",24,78,177,420,427
"6111",61,208,239,259,420
"6116",61,208,239,259,427
"6118",24,61,78,259,427
"6123",24,177,208,420,427
"6133",46,78,177,239,427
"6137",24,61,78,177,239
"6138",46,61,208,239,259
"7245",61,177,239,259,427
"7250",61,177,180,420,427
"7251",24,61,239,259,427
"7253",61,78,177,239,259
"7258",78,239,259,420,427
"7259",78,180,259,420,427
"7262",180,239,259,420,427
"7268",177,180,239,259,420
"7272",78,177,180,420,427
"7273",78,177,239,420,427
"7275",61,177,239,420,427
"7276",24,61,177,239,420
"7943",24,177,180,208,420
"7945",61,177,180,208,420
"7947",61,78,177,180,420
"7948",61,78,180,259,420
"7951",24,61,78,180,259
"7953",24,61,180,208,259
"7954",24,61,208,239,259
"7959",24,177,208,239,420
"7966",61,78,177,180,259
"7967",61,177,180,208,259
"7978",24,61,78,177,420
"7980",24,208,259,420,427
"7981",24,208,290,420,427
"7985",61,78,239,290,427
"8673",61,78,180,259,427
"8674",61,180,208,259,427
"8685",24,78,177,239,420
"8701",24,61,177,208,427
"8702",61,177,208,239,420
"8707",24,61,177,208,239
"8712",24,61,177,208,420
"9852",61,177,180,239,259
"9860",61,78,239,259,427
"9869",24,177,180,239,420
"9876",24,177,180,420,427
