"","V1","V2","V3","V4","V5"
"878",130,153,196,197,276
"884",67,130,197,414,433
"885",67,130,301,414,433
"889",67,196,301,414,433
"897",153,196,197,276,414
"902",9,130,153,196,276
"905",9,153,196,414,433
"906",153,196,301,414,433
"913",130,153,301,414,433
"915",130,153,276,301,414
"916",130,153,196,276,301
"926",130,153,196,301,414
"1760",9,130,153,414,433
"1761",9,67,130,414,433
"1762",9,67,196,414,433
"1806",9,67,198,454,472
"3302",9,130,153,196,197
"3309",67,130,153,414,433
"3310",67,196,375,414,433
"3316",67,196,197,375,414
"3317",9,196,197,375,414
"3322",9,130,153,197,414
"3323",9,153,196,197,414
"3324",9,153,196,197,375
"3327",9,130,153,197,375
"3336",9,67,130,196,197
"3342",67,130,375,414,433
"3346",153,196,375,414,433
"3349",153,196,197,375,414
"3351",130,153,197,375,414
"3364",67,130,153,196,375
"4112",67,130,153,196,276
"4114",67,130,153,276,414
"4125",9,130,196,197,375
"4132",130,153,196,197,375
"4136",9,130,153,196,433
"4141",67,130,153,197,433
"4142",67,196,197,375,433
"4144",153,196,197,276,375
"4148",130,153,197,276,375
"4158",130,153,196,276,375
"5301",130,153,197,276,414
"5304",130,153,197,414,433
"5305",67,196,197,414,433
"5323",153,196,197,414,433
"5325",67,153,196,197,433
"5327",67,130,197,375,433
"5329",67,130,153,197,276
"5331",67,153,196,276,301
"6814",9,67,130,153,197
"6817",9,67,196,197,375
"6823",9,130,153,276,375
"6826",130,153,276,301,375
"6838",67,130,153,197,301
"6839",67,196,197,301,375
"6844",9,153,196,276,375
"6850",9,130,153,196,301
"9911",67,130,153,276,301
"9912",9,67,130,153,276
"9915",9,67,153,197,414
"9917",9,153,197,375,414
"9921",9,197,301,375,414
"9925",67,130,197,276,301
"9932",9,130,153,276,414
"9936",130,153,197,301,414
"9941",9,130,197,375,414
"9943",9,67,197,375,414
"9946",9,67,197,198,375
"11835",9,130,153,301,414
"11838",9,67,196,276,414
"11839",67,196,276,301,414
"11843",9,67,196,301,414
"11848",9,67,130,153,301
"11855",9,130,153,198,414
"11857",153,196,198,276,414
"11862",9,153,196,198,414
"11874",9,198,301,375,472
"16017",130,153,196,197,301
"16019",130,153,197,198,414
"16022",67,196,197,198,414
"16023",9,67,196,198,414
"16039",153,196,276,301,414
"16040",153,196,197,301,414
"16042",153,196,197,198,414
"16043",67,130,197,198,414
"16044",67,130,197,198,301
"16049",67,130,153,198,301
"17115",67,196,197,301,414
"17127",67,130,196,276,301
"18362",9,67,196,197,414
"18367",67,196,197,276,301
"18368",67,130,196,197,301
"18377",9,130,196,197,301
"18384",9,67,130,197,414
"18392",9,196,197,301,414
"18398",196,197,198,375,414
"18401",9,67,198,375,472
"18984",9,153,197,301,414
"18991",67,130,197,301,414
"19015",130,197,301,375,414
"21559",67,130,153,197,414
"21560",67,153,196,197,414
"23153",67,130,198,276,414
"23154",130,153,198,276,414
"23156",130,153,196,198,276
"23159",9,130,196,198,276
"23168",67,130,153,196,414
"23170",130,153,196,198,414
"24476",130,153,198,414,433
"24480",67,196,198,414,433
"24494",9,67,130,196,301
"24503",153,196,198,414,433
"24507",9,67,130,414,454
"24508",9,67,196,414,454
"24509",9,153,196,414,454
"24511",9,130,153,196,454
"24515",130,153,196,198,301
"24518",67,130,196,198,301
"25030",196,197,198,301,414
"25031",196,198,301,414,433
"25037",130,198,276,301,414
"28481",130,196,197,301,375
"28487",67,196,276,301,375
"28488",9,67,196,276,301
"28489",9,67,130,276,301
"28490",9,130,196,276,301
"28501",67,130,197,301,375
"28502",153,196,197,301,375
"28516",67,198,375,433,472
"29736",9,67,130,153,433
"29740",9,67,196,375,433
"29764",9,130,153,198,433
"29770",9,67,130,196,433
"33517",130,153,196,197,433
"33523",130,197,301,433,472
"33524",197,301,375,433,472
"33528",196,197,301,375,433
"33531",153,196,197,276,301
"33542",153,196,197,433,472
"33544",196,197,301,433,472
"33545",196,301,375,433,472
"33547",130,153,301,433,472
"33549",130,153,276,301,472
"33551",9,130,153,276,472
"33560",9,130,153,197,472
"33566",9,130,153,301,472
"34340",130,153,196,276,433
"34347",9,130,276,301,472
"34350",9,130,197,301,472
"34353",9,197,301,375,472
"34355",9,196,197,301,375
"34361",153,196,197,301,433
"34365",130,196,276,301,433
"34377",9,130,153,197,301
"34382",9,153,196,197,301
"34394",130,153,196,276,454
"34398",67,198,375,454,472
"35145",198,301,375,433,472
"35147",196,198,301,375,433
"35149",153,196,198,375,433
"35153",153,196,197,375,433
"35163",9,130,196,198,301
"35164",9,130,198,301,472
"35165",9,196,198,301,472
"35166",9,196,197,301,472
"35178",130,153,196,198,433
"35807",9,130,153,433,472
"35809",9,130,153,198,472
"35813",9,196,198,301,375
"35815",9,153,196,198,375
"35828",9,130,198,433,472
"35832",9,130,197,198,472
"35833",9,196,197,198,301
"35836",9,153,196,197,198
"35839",130,153,197,198,433
"35846",130,153,196,301,433
"35852",9,130,153,196,198
"37722",153,197,301,433,472
"37725",9,153,197,375,472
"37729",9,153,276,375,472
"37731",130,153,276,375,433
"37736",130,196,197,198,433
"37751",130,153,197,301,433
"37752",130,153,276,301,433
"37761",153,196,198,301,472
"37763",196,198,301,375,472
"38411",9,276,301,375,472
"38415",9,196,276,301,375
"38417",153,196,276,375,433
"38431",9,153,197,301,472
"39275",9,153,196,197,472
"39277",9,130,197,301,375
"39278",9,130,276,301,375
"39281",130,276,301,375,433
"39292",9,130,153,301,433
"39293",9,130,301,375,433
"39299",67,153,196,198,301
"39300",67,130,153,196,198
"42008",9,153,197,198,472
"42009",9,67,197,198,472
"42014",9,67,130,197,472
"42032",9,67,130,197,198
"42685",153,196,276,414,433
"42686",9,153,196,276,414
"42689",9,130,197,198,414
"42694",67,130,197,198,433
"42703",130,153,196,197,198
"42710",67,196,198,276,414
"42726",67,130,153,196,433
"43503",130,153,276,414,433
"43518",153,196,198,276,433
"43520",153,196,197,198,433
"43531",130,197,198,414,433
"43532",9,196,197,198,414
"43544",9,67,375,414,472
"46479",153,197,259,276,414
"46480",197,198,259,414,433
"46501",196,197,198,414,433
"46507",196,197,198,276,414
"49084",130,196,276,414,433
"49087",130,198,276,414,433
"49090",9,130,198,276,414
"49091",9,197,198,414,472
"49899",198,301,414,433,472
"49900",9,198,301,414,472
"49901",198,301,414,454,472
"49902",196,198,301,414,454
"49905",130,196,198,301,454
"49922",9,196,198,301,414
"49925",130,196,198,301,433
"50696",130,197,198,301,414
"50701",9,130,198,301,414
"50702",9,130,197,301,414
"50723",9,130,198,414,433
"51499",9,153,259,276,414
"51501",9,153,197,259,414
"51502",9,197,259,301,414
"51509",130,196,197,301,433
"51515",130,153,198,276,301
"51529",9,153,259,276,301
"52428",130,197,259,301,433
"52437",130,153,196,414,433
"52441",196,276,301,414,433
"52446",198,259,301,414,433
"52447",197,198,259,301,414
"52450",130,198,259,276,414
"52458",130,196,198,276,301
"53612",153,197,198,259,414
"53615",9,197,259,276,414
"53622",9,130,196,197,433
"53623",9,130,153,197,433
"53625",130,153,197,276,433
"53626",9,130,153,197,276
"53641",9,259,276,301,414
"54424",9,153,198,259,414
"54450",153,198,259,414,433
"55113",9,130,153,259,276
"55123",259,276,301,414,433
"55142",197,259,301,414,433
"55144",153,259,276,301,433
"55152",9,153,196,259,301
"57101",153,196,198,276,301
"57111",196,375,433,454,472
"57112",301,375,433,454,472
"58426",9,130,276,301,414
"58429",198,259,276,301,414
"58439",153,196,198,259,433
"58456",198,259,375,433,472
"59184",9,198,259,414,433
"59189",196,198,259,276,414
"59194",130,153,196,276,414
"59203",153,196,198,259,276
"59206",196,198,259,414,433
"61080",153,198,259,276,414
"61081",153,259,301,414,433
"61084",196,198,259,301,433
"61118",9,197,259,375,472
"61540",9,197,198,375,472
"62780",153,196,259,276,301
"801",153,276,301,414,472
"804",67,153,197,276,301
"816",130,196,197,301,414
"829",67,153,196,197,301
"4913",9,67,130,375,433
"4917",9,153,196,375,433
"4939",9,67,153,196,197
"4946",67,130,153,196,197
"5947",67,130,153,301,433
"7891",67,153,197,301,472
"7892",9,67,153,197,472
"7897",9,130,197,198,375
"7901",130,197,198,276,375
"7902",130,153,197,198,276
"7932",130,153,197,276,301
"7934",9,130,153,276,301
"8784",67,153,197,375,472
"8785",67,197,198,375,472
"8788",67,130,197,198,375
"8790",67,130,197,276,375
"8818",67,276,301,375,472
"8823",67,198,276,375,472
"10959",130,153,196,197,414
"12629",9,67,130,276,414
"12656",67,130,153,196,301
"13873",9,67,130,153,414
"14153",67,130,276,301,414
"14161",67,153,276,301,414
"14162",67,153,197,301,414
"14172",153,196,276,301,375
"14174",153,276,301,375,414
"15158",9,153,196,301,414
"17631",9,67,130,197,375
"17633",67,130,276,301,375
"17643",9,67,153,196,276
"17655",67,196,197,198,375
"21033",9,153,196,276,301
"23858",67,130,198,414,433
"23895",9,130,153,196,414
"25703",67,153,197,433,472
"25704",67,197,198,433,472
"25705",67,198,276,433,472
"25706",67,130,198,276,433
"25712",9,130,153,276,433
"25728",67,153,197,414,472
"25730",67,197,198,414,472
"25731",153,197,198,414,472
"25738",9,67,153,276,414
"25744",9,130,153,198,276
"25748",9,153,198,276,414
"26535",196,301,375,414,433
"26538",196,197,301,375,414
"26970",130,301,375,414,433
"26983",9,130,196,276,414
"27792",153,301,414,433,472
"27794",301,375,414,433,472
"27795",197,301,375,414,472
"28739",67,196,301,375,433
"30325",9,153,301,433,472
"30328",153,198,301,433,472
"30331",67,198,301,433,472
"30336",67,130,198,433,472
"30337",67,130,197,198,472
"30347",130,153,197,375,433
"30348",130,153,198,375,433
"30350",130,153,198,301,433
"30364",130,153,197,198,301
"30365",130,153,197,198,375
"31245",67,197,301,433,472
"31257",9,130,153,375,433
"31266",9,67,197,301,472
"31267",67,197,198,301,472
"31271",130,197,198,301,472
"32165",153,197,198,375,472
"32167",153,197,301,375,472
"32170",153,301,375,433,472
"32174",9,67,301,433,472
"32175",9,130,301,433,472
"32184",130,153,375,433,472
"32186",67,130,153,301,375
"32203",9,130,375,433,472
"32206",130,153,198,301,375
"32208",130,153,301,375,433
"32777",9,196,301,433,472
"32803",130,153,197,433,472
"32812",130,153,196,433,472
"36495",196,197,198,301,375
"36496",153,196,197,198,301
"36502",153,196,198,301,433
"36508",9,153,198,301,472
"36528",198,375,433,454,472
"37104",9,130,153,198,301
"37106",9,130,198,301,375
"37109",9,153,196,198,301
"37111",9,153,196,301,433
"40322",9,67,196,197,198
"40324",67,196,197,198,433
"40325",67,130,196,197,433
"40330",130,196,198,276,433
"40342",67,130,197,433,472
"40346",67,153,196,276,433
"40977",9,197,198,301,472
"40979",9,130,197,198,301
"41357",153,197,198,433,472
"41364",9,67,130,196,276
"41400",130,153,196,276,472
"41404",9,67,196,198,472
"43744",9,130,153,197,198
"44540",9,67,130,198,276
"44542",130,153,198,276,433
"45487",67,196,276,414,433
"45856",9,196,198,276,414
"48070",196,197,301,414,433
"48499",196,197,198,301,433
"48500",130,197,198,301,433
"48520",9,197,301,414,472
"48523",9,198,375,433,472
"53257",153,197,259,301,414
"53263",9,196,197,259,301
"53290",9,153,196,259,276
"56339",153,259,276,414,433
"57948",196,198,259,276,301
"57966",9,198,259,301,414
"57967",9,196,198,259,414
"57968",9,196,259,301,414
"57976",130,196,198,259,301
"59648",198,259,414,433,454
"59650",198,259,375,433,454
"59651",197,198,259,375,454
"59653",197,259,375,454,472
"59654",9,197,375,454,472
"59658",86,197,375,414,472
"59661",86,197,198,259,414
"59664",9,197,198,259,414
"59670",197,198,375,454,472
"59675",197,198,375,433,472
"59678",86,375,433,454,472
"62183",130,196,198,276,414
"62888",153,259,276,301,414
"62897",130,196,198,414,433
"63651",130,153,197,198,259
