"","V1","V2","V3","V4","V5"
"927",171,241,348,369,410
"929",171,241,348,354,369
"936",100,241,354,372,404
"938",100,235,354,372,404
"940",100,235,348,354,372
"943",100,171,235,354,372
"959",100,171,348,369,372
"968",100,171,241,348,372
"979",235,354,365,372,404
"981",6,235,284,365,372
"1825",100,171,235,241,348
"1826",100,171,241,348,410
"1836",241,348,354,369,410
"1841",235,241,284,348,372
"1845",171,348,369,404,410
"1848",100,171,348,369,404
"1850",100,348,354,372,404
"1856",100,235,241,354,372
"1857",100,235,241,348,354
"1860",100,171,241,348,369
"1862",171,241,348,369,372
"2486",171,348,354,369,404
"2489",100,171,354,372,404
"2504",100,171,348,354,369
"2507",100,171,241,348,354
"2508",100,171,348,354,404
"2519",100,171,241,354,372
"2524",171,241,284,348,372
"4584",171,241,369,372,410
"4589",171,241,365,369,410
"4590",171,241,354,365,369
"4592",100,171,354,365,404
"4594",100,235,354,365,404
"4598",100,171,235,241,365
"4599",100,171,241,365,410
"4607",171,241,354,369,372
"4615",100,354,365,369,404
"4617",100,241,354,365,369
"4619",100,171,241,365,369
"4621",100,171,241,369,372
"4624",171,354,369,372,410
"4627",100,171,241,354,369
"4629",100,171,354,369,372
"4631",171,241,284,369,372
"5351",100,348,354,404,410
"5352",100,241,348,354,410
"5364",100,171,369,372,404
"5370",100,171,284,369,372
"5379",100,171,348,372,404
"5402",171,241,284,348,369
"7286",100,171,235,241,372
"7290",100,235,241,372,404
"7291",100,235,241,365,404
"7292",100,171,235,365,404
"7293",171,235,365,404,410
"7294",171,235,365,372,404
"7306",171,241,284,354,372
"7311",100,171,241,284,372
"7317",100,171,284,372,404
"7319",100,235,284,365,404
"7323",241,284,365,372,404
"7325",171,241,284,365,372
"7326",171,235,241,284,372
"7336",100,171,354,365,372
"7338",100,171,284,354,372
"9126",171,241,348,354,372
"9130",100,171,235,372,404
"9136",100,241,348,354,404
"9142",171,235,241,348,372
"9147",100,171,235,348,372
"9169",100,171,348,354,372
"10211",241,348,354,369,404
"10218",100,235,284,372,404
"10220",100,171,235,284,372
"10221",100,171,284,348,372
"10224",100,241,348,354,372
"10226",100,241,348,354,369
"10230",235,241,348,369,410
"10231",100,235,241,348,369
"10238",100,235,241,348,372
"11194",171,235,241,348,369
"11204",100,354,372,404,410
"11206",284,354,372,404,410
"11212",100,241,354,372,410
"11240",100,171,372,404,410
"11244",100,241,372,404,410
"11253",171,348,369,372,404
"11257",235,284,372,404,410
"11884",241,354,369,372,410
"11903",100,284,372,404,410
"11905",6,235,284,372,410
"12593",171,241,284,372,410
"12598",171,284,369,372,404
"12610",100,241,348,369,404
"13097",100,171,348,404,410
"13123",100,171,241,372,410
"13140",100,241,284,369,372
"13142",100,235,284,372,410
"13850",171,241,369,372,456
"13858",100,171,365,404,410
"13859",100,354,365,404,410
"13861",235,354,365,404,410
"13862",235,241,354,365,410
"13864",171,241,354,365,410
"13865",171,241,354,372,410
"13873",100,241,284,372,410
"13875",100,235,372,404,410
"13886",171,354,365,404,410
"13898",100,171,284,372,410
"13905",100,171,235,372,410
"14803",171,235,241,372,410
"14815",100,235,241,354,365
"14823",171,235,241,365,410
"14825",100,171,235,354,365
"14827",100,171,241,284,365
"14836",235,354,372,404,410
"19025",100,171,235,348,354
"19028",100,235,348,354,404
"19047",100,171,235,348,369
"19053",171,235,348,369,404
"19056",100,171,235,348,404
"19061",100,171,354,372,410
"19063",171,348,354,369,410
"19064",171,284,348,369,410
"19066",171,284,348,369,372
"20894",100,171,241,284,348
"20896",6,100,171,284,348
"20898",6,100,235,365,410
"20901",100,235,241,365,410
"20925",6,100,171,365,410
"20927",6,171,284,365,410
"20932",6,100,235,348,410
"20944",171,235,284,348,410
"20945",171,241,284,348,410
"25061",235,241,284,348,369
"25068",100,235,241,365,372
"25071",6,100,365,372,410
"25075",100,241,365,372,410
"25077",100,241,348,372,410
"25079",100,241,348,369,372
"25087",100,235,348,369,372
"25095",100,241,284,348,369
"25103",6,109,365,372,410
"25104",109,365,372,404,410
"27522",241,284,348,354,369
"27531",6,100,235,365,372
"27539",241,348,354,369,372
"27545",100,235,241,284,348
"27852",241,284,348,369,372
"27873",235,241,348,369,372
"27896",235,284,348,369,372
"28867",6,284,348,354,369
"28870",100,284,348,354,369
"28874",100,348,369,372,404
"28877",100,235,365,372,404
"28883",6,100,348,369,410
"28891",235,284,348,354,369
"28893",100,235,284,348,369
"28896",284,348,369,372,404
"28903",6,100,284,348,369
"28905",6,100,235,284,348
"28906",6,100,235,348,372
"28914",100,235,348,372,404
"28920",235,372,404,410,456
"30026",6,235,284,348,369
"30029",6,100,235,369,372
"30039",100,284,348,369,404
"30044",6,284,354,369,372
"30045",6,100,284,369,372
"30048",100,284,365,369,404
"30049",100,365,369,372,404
"30053",284,348,354,369,404
"30064",6,100,235,348,369
"30067",6,100,348,354,369
"30076",6,284,348,369,372
"30080",100,348,354,369,372
"30798",100,235,348,354,369
"34736",100,241,348,369,410
"34741",28,235,284,348,369
"34742",28,235,284,348,372
"34763",28,365,372,410,456
"35384",6,100,348,372,410
"35398",100,235,241,284,372
"36447",6,100,365,369,410
"36458",241,284,348,369,410
"36466",100,235,241,348,410
"39703",6,235,241,348,369
"39709",6,100,235,241,348
"39710",6,100,235,241,456
"39711",6,100,235,354,456
"39714",6,100,235,348,354
"39736",6,100,235,241,369
"39753",100,235,241,369,456
"39755",6,100,109,235,456
"40591",100,241,284,348,354
"40594",100,170,235,241,348
"40597",100,170,235,241,365
"40598",100,170,235,354,365
"40599",100,170,235,348,354
"40601",6,100,235,354,365
"40603",6,100,235,365,369
"40608",100,170,241,348,369
"40622",6,100,170,235,365
"40630",100,241,354,369,456
"40641",170,235,365,411,456
"41318",100,170,235,365,411
"41319",100,170,365,369,411
"41341",6,170,235,365,456
"42052",6,100,170,235,456
"42063",235,241,348,354,369
"42064",170,235,241,348,369
"42077",100,170,235,241,369
"42079",6,100,170,365,369
"43834",170,241,284,348,369
"43852",170,241,348,354,369
"43855",100,170,348,354,369
"43864",100,170,235,348,369
"44493",6,100,348,369,372
"45666",170,241,348,369,372
"45683",100,170,241,348,372
"45686",6,100,170,348,372
"45687",6,100,170,365,372
"47653",6,170,241,348,369
"47655",6,100,170,241,348
"47657",6,100,170,241,372
"47668",6,100,170,348,369
"47677",6,100,170,235,372
"48530",100,170,241,284,348
"48559",100,170,235,365,372
"48563",6,170,235,365,372
"52466",100,170,235,241,372
"52483",100,284,348,369,372
"52488",6,100,170,235,348
"52497",100,170,284,365,372
"52507",100,241,284,348,372
"53690",28,170,235,365,372
"53958",6,100,170,369,372
"53960",6,100,354,369,372
"53963",6,100,348,354,372
"53968",170,241,284,348,372
"53972",100,170,235,348,372
"53981",100,170,241,365,372
"53986",28,170,365,372,456
