"","V1","V2","V3","V4","V5"
"315",66,89,193,367,385
"318",66,89,193,367,461
"319",89,193,367,461,473
"324",37,89,248,461,473
"326",37,209,248,461,473
"332",37,66,209,248,385
"333",37,66,209,367,385
"336",66,193,209,367,385
"344",66,193,367,385,461
"345",193,367,385,461,473
"349",37,248,385,461,473
"356",66,89,193,248,461
"359",66,89,248,367,461
"2145",37,89,367,461,473
"2153",37,66,209,248,473
"2154",66,193,209,248,473
"2179",37,209,367,461,473
"2180",37,66,209,367,461
"2183",37,66,367,385,461
"2190",66,367,385,461,473
"2890",37,66,89,367,385
"2892",37,66,89,367,461
"2901",209,248,367,461,473
"2904",66,248,367,385,461
"2907",49,66,367,385,461
"2908",49,66,89,367,385
"2910",37,49,89,385,461
"2918",37,49,209,461,473
"2920",37,49,66,89,461
"2922",49,66,89,367,461
"7614",89,193,367,461,467
"7618",37,367,461,467,473
"7620",37,322,461,467,473
"7622",37,66,322,461,473
"7629",193,367,385,467,473
"7631",89,193,367,385,467
"7639",37,89,367,461,467
"7648",37,66,89,322,473
"7650",66,89,193,322,473
"7652",66,89,193,367,473
"7654",89,193,367,467,473
"9454",89,193,322,385,467
"9457",193,322,461,467,473
"9475",66,89,193,322,385
"9477",66,193,322,385,461
"9488",66,89,367,385,467
"9493",37,89,322,367,385
"10262",37,385,461,467,473
"10264",37,89,461,467,473
"10265",37,66,89,461,473
"10274",89,193,367,385,473
"10277",37,89,367,385,473
"10284",89,193,461,467,473
"10285",37,66,385,461,467
"10289",37,89,385,467,473
"12617",66,89,193,467,473
"12622",37,89,322,467,473
"12623",37,322,385,467,473
"12624",37,66,322,385,467
"12626",66,193,367,385,467
"12633",66,89,193,385,467
"12639",89,193,322,467,473
"12642",37,66,322,385,473
"12644",37,66,89,367,473
"12647",37,89,367,467,473
"12650",66,89,367,467,473
"18628",66,89,193,322,461
"18633",66,367,385,386,461
"18636",89,367,385,386,473
"18641",89,193,322,461,473
"18652",66,89,367,385,386
"18655",367,385,386,461,473
"18663",37,209,367,385,473
"19413",66,89,322,385,386
"19425",66,89,367,386,461
"19432",66,89,322,386,461
"19437",89,322,386,461,473
"19440",322,385,386,461,473
"19450",66,89,322,367,385
"19452",89,322,367,385,473
"21571",66,322,385,386,461
"21574",37,66,385,386,461
"21577",37,63,385,386,461
"21579",37,63,89,385,386
"21584",37,66,89,193,385
"21591",37,66,89,193,461
"21593",37,66,89,386,461
"21594",37,66,89,385,386
"21599",63,209,248,385,386
"22043",37,367,385,461,473
"22059",89,193,322,385,473
"24655",63,89,193,322,461
"24658",63,89,193,367,385
"24662",37,63,89,367,385
"24672",193,322,385,461,473
"24679",63,89,322,461,473
"24683",63,89,193,322,385
"24685",37,63,89,322,385
"24696",37,89,322,461,473
"25415",63,193,322,385,461
"25426",37,63,89,322,461
"25430",37,89,322,385,473
"26248",37,63,89,367,473
"26250",37,209,367,467,473
"26254",37,209,367,461,467
"26257",193,209,322,461,467
"26258",63,193,209,322,461
"26263",89,193,322,461,467
"26272",37,63,209,367,467
"26275",49,63,209,248,467
"27019",37,63,367,385,461
"27026",66,193,209,322,461
"27034",66,89,193,209,322
"27036",37,66,89,209,367
"27037",37,63,89,209,367
"27040",37,63,209,367,461
"27049",37,63,66,89,461
"27909",63,89,367,386,473
"27912",209,367,386,467,473
"27913",209,322,367,467,473
"27918",89,322,367,461,467
"27935",209,322,367,461,473
"27936",89,193,209,367,473
"27941",89,322,367,467,473
"27943",63,89,322,367,461
"27946",63,89,322,461,467
"28528",37,66,322,385,461
"28551",322,367,385,461,473
"30381",37,63,248,385,461
"30389",63,89,193,367,461
"30393",63,89,193,248,461
"30403",37,66,89,248,385
"30407",37,63,209,248,385
"30408",49,63,209,248,385
"31435",66,193,248,385,461
"31443",37,63,89,248,385
"31481",63,89,209,248,386
"32282",37,66,248,385,461
"32304",37,49,63,89,385
"32308",49,63,209,367,385
