"","V1","V2","V3","V4","V5"
"830",93,149,170,260,368
"833",10,93,149,260,368
"837",10,35,93,149,468
"839",10,35,149,434,468
"841",10,35,169,434,468
"842",10,35,93,169,468
"844",10,35,93,169,368
"845",35,93,169,260,368
"847",35,93,149,260,368
"853",10,149,170,260,368
"856",35,149,170,260,368
"860",35,93,170,368,468
"861",10,35,93,170,468
"862",35,93,170,260,468
"864",35,169,170,260,434
"869",149,170,260,368,434
"871",2,149,170,368,434
"875",2,169,405,434,468
"1964",93,149,169,170,260
"1966",149,169,170,260,434
"1968",35,149,169,170,434
"1972",35,169,170,434,468
"1974",10,35,169,170,468
"1976",35,149,170,434,468
"1979",35,93,149,170,468
"1985",10,93,170,260,368
"1988",10,170,260,368,434
"1991",10,35,169,170,260
"1993",10,93,260,368,468
"2002",35,170,260,434,468
"2011",149,170,260,434,468
"2018",10,93,149,170,260
"6332",35,93,149,169,260
"6333",35,93,149,169,170
"6336",35,149,169,170,405
"6337",35,169,170,368,405
"6340",35,93,149,170,368
"6349",10,149,169,260,405
"6350",10,93,149,169,260
"6352",10,149,169,170,260
"6361",35,149,260,368,405
"6363",35,169,260,368,405
"6370",10,35,93,149,169
"6381",149,169,170,260,405
"7150",35,84,149,169,170
"7151",35,84,169,170,260
"7154",35,84,169,260,368
"7159",10,93,149,170,368
"7162",84,93,149,169,170
"7165",35,84,93,169,170
"7171",84,93,149,170,368
"7175",35,84,169,170,368
"7181",10,35,84,149,170
"7182",10,35,93,149,170
"7190",10,93,149,169,170
"8163",84,149,169,170,260
"8164",35,84,149,169,260
"8168",35,84,169,260,405
"8172",10,35,84,169,368
"8180",10,93,169,170,368
"8181",10,35,93,169,170
"8189",84,93,169,170,368
"8199",10,84,149,169,260
"8205",10,84,93,149,170
"9642",10,35,80,93,149
"9645",35,80,93,149,260
"9650",35,80,84,169,260
"9654",35,80,84,149,260
"9655",35,84,93,149,260
"9659",35,93,149,170,260
"9662",35,93,169,170,260
"9669",10,80,93,149,170
"9670",80,93,149,170,260
"9680",35,84,149,170,260
"9690",35,93,169,170,405
"9691",35,131,169,170,405
"11002",10,35,84,149,260
"11006",10,35,84,169,260
"11009",80,84,169,170,260
"11016",10,84,149,170,260
"11025",35,84,93,149,170
"11037",10,35,80,84,149
"11047",35,93,131,169,170
"11048",35,93,131,169,405
"11049",35,84,131,169,405
"12147",35,80,93,169,260
"12157",10,80,93,149,169
"12158",80,93,149,169,260
"12164",80,84,93,149,169
"12166",80,84,149,169,260
"12170",80,93,169,170,260
"12185",35,169,170,260,405
"12852",93,169,170,260,368
"12867",10,35,84,149,368
"12887",35,84,93,149,169
"12888",35,80,84,93,149
"12891",35,80,84,149,368
"14360",35,84,93,170,260
"14361",35,84,170,260,368
"14369",10,35,93,149,368
"14393",80,84,131,169,260
"14397",84,131,169,260,405
"15423",35,80,84,149,170
"15424",35,80,93,149,170
"15432",35,84,93,149,368
"16153",80,84,169,260,368
"16154",84,93,169,260,368
"16164",35,84,149,260,368
"16170",35,80,84,260,368
"16174",80,84,169,170,368
"16175",80,169,170,368,405
"16179",35,80,170,260,405
"17432",35,170,260,368,405
"17456",10,35,93,149,260
"17464",10,35,169,260,405
"18535",84,149,170,260,368
"18538",84,169,170,260,368
"18567",35,149,170,260,405
"20297",80,84,149,260,368
"20299",35,80,84,169,368
"20300",35,84,93,169,368
"20317",80,84,149,170,368
"20323",35,80,84,169,170
"22962",10,84,149,260,368
"22963",10,84,169,260,368
"22965",10,80,84,169,368
"22978",10,84,170,260,368
"22980",10,84,93,169,368
"22981",10,80,84,93,169
"22986",10,80,84,169,405
"22987",80,84,169,280,405
"23752",10,80,84,149,169
"23754",10,80,84,169,203
"23755",10,84,169,170,203
"23758",10,93,170,203,368
"23766",10,93,169,170,203
"23773",80,84,149,170,260
"23776",80,84,170,203,260
"23778",80,84,169,203,260
"23781",84,93,149,260,368
"27375",35,84,149,170,368
"27383",10,84,131,169,368
"27385",10,80,84,149,368
"27391",10,35,149,170,460
"27400",10,35,149,368,460
"27401",10,35,169,368,460
"27403",35,84,169,368,460
"27405",35,84,170,368,460
"27407",10,84,149,170,368
"27414",10,35,84,170,368
"28138",35,149,170,368,460
"28139",35,80,149,368,460
"28141",10,35,80,169,368
"28158",10,35,80,149,460
"28166",10,80,169,170,368
"28167",10,80,149,169,170
"28703",10,80,149,170,368
"28716",80,149,169,260,460
"28719",10,80,149,169,460
"28731",84,131,169,260,460
"29467",35,80,149,170,460
"29470",10,35,84,169,170
"29488",35,149,170,260,460
"30237",35,80,169,170,460
"30241",10,35,169,170,460
"30243",10,169,170,368,460
"30245",10,84,169,170,368
"30253",10,149,260,368,460
"30273",35,84,169,170,460
"30274",35,84,149,170,460
"30987",35,80,84,170,368
"30990",35,80,93,169,170
"31004",10,35,93,260,368
"31022",10,35,149,170,260
"33467",35,80,84,170,203
"33468",35,80,93,170,203
"33469",35,80,93,170,368
"33470",10,35,93,170,368
"33483",93,170,203,260,368
"33484",84,170,203,260,368
"33487",35,84,170,203,368
"34543",35,84,170,203,260
"34568",10,35,84,170,203
"34572",10,35,84,93,149
"34578",35,84,169,170,203
"35290",10,80,93,260,368
"35296",10,35,84,170,260
"35323",10,35,93,170,260
"37981",10,80,84,149,170
"37985",35,93,170,260,368
"38636",10,80,93,170,203
"38637",10,80,93,170,368
"38645",10,84,93,260,368
"38651",10,84,169,170,260
"38655",10,93,169,260,368
"38679",10,35,84,93,170
"38681",35,84,93,170,368
"38688",80,93,170,260,368
"40466",10,35,93,368,468
"40468",35,80,93,368,468
"40469",35,80,84,368,468
"40473",13,80,84,131,468
"40477",13,80,84,131,169
"40479",13,80,84,93,169
"40481",80,84,93,169,368
"40489",10,35,84,368,468
"40493",35,80,84,93,368
"40494",35,93,169,173,368
"40495",35,93,173,368,468
"40498",80,84,131,368,468
"40502",80,84,93,169,468
"40511",13,35,84,93,169
"40513",35,80,93,169,368
"42232",84,93,169,173,368
"42235",84,169,173,368,410
"42237",80,84,368,410,468
"42239",35,80,84,410,468
"42242",35,84,280,410,468
"42245",13,35,93,280,410
"42247",13,35,93,169,173
"42251",80,93,169,173,368
"42252",35,80,93,169,173
"42259",80,84,93,368,468
"42262",13,35,84,410,468
"42265",13,35,80,410,468
"42267",35,80,169,410,468
"42270",35,80,93,368,410
"42273",80,93,131,169,410
"44802",13,35,93,173,368
"44809",80,84,169,173,368
"44810",80,84,169,368,410
"44811",80,84,169,280,410
"44816",13,80,84,280,410
"44817",13,84,93,280,410
"44819",13,84,93,368,410
"44821",13,35,93,368,410
"44829",35,84,93,169,173
"44831",13,35,84,93,368
"44832",13,80,84,93,368
"44835",80,84,93,169,203
"44839",80,84,169,203,410
"44844",13,80,84,169,173
"45410",35,84,169,173,368
"45418",80,84,203,280,410
"45423",13,80,93,280,410
"45426",13,80,93,368,410
"45432",13,84,93,169,410
"45438",35,84,169,368,410
"46205",35,84,173,203,368
"46206",84,173,203,368,410
"46209",80,84,203,368,410
"46214",13,80,84,169,410
"46215",35,80,84,169,410
"46217",35,80,84,93,169
"46224",35,84,93,173,368
"46227",35,93,173,203,368
"46229",35,93,169,368,410
"46232",35,80,93,169,410
"46243",35,84,93,368,410
"47897",10,35,169,203,449
"47899",35,173,203,280,449
"47900",35,80,173,280,449
"47904",80,169,173,280,410
"47907",10,80,169,173,410
"47911",10,35,80,173,410
"47914",35,173,280,410,449
"47915",35,169,280,410,449
"47919",10,35,280,410,449
"47920",10,35,173,203,449
"47922",10,35,169,173,449
"47923",10,35,169,410,449
"47925",10,35,169,280,410
"47928",169,173,280,410,449
"47931",35,169,173,410,449
"47935",10,35,203,410,449
"47939",10,35,169,173,410
"49696",10,35,169,280,449
"49700",35,169,280,286,410
"49703",35,280,286,410,411
"49705",10,280,286,410,411
"49707",10,35,280,286,410
"49710",10,203,280,410,449
"49714",10,169,203,410,449
"49716",35,169,203,410,449
"49725",35,280,286,410,449
"49727",203,280,286,410,449
"49732",10,203,286,410,449
"49743",35,169,286,410,449
"50875",10,203,286,368,410
"50876",10,80,203,286,368
"50877",10,80,169,286,368
"50883",80,169,280,286,320
"50885",80,169,280,320,449
"50887",10,169,320,368,449
"50893",10,80,320,368,410
"50895",10,80,286,368,410
"50901",169,286,320,368,410
"50909",80,169,320,368,449
"50913",10,169,286,368,410
"50927",80,169,286,368,410
"54213",10,13,35,137,169
"54214",10,35,137,169,203
"54215",35,137,169,203,410
"54218",80,137,169,203,410
"54220",13,80,137,280,410
"54224",10,13,80,280,410
"54225",10,13,80,280,286
"54228",10,13,80,169,286
"54231",10,80,169,203,286
"54235",35,169,203,286,410
"54240",13,35,80,137,410
"54242",13,35,80,137,169
"54247",10,35,137,169,280
"54250",35,80,169,280,286
"54252",35,80,203,280,286
"54254",80,203,280,286,410
"54256",35,80,280,286,410
"54258",13,35,80,286,410
"54260",13,35,169,286,410
"54264",13,35,203,286,410
"54265",13,35,203,320,410
"54267",137,203,280,320,410
"54268",137,203,280,286,320
"54929",10,13,35,137,368
"54931",10,35,137,203,368
"54932",10,35,203,286,368
"54934",35,203,286,368,410
"54939",80,169,280,286,410
"54942",35,80,169,320,410
"54943",10,35,80,169,320
"54945",10,35,80,137,169
"54946",10,35,137,169,368
"54955",35,137,169,368,410
"54956",35,80,169,368,410
"54967",80,169,320,368,410
"54970",80,137,169,368,410
"54971",35,80,137,368,410
"54974",35,80,137,169,368
"54977",10,35,137,169,320
"55635",13,35,137,368,410
"55640",35,169,320,368,410
"55643",80,169,280,320,410
"55651",10,13,137,280,410
"55669",10,137,169,368,410
"56895",10,13,80,137,368
"56897",10,80,137,169,368
"56899",10,80,169,320,368
"56901",35,80,169,320,368
"56904",35,80,137,320,368
"56905",35,80,169,280,320
"56911",10,35,137,280,368
"56926",10,13,80,169,320
"56934",10,35,169,320,368
"56937",10,35,80,137,368
"56938",13,35,80,137,368
"56944",96,137,203,280,320
"58296",35,169,173,320,368
"58297",13,35,169,173,320
"58300",13,80,169,173,320
"58302",13,80,173,280,320
"58304",13,80,280,320,410
"58310",80,280,320,368,410
"58311",35,280,320,368,410
"58312",13,35,320,368,410
"58317",13,35,80,173,320
"58320",35,169,173,320,410
"58323",137,169,173,320,410
"58324",35,137,173,320,410
"58325",35,173,320,368,410
"58328",35,137,169,173,410
"58329",35,137,169,280,410
"58332",35,80,137,169,280
"58334",35,80,280,320,368
"58336",35,80,320,368,410
"60297",13,35,169,320,410
"60304",10,13,80,320,410
"60314",10,35,80,137,410
"60318",13,35,137,169,410
"60327",13,35,80,320,410
"60333",35,80,137,169,410
"61185",13,35,80,320,368
"61191",10,13,169,320,410
"61193",10,13,320,368,410
"61198",10,35,137,368,410
"61216",10,169,320,368,410
"884",35,149,170,368,434
"886",35,170,368,434,468
"889",35,93,169,170,434
"890",35,93,169,170,468
"898",10,149,260,368,434
"905",10,149,170,260,434
"907",35,149,170,260,434
"2398",35,80,170,434,468
"2423",2,35,170,434,468
"2424",2,80,169,434,468
"2429",35,80,169,405,468
"3004",35,93,169,260,468
"3007",35,93,149,260,468
"3008",10,93,149,260,468
"3012",10,35,149,260,368
"3018",10,260,368,434,468
"3019",170,260,368,434,468
"3026",35,169,170,368,434
"3028",35,93,169,170,368
"3037",169,260,405,434,468
"3876",10,35,368,434,468
"3890",35,149,169,260,405
"3891",35,169,260,405,412
"3893",169,405,412,434,468
"4870",35,170,368,412,434
"5359",10,169,260,368,434
"5375",35,149,260,368,434
"5377",35,169,260,368,434
"10083",80,84,93,149,170
"10086",84,93,149,170,260
"11164",35,84,93,169,260
"11165",80,84,93,169,260
"11166",80,84,93,149,260
"11184",10,84,93,169,170
"11186",10,80,84,169,260
"11187",10,80,84,149,260
"13377",10,35,84,260,368
"16342",84,93,170,260,368
"18850",35,84,131,169,368
"18869",84,131,169,260,368
"18871",84,93,131,169,368
"18872",84,93,131,149,368
"19628",84,131,169,170,368
"19632",35,84,93,131,368
"19637",93,131,149,260,368
"19663",35,84,169,170,280
"19670",35,131,169,280,405
"21236",10,80,84,170,368
"21239",80,93,149,170,368
"21256",10,80,84,93,368
"21257",10,80,84,260,368
"21265",84,93,149,169,260
"21277",10,35,80,84,169
"21864",10,80,93,169,368
"21868",10,80,93,149,368
"21881",10,169,170,260,368
"25244",80,84,203,260,368
"25272",80,84,170,260,368
"25929",10,35,84,149,169
"25965",10,84,93,203,260
"25966",10,84,169,203,260
"26705",10,35,84,203,368
"26706",35,84,203,260,368
"26726",35,80,84,169,203
"31939",80,84,169,170,203
"31946",35,80,93,203,368
"31947",35,80,93,149,368
"31960",84,169,170,203,260
"32641",80,84,149,169,170
"32646",84,93,169,170,203
"32647",35,84,93,170,203
"32662",35,84,149,203,260
"32665",35,84,149,170,203
"35728",10,80,84,170,203
"35729",10,80,84,169,170
