"","V1","V2","V3","V4","V5"
"362",58,114,120,443,453
"363",58,114,120,186,443
"365",114,120,186,443,464
"366",84,114,186,443,464
"368",84,114,168,186,464
"370",84,168,186,296,464
"373",58,84,168,296,464
"374",58,120,168,296,464
"377",58,114,120,168,443
"379",114,120,168,186,443
"386",58,84,168,453,464
"391",114,120,443,453,464
"396",84,114,168,453,464
"403",58,84,168,296,443
"407",114,120,168,443,453
"2196",84,114,443,453,464
"2199",58,84,114,168,464
"2207",58,120,168,296,443
"2210",58,120,168,443,453
"2212",114,120,234,443,453
"2215",114,234,443,453,464
"2221",114,120,168,453,464
"2224",84,168,234,453,464
"2226",58,84,168,234,464
"2231",58,84,234,443,464
"2232",84,234,443,453,464
"2927",114,120,296,443,453
"2931",84,114,120,296,453
"2934",58,84,234,296,464
"2937",58,84,114,234,464
"2951",58,120,234,443,453
"2954",58,114,120,234,443
"2960",114,120,296,453,464
"2967",13,58,84,234,464
"2976",13,58,120,234,464
"2979",58,84,120,453,464
"2980",58,84,120,443,453
"2983",58,84,114,120,443
"2985",58,84,114,234,443
"4966",58,84,120,296,464
"4974",84,114,234,443,453
"4980",58,114,120,443,464
"4982",114,120,296,443,464
"4987",84,114,120,453,464
"4990",84,120,296,453,464
"4993",84,114,234,296,464
"4994",84,234,296,453,464
"5002",58,84,131,234,464
"5005",84,114,131,234,453
"5007",84,114,131,186,234
"5647",114,120,234,453,464
"5650",58,120,234,296,464
"5651",58,234,296,371,464
"5655",234,296,443,453,464
"5663",58,114,234,443,453
"5671",120,234,296,453,464
"5679",58,114,234,371,464
"5680",58,114,120,234,464
"5684",114,120,186,234,464
"5685",114,186,234,371,464
"6436",58,114,120,371,453
"6437",114,120,371,453,464
"6442",114,120,234,296,453
"6444",58,114,120,234,296
"6446",58,114,234,296,434
"6447",58,234,296,371,434
"6452",120,296,371,434,453
"6455",114,120,434,453,464
"6461",58,114,120,234,371
"6468",58,120,234,453,464
"6471",58,234,296,434,464
"8343",58,168,234,296,464
"8346",58,234,296,443,464
"8347",58,120,296,443,464
"8348",58,120,443,453,464
