"","V1","V2","V3","V4","V5"
"409",39,81,95,300,309
"412",81,95,300,309,437
"414",81,300,309,335,437
"415",81,191,300,335,437
"418",81,191,335,437,438
"419",39,191,335,437,438
"420",39,335,357,437,438
"422",39,95,300,309,437
"426",39,217,300,309,437
"428",39,81,217,300,309
"434",39,81,95,191,300
"438",81,217,300,309,437
"444",39,95,191,437,438
"452",39,300,309,335,437
"459",81,217,309,335,438
"460",81,217,335,357,438
"1367",19,81,300,309,335
"1370",19,81,95,300,309
"1374",39,81,95,300,357
"1375",39,81,217,300,357
"1377",19,39,217,357,437
"1378",19,39,335,357,437
"1380",19,39,309,335,437
"1384",19,300,309,335,437
"1397",39,81,300,357,437
"1398",19,39,81,357,437
"1400",19,39,300,357,437
"1401",39,300,335,357,437
"1403",39,81,300,309,335
"1404",19,39,81,300,309
"3370",19,39,300,309,343
"3374",19,39,300,309,335
"3377",39,300,309,335,438
"3379",300,309,335,437,438
"3382",300,335,357,437,438
"3383",19,335,357,437,438
"3385",19,343,357,437,438
"3387",19,39,343,357,437
"3388",19,39,132,343,357
"3390",19,39,132,309,343
"3392",19,39,132,300,309
"3409",19,95,300,309,437
"3411",19,95,309,437,438
"3413",19,95,357,437,438
"3417",95,300,357,437,438
"3418",95,300,309,437,438
"3422",19,39,300,309,437
"4640",19,132,300,309,343
"4647",39,191,300,335,437
"4650",19,39,309,343,437
"4659",19,300,309,343,437
"4661",19,191,300,343,437
"4663",19,191,300,335,437
"4686",95,132,217,357,438
"5689",19,132,300,309,335
"5690",132,217,300,309,335
"5691",39,132,217,309,335
"5694",39,191,217,335,437
"5696",39,191,217,300,437
"5697",39,95,191,300,437
"5703",39,132,300,309,343
"5708",39,132,300,309,335
"5718",19,191,335,437,438
"5719",19,191,217,437,438
"5721",19,39,300,343,437
"5722",39,300,309,343,437
"7341",19,81,300,309,343
"7345",19,81,191,300,309
"7347",39,81,191,300,309
"7352",19,39,191,357,437
"7353",19,39,191,343,437
"7372",39,81,191,300,437
"7381",39,81,300,309,343
"7396",39,81,300,309,437
"10501",19,81,191,300,335
"10504",39,81,191,300,335
"10506",39,81,191,283,335
"10507",39,283,309,343,437
"10512",283,300,309,343,437
"10513",81,283,300,309,343
"10520",19,39,81,309,335
"10527",39,283,309,335,437
"10530",39,191,283,335,437
"10531",19,39,283,335,437
"10532",19,39,283,343,437
"10536",19,39,343,437,438
"10538",39,95,357,437,438
"11261",19,81,191,300,343
"11264",39,81,191,283,300
"11265",19,39,191,283,437
"11266",39,95,191,283,437
"11269",39,95,283,309,437
"11273",39,81,283,300,309
"11277",19,39,81,309,343
"11279",19,39,81,283,309
"11281",19,39,81,191,283
"11290",39,81,191,283,343
"11292",39,81,283,309,343
"11295",19,39,283,300,309
"13193",39,283,300,309,343
"13198",81,191,283,300,343
"13200",39,81,191,300,343
"13202",19,39,81,191,343
"13204",19,39,191,343,438
"13207",19,39,309,343,438
"13208",39,283,309,343,438
"13213",81,191,283,300,309
"13215",19,81,283,300,309
"13235",95,132,335,357,438
"14900",19,283,300,309,343
"14903",19,283,300,309,335
"14910",81,191,300,335,343
"14913",81,191,335,343,438
"14915",81,309,335,343,438
"14917",19,81,283,309,343
"14934",81,191,283,335,343
"15606",19,81,309,335,438
"15607",19,81,191,335,438
"15609",81,191,300,335,438
"15639",19,81,191,283,343
"15651",19,81,191,283,300
"16363",81,300,309,343,438
"16366",81,300,309,335,438
"16369",81,191,283,335,438
"16373",81,191,283,343,438
"16379",19,81,309,343,438
"16400",81,191,300,343,438
"17720",19,81,191,343,438
"21611",81,283,300,309,335
"21612",81,191,283,300,335
"21615",132,191,283,335,438
"21616",19,132,191,283,438
"21618",19,132,191,343,438
"21620",19,132,309,343,438
"21633",19,81,283,309,335
"21636",19,81,191,283,335
"21638",19,191,283,335,438
"21639",191,283,335,343,438
"22412",132,191,283,300,335
"22414",19,132,191,335,438
"22428",283,300,309,343,438
"22437",191,283,300,335,438
"25761",19,39,191,283,300
"25762",19,39,191,283,438
"25765",19,39,283,309,438
"25771",283,300,309,335,343
"25784",19,191,283,300,438
"25786",19,81,191,283,438
"25795",81,300,335,357,438
"25798",132,300,335,357,438
"27062",191,283,300,343,438
"27064",19,283,300,309,438
"27065",19,81,283,309,438
"27071",81,283,309,343,438
"27079",19,191,283,300,343
"28564",191,283,300,309,438
"28566",191,283,309,343,438
"28569",19,283,309,343,438
"28574",19,81,300,309,438
"28575",19,81,191,300,438
"28582",81,191,300,309,343
"28586",81,191,283,300,438
"28588",19,283,309,335,438
"29794",132,191,300,335,343
"29798",19,132,191,300,335
"29799",19,132,191,309,438
"29801",19,81,191,309,438
"29827",19,191,300,335,438
"29830",19,300,309,335,438
"29833",19,300,309,343,438
"33619",19,39,191,300,438
"33622",19,39,81,309,438
"33634",19,39,191,300,343
"33635",19,39,191,300,335
"33640",39,191,300,335,343
"33643",39,81,309,335,343
"33647",19,39,81,191,300
"34766",19,81,300,343,357
"34769",39,81,300,343,357
"34775",19,39,132,309,438
"34790",19,39,300,343,357
"34795",19,39,300,357,438
"34796",19,39,343,357,438
"38905",19,283,300,343,357
"38914",39,81,309,343,438
"38920",283,300,343,357,438
"38923",39,300,343,357,438
"38938",39,283,300,343,357
"38940",19,39,283,300,357
"39591",39,81,343,357,438
"39609",19,39,300,309,438
"39613",39,300,309,343,438
"40043",19,81,283,343,357
"41435",19,81,331,335,357
"43168",81,309,331,343,438
"43169",81,331,343,357,438
"43183",19,81,300,309,331
"43195",132,331,343,357,438
"43197",132,331,335,357,438
"43198",81,132,335,357,438
"43889",19,39,309,335,438
"43927",19,39,283,300,343
"44534",19,39,283,357,438
"45226",19,39,283,309,343
"45233",39,132,309,343,438
"45250",39,283,309,335,438
"46132",19,39,283,343,357
"47039",19,132,300,343,357
"47040",19,132,300,335,357
"47043",132,335,343,357,438
"47045",39,132,335,343,357
"47065",19,39,132,335,357
"47066",19,39,132,300,357
"47076",19,39,132,300,343
"48206",19,39,300,335,357
"48210",132,309,335,343,438
"48233",39,300,309,335,343
"48238",132,217,309,335,438
"48239",132,217,335,357,438
"49186",39,132,309,335,343
"49203",39,132,300,335,357
"49204",19,132,343,357,438
"49207",19,132,191,217,438
"49209",132,191,217,335,438
"49993",19,132,217,300,309
"49995",19,132,217,309,438
"49996",19,132,217,357,438
"49997",132,217,343,357,438
"50006",19,39,191,300,309
"50016",19,132,217,300,357
"50017",132,191,217,357,438
"51092",19,39,191,300,357
"51093",19,132,191,300,357
"51095",19,103,132,191,357
"51096",103,132,191,343,357
"51101",39,103,191,217,343
"51105",19,39,217,309,343
"51112",39,191,300,343,357
"51113",132,191,300,343,357
"51122",19,132,191,300,309
"51128",103,132,217,335,357
"53164",39,191,300,357,438
"53167",132,191,300,357,438
"53168",19,132,191,343,357
"53185",132,191,343,357,438
"54662",39,191,300,309,343
"54666",132,191,357,437,438
"54670",19,132,191,357,438
"54673",19,39,309,357,438
"54682",19,309,343,437,438
"54683",132,309,343,437,438
"54685",132,191,300,357,437
"54687",19,132,191,300,343
"54692",19,191,300,343,438
"55437",19,132,191,357,437
"55438",132,191,343,357,437
"55445",191,300,309,437,438
"55447",19,300,309,437,438
"55459",19,132,335,357,437
"56203",19,217,309,343,438
"56220",19,309,335,343,438
"56224",19,132,335,343,357
"56698",19,191,309,343,438
"56705",19,132,191,335,343
"56709",132,191,309,335,438
"56720",19,335,343,357,438
"59652",132,335,343,357,437
"59654",191,217,357,437,438
"59658",132,191,217,309,438
"59671",19,191,217,343,437
"59673",19,191,217,335,437
"59674",191,217,335,437,438
"59678",132,217,335,437,438
"2283",19,300,335,357,437
"2285",19,39,95,357,437
"2287",19,39,95,309,437
"2288",19,39,95,300,437
"2290",39,95,300,335,437
"2291",39,81,95,300,335
"2294",39,81,300,335,357
"2302",19,81,309,335,437
"2306",19,81,95,309,437
"2307",19,81,95,357,437
"2311",39,81,95,309,437
"2587",19,81,300,309,437
"2610",19,39,300,335,437
"4229",19,39,191,335,437
"4236",39,300,343,357,437
"4245",19,95,132,300,309
"4247",19,95,132,191,300
"4248",19,95,191,300,437
"4249",19,39,95,191,437
"4260",39,95,191,335,437
"4263",19,39,191,300,437
"4274",19,39,95,132,335
"6067",191,300,335,437,438
"6070",19,191,300,437,438
"6090",19,39,191,437,438
"8493",39,81,309,335,438
"8495",39,309,335,437,438
"8503",19,132,191,335,437
"8513",19,39,81,95,309
"9087",39,191,283,343,437
"9093",19,283,309,343,437
"9118",19,283,300,343,437
"9919",19,191,283,335,437
"9920",19,39,191,283,335
"9921",39,191,283,300,335
"9922",39,191,283,300,343
"9941",39,283,335,357,437
"9942",39,95,283,357,437
"9946",95,335,357,437,438
"11991",39,191,283,300,437
"11999",19,39,283,300,335
"12001",39,283,300,335,343
"12007",39,95,335,357,438
"12910",39,132,283,309,343
"13965",19,132,283,300,309
"13981",81,132,191,283,343
"13983",19,81,132,191,343
"13987",19,81,132,309,343
"13988",19,81,132,300,309
"14004",132,191,283,343,438
"14582",39,81,191,343,438
"14583",39,81,191,335,438
"14584",19,39,81,191,335
"14588",19,39,283,309,335
"14607",19,81,283,300,343
"18630",191,283,300,335,343
"18635",19,81,300,335,357
"18636",19,81,335,357,438
"18638",19,81,95,283,357
"18644",19,95,191,283,300
"18654",81,283,300,335,357
"18656",81,283,300,343,357
"18658",19,81,132,343,357
"19031",19,132,191,283,343
"19679",19,283,335,357,438
"19703",19,283,300,357,438
"20592",81,95,283,300,309
"20593",81,95,300,309,438
"20595",81,95,191,300,438
"20597",95,132,191,283,335
"20601",132,191,283,335,343
"23033",39,283,300,309,335
"23035",39,283,300,335,357
"23036",39,283,335,357,438
"23042",81,283,343,357,438
"23725",39,191,300,335,438
"23726",19,39,191,335,438
"23728",19,39,283,335,357
"23732",19,81,283,300,357
"24515",19,39,81,300,343
"24517",19,39,81,283,300
"25137",19,39,81,191,438
"26155",19,191,283,343,438
"26167",19,191,283,300,335
"28006",132,191,300,343,438
"28007",19,132,191,300,438
"28008",19,132,300,309,438
"28009",19,132,309,335,438
"28028",81,300,343,357,438
"28030",81,300,335,343,357
"29145",19,191,300,335,343
"30282",39,191,300,343,438
"31232",39,309,335,343,438
"31234",39,335,343,357,438
"31236",39,95,132,335,357
"32224",39,191,335,343,438
"32526",39,81,191,300,438
"34565",19,39,81,300,357
"34567",39,300,335,357,438
"34570",19,39,335,343,438
"34573",39,95,335,343,438
"36318",19,39,81,343,357
"37438",39,132,335,357,438
"40536",19,283,343,357,438
"40538",19,300,343,357,438
"42282",81,283,309,335,438
"42283",81,132,309,335,438
"42284",81,132,309,331,438
"42286",81,300,309,331,438
"42317",19,300,309,331,343
"48614",19,132,335,357,438
"48630",132,300,335,343,357
"51461",132,191,217,300,357
"51462",103,132,191,217,357
"51463",39,103,191,217,357
"51469",19,39,103,191,343
"51470",19,39,103,309,343
"51485",19,39,191,343,357
"51962",103,132,217,309,343
"51963",103,132,217,309,335
"51980",19,103,132,309,343
"52669",19,103,300,309,343
"57572",19,132,217,343,357
"57574",19,217,343,357,437
"57575",19,191,217,357,437
"57576",19,191,357,437,438
"57577",191,343,357,437,438
"57598",132,191,217,357,437
"58629",191,300,343,437,438
"58975",191,300,343,357,437
"58976",19,191,300,357,437
