"","V1","V2","V3","V4","V5"
"2542",148,366,382,430,455
"2544",48,281,366,382,430
"2547",48,117,281,366,382
"2551",48,117,258,281,319
"2559",48,366,382,430,455
"2562",148,281,366,382,430
"2563",117,148,281,366,382
"2566",48,281,382,430,455
"2569",48,281,319,382,430
"2571",48,117,281,319,382
"2581",148,281,382,430,455
"2584",48,117,281,430,455
"3801",48,258,281,430,455
"3804",48,117,258,281,455
"3808",117,258,281,319,349
"3812",117,281,319,349,382
"3813",117,281,349,382,455
"3815",281,349,382,430,455
"3820",349,366,382,430,455
"3822",258,281,349,430,455
"3830",48,258,281,319,430
"3831",48,258,319,430,455
"3833",48,117,258,319,455
"3836",48,117,319,382,455
"3837",117,319,349,382,455
"3838",117,302,319,349,455
"3842",117,302,319,349,383
"5737",258,281,349,366,430
"5740",48,117,258,281,366
"5744",48,117,240,281,319
"5746",48,117,240,319,383
"5749",48,117,258,281,383
"5752",48,258,281,383,430
"5753",48,258,281,366,430
"5760",117,258,281,366,430
"5768",48,117,240,302,319
"5777",48,240,258,281,430
"5779",48,240,281,349,383
"6489",148,258,366,430,455
"6490",48,258,366,430,455
"6496",48,281,302,430,455
"6497",48,117,281,302,455
"6498",48,117,281,302,319
"6515",48,302,366,430,455
"6523",117,281,302,319,455
"6531",240,258,349,383,430
"6532",240,319,349,383,430
"7656",148,302,366,430,455
"7660",48,117,302,366,455
"7673",148,281,302,430,455
"7690",48,117,302,319,455
"7696",148,258,319,430,455
"7698",148,258,302,430,455
"7699",48,258,302,430,455
"9502",117,258,281,349,455
"9509",281,319,349,382,430
"9511",281,382,383,430,455
"9515",366,382,383,430,455
"9517",117,366,382,383,455
"9521",258,281,366,383,455
"9535",117,258,281,382,455
"9538",258,281,382,430,455
"9539",258,319,382,430,455
"10540",117,148,281,382,455
"10548",117,258,319,349,455
"10550",117,258,319,349,366
"10553",117,258,302,319,366
"10556",258,302,319,366,430
"10558",258,302,319,430,455
"10575",117,148,258,281,455
"10582",117,258,302,319,455
"10583",117,258,319,382,455
"11315",117,258,319,366,383
"11323",258,319,383,430,455
