"","V1","V2","V3","V4","V5"
"1706",102,107,160,201,353
"1707",26,102,107,160,201
"1708",26,102,107,201,401
"1711",26,102,107,119,401
"1714",18,29,107,119,401
"1716",5,18,29,119,160
"1722",18,29,107,160,201
"1724",18,29,107,119,201
"1730",26,102,107,152,201
"1731",29,102,107,152,201
"1733",29,102,107,119,152
"1734",18,29,107,119,152
"1737",18,29,102,160,401
"1738",18,102,152,160,401
"1740",18,102,152,160,201
"1742",18,107,152,160,201
"1752",18,29,119,152,401
"2752",5,29,107,160,201
"2755",18,29,107,119,160
"2760",18,102,119,152,160
"2762",18,102,119,152,401
"2768",102,107,119,152,401
"2769",29,102,107,152,401
"2771",5,29,107,152,401
"2772",5,29,107,160,401
"2775",5,107,160,201,401
"2776",18,107,160,201,401
"2778",5,102,107,160,201
"2779",18,102,107,160,201
"2781",18,102,107,119,160
"2784",5,18,102,119,160
"2786",5,18,29,119,401
"2789",18,29,107,160,401
"2793",29,102,107,160,201
"3949",5,102,107,160,401
"3953",5,18,29,160,401
"3960",18,107,119,152,160
"3961",18,107,152,160,401
"3966",18,102,107,160,401
"3974",29,102,107,201,401
"3980",18,107,119,160,401
"3984",18,29,102,201,401
"5519",26,29,107,160,201
"5533",26,29,107,119,401
"5535",26,107,119,152,401
"5539",26,107,119,152,160
"5547",29,107,152,160,401
"5549",29,102,152,160,401
"5550",18,26,29,160,201
"5551",18,26,152,160,201
"5560",29,102,119,152,401
"5563",29,102,119,160,401
"5567",18,29,119,160,201
"5568",18,29,119,160,401
"5571",5,18,119,144,401
"5572",5,119,144,152,401
"5573",5,102,119,144,401
"8207",102,107,152,160,201
"8215",18,29,102,119,401
"8221",18,29,152,160,401
"8226",5,102,152,160,201
"8229",18,102,160,201,401
"8231",18,102,119,160,401
"8233",102,119,152,160,401
"8234",29,119,152,160,401
"8237",18,29,119,201,401
"8240",18,29,160,201,401
"8248",29,119,144,152,401
"9260",26,107,152,160,201
"9262",26,107,152,160,401
