"","V1","V2","V3","V4","V5"
"983",21,75,271,360,442
"985",21,75,336,360,442
"986",21,147,336,360,442
"988",21,147,336,442,459
"991",21,147,164,336,459
"993",147,164,336,422,459
"1003",21,75,147,360,442
"1007",21,75,164,271,360
"1009",21,75,164,271,459
"1011",21,75,271,422,442
"1013",21,164,271,422,442
"1014",21,164,336,422,442
"1027",21,164,360,422,442
"1030",21,147,164,360,422
"1031",21,147,164,271,360
"1036",127,147,164,271,360
"1039",127,147,164,336,360
"2635",21,147,164,271,336
"2638",21,147,164,336,422
"2648",21,147,271,442,459
"2650",21,147,271,360,442
"2655",21,75,271,336,442
"2656",21,75,164,271,336
"2664",21,147,164,392,422
"2665",147,164,392,422,459
"2668",75,147,271,360,422
"2672",21,75,147,271,360
"2678",21,147,164,336,392
"2682",127,147,164,336,392
"4229",21,147,164,360,459
"4237",147,392,422,442,459
"4242",21,75,271,442,459
"4255",21,147,164,336,360
"4264",147,336,422,442,459
"4266",21,147,360,442,459
"4267",21,147,360,422,442
"4271",21,147,164,271,442
"5013",21,147,164,271,459
"5023",75,147,392,422,459
"5026",21,75,147,360,422
"5035",21,75,147,336,360
"5039",21,75,147,336,422
"5044",75,147,164,336,459
"5045",75,147,164,271,459
"5046",21,75,147,164,271
"6857",4,21,75,271,360
"6860",4,21,164,271,360
"6868",12,147,164,422,459
"6873",4,12,21,147,459
"6874",4,12,21,147,360
"6878",4,21,147,271,360
"6882",4,21,75,147,360
"6884",4,21,75,271,459
"6889",12,21,75,147,459
"6891",12,75,147,422,459
"6895",12,21,147,164,422
"6897",4,12,164,422,459
"6905",12,21,75,147,360
"6908",4,12,21,147,422
"6913",4,21,271,360,422
"7704",4,12,21,75,336
"7706",4,12,21,147,336
"7716",4,12,21,164,442
"7719",4,21,164,360,442
"7721",4,21,75,360,442
"7724",4,21,75,147,336
"7727",4,21,75,360,392
"7728",4,21,75,336,392
"7734",147,164,336,392,422
"7741",21,147,164,360,392
"8449",12,75,422,442,459
"8451",12,21,75,360,442
"8459",4,21,147,360,392
"8469",4,147,164,392,422
"8470",4,12,147,164,392
"8472",4,21,147,164,392
"8474",4,12,75,147,392
"8475",4,12,75,147,422
"8479",4,12,21,75,147
