"","V1","V2","V3","V4","V5"
"725",3,126,213,373,452
"727",3,126,213,315,452
"730",3,126,245,315,452
"733",213,245,315,444,452
"735",27,213,245,315,444
"742",3,27,92,126,444
"743",3,92,126,444,452
"746",3,92,126,373,452
"748",126,213,245,373,452
"751",126,213,245,315,452
"753",92,126,213,373,452
"757",92,126,213,315,452
"758",92,126,245,315,452
"760",92,245,315,444,452
"762",3,245,315,444,452
"763",3,27,245,315,444
"766",3,27,126,245,315
"769",27,126,213,245,452
"772",126,213,245,444,452
"773",3,126,213,444,452
"777",126,213,315,444,452
"2237",3,213,397,444,452
"2238",3,27,213,397,444
"2243",27,213,245,397,444
"2245",27,92,245,397,444
"2247",3,27,92,397,444
"2249",27,126,213,397,444
"2250",27,126,213,315,444
"2256",126,213,315,373,452
"2258",213,315,373,444,452
"2259",3,213,373,444,452
"2264",3,27,126,213,373
"2271",27,245,315,397,444
"2276",245,292,315,350,397
"3486",92,126,245,444,452
"3505",3,27,92,126,373
"3508",27,92,126,245,444
"3509",27,92,245,315,444
"3517",126,213,373,444,452
"5104",213,245,397,444,452
"5105",245,292,397,444,452
"5106",27,245,292,397,444
"5122",3,126,213,373,444
"5133",126,245,292,444,452
"5141",27,126,213,245,444
"5154",27,245,292,350,397
"7039",3,213,315,373,452
"7056",3,27,92,444,452
"7062",92,213,315,373,452
"7065",213,245,315,373,452
"7082",92,245,397,444,452
"7091",3,27,213,444,452
"7096",27,213,292,350,444
"7097",27,292,331,350,444
"7790",3,27,213,373,444
"7798",27,92,213,397,444
"7802",3,27,213,397,452
"7805",3,213,373,397,452
"7808",3,27,213,315,373
"7811",3,27,213,373,397
"7815",213,245,373,444,452
"7824",3,92,397,444,452
"7836",3,27,292,350,373
"8937",213,245,373,397,452
"8939",213,373,397,444,452
"8946",92,245,373,444,452
"8956",27,213,245,444,452
"8958",27,213,245,373,452
"8960",92,213,373,444,452
"8961",27,92,213,444,452
"9600",92,245,315,397,452
"9601",27,92,245,315,397
"9605",27,92,245,315,373
"9618",3,245,373,444,452
"9626",27,92,213,315,397
"9629",27,92,245,315,452
"9634",92,245,315,373,452
"9639",92,213,315,444,452
"10351",3,92,373,444,452
"10358",27,213,245,315,397
"10361",27,213,245,315,350
"10365",3,213,315,350,452
"10367",3,213,350,444,452
"10378",3,92,315,444,452
"10395",3,213,315,444,452
"11554",3,126,373,444,452
"11556",3,27,126,373,444
"12123",27,126,245,373,444
"12126",27,213,245,373,444
"12134",3,27,126,213,444
"15322",27,126,245,350,444
"15324",27,245,350,397,444
"15328",245,373,397,444,452
"15329",3,373,397,444,452
"15330",3,126,373,397,452
"15331",3,126,315,373,452
"15335",126,245,315,373,452
"15339",3,126,245,373,452
"15342",126,245,373,444,452
"15344",126,245,397,444,452
"15346",27,126,245,397,444
"15349",245,315,397,444,452
"15357",3,126,397,444,452
"16870",27,92,245,373,444
"16898",27,92,126,315,444
"16899",92,126,315,444,452
"16912",3,126,350,397,444
"16913",3,350,373,397,444
"19271",126,245,315,444,452
"19272",27,126,245,315,444
