"","V1","V2","V3","V4","V5"
"512",141,184,338,351,441
"514",141,159,338,441,448
"518",159,192,351,441,448
"520",110,159,192,351,448
"522",159,184,192,351,448
"523",110,141,184,351,448
"524",110,141,184,338,351
"527",141,184,338,441,448
"529",141,184,338,403,448
"532",159,192,338,403,448
"535",159,192,338,351,441
"536",141,159,338,351,441
"537",110,141,159,338,351
"538",141,159,338,351,403
"539",141,184,338,351,403
"542",184,192,338,351,441
"543",184,192,351,441,448
"544",141,184,351,441,448
"549",184,192,338,441,448
"551",110,184,192,338,448
"552",110,141,184,192,338
"553",110,141,159,192,338
"558",110,159,192,338,351
"1418",159,192,338,441,448
"1421",110,141,159,192,448
"1423",110,141,159,192,351
"1435",184,323,338,441,448
"1440",110,141,184,338,448
"1446",110,159,192,338,448
"1448",110,141,159,338,448
"1452",159,184,338,351,441
"1453",141,159,184,351,441
"1460",141,159,184,338,441
"1475",110,159,184,338,351
"1484",141,159,184,338,351
"4280",141,145,159,184,351
"4282",141,145,159,184,448
"4283",145,159,184,192,448
"4284",141,145,159,192,448
"4285",110,141,145,192,448
"4290",110,141,184,192,351
"4296",110,184,192,323,338
"4302",159,192,323,403,448
"4306",184,192,323,403,448
"4309",145,184,323,338,448
"4312",141,145,184,338,448
"6155",141,159,192,323,441
"6158",159,192,277,323,441
"6160",184,192,277,323,441
"6161",145,184,192,277,323
"6165",141,145,184,323,351
"6169",141,145,184,192,351
"6170",110,141,159,184,351
"6174",141,159,184,323,441
"6177",141,145,184,323,441
"6179",141,145,192,323,441
"6181",141,184,192,323,441
"6183",141,184,323,351,441
"6914",141,145,184,351,441
"6921",145,184,192,351,441
"6924",159,184,192,323,441
"6926",110,159,184,192,323
"6927",110,141,159,192,323
"6930",110,141,159,184,323
"6942",145,184,192,323,441
"6948",145,159,184,323,441
"6950",159,184,323,351,441
"6954",110,141,159,323,351
"6963",141,159,184,327,351
"6967",159,192,277,323,327
"8721",141,184,192,351,441
"8723",159,184,192,351,441
"8725",110,159,184,192,351
"8731",141,159,192,323,403
"8733",141,159,323,338,403
"8744",110,141,184,351,441
"8747",141,184,351,403,441
"8752",141,338,351,403,441
"8754",141,323,338,403,441
"8755",184,323,338,403,441
"8756",184,323,327,338,403
"8758",184,327,338,351,403
"8761",141,184,327,351,403
"8768",141,145,184,338,403
"10026",141,159,192,351,403
"10030",141,192,323,327,441
"10035",184,327,338,351,441
"10040",159,184,338,351,403
"10043",110,159,184,323,351
"10053",159,192,323,338,403
"10054",141,159,184,351,403
"10062",141,145,184,192,323
"11361",184,323,327,338,441
"11362",159,323,327,338,441
"11363",159,323,327,338,403
"11369",159,327,338,351,403
"11372",141,159,327,351,403
"11373",141,145,159,351,403
"11377",141,145,184,351,403
"11382",145,184,338,351,441
"11963",141,184,323,327,441
"11974",145,184,338,351,403
"11980",110,141,145,184,351
"11985",141,159,184,338,403
"11991",141,184,327,351,441
"11994",141,184,327,338,403
"11996",141,159,327,338,403
"12002",159,192,327,351,403
"12767",141,159,327,338,441
"12773",141,145,159,351,441
"12807",159,192,277,323,403
"17142",145,159,338,351,441
"17146",159,327,338,351,441
