"","V1","V2","V3","V4","V5"
"1489",77,329,337,387,423
"1491",77,329,337,387,409
"1493",77,163,337,387,409
"1494",163,288,337,387,409
"1497",163,288,337,409,423
"1501",163,205,288,329,409
"1502",77,163,205,288,329
"1503",77,163,288,329,337
"1504",77,163,329,337,423
"1508",163,288,329,337,423
"1514",77,329,337,409,423
"1516",77,163,329,337,409
"1519",288,329,337,387,423
"1520",288,329,337,409,423
"1526",77,163,288,329,409
"1529",77,163,288,329,387
"1530",77,163,288,329,423
"1532",337,387,409,423,466
"1533",77,337,387,409,423
"1537",77,288,329,337,423
"1547",163,205,288,387,466
"1549",163,205,288,423,466
"2683",77,98,329,337,409
"2685",77,98,163,337,423
"2687",98,163,288,337,423
"2688",98,163,288,329,423
"2689",163,288,329,409,423
"2696",77,205,337,409,423
"2697",77,98,205,337,409
"2698",77,98,205,329,409
"2701",77,98,163,329,409
"2714",77,205,329,387,409
"2716",77,163,329,387,409
"2730",205,288,337,409,423
"2733",163,329,387,409,423
"2738",77,98,288,329,423
"2740",77,98,329,337,423
"2745",77,98,205,409,466
"2746",77,205,409,423,466
"4687",163,288,329,337,409
"4689",205,288,329,387,409
"4695",205,337,363,387,423
"4699",77,163,337,363,423
"4702",77,163,329,409,423
"4705",205,288,329,409,423
"4711",77,205,288,329,409
"4714",77,163,288,337,423
"4716",77,288,329,337,409
"4720",77,205,288,337,423
"4724",77,205,337,363,423
"4725",77,205,363,409,423
"4726",77,329,363,409,423
"4729",77,288,337,409,423
"4737",77,163,205,288,409
"4739",77,205,363,387,409
"4741",77,205,288,409,423
"4744",77,205,288,337,409
"4747",205,288,337,387,409
"4755",288,387,409,423,466
"5411",163,205,288,337,409
"5416",77,163,288,387,466
"5418",77,163,387,423,466
"5420",77,205,387,423,466
"5422",77,205,363,423,466
"5430",163,288,337,409,466
"5433",163,205,288,409,466
"5441",163,288,387,409,466
"5447",77,337,387,423,466
"5451",77,337,363,409,423
"5454",77,163,337,363,409
"5455",77,163,288,337,409
"5463",205,363,387,423,466
"6193",288,337,387,409,466
"6197",77,288,337,423,466
"6199",77,163,288,423,466
"6200",77,163,363,423,466
"6217",163,387,409,423,466
"6219",77,163,288,337,387
"6223",77,337,363,423,466
