"","V1","V2","V3","V4","V5"
"562",52,85,251,314,431
"563",52,85,251,314,447
"567",52,85,251,418,447
"568",52,251,262,418,447
"570",251,262,418,447,450
"574",251,265,418,447,450
"575",265,364,418,447,450
"578",265,314,364,447,450
"580",85,265,364,447,450
"582",52,85,265,364,450
"584",52,85,158,265,364
"585",52,56,85,158,265
"587",52,85,158,251,418
"589",52,158,251,262,418
"593",52,158,251,262,431
"598",52,85,251,265,447
"601",56,251,262,265,447
"605",52,56,262,265,447
"606",52,56,251,265,447
"609",52,56,158,251,265
"616",56,251,364,418,450
"617",56,158,364,418,450
"1552",52,85,314,431,450
"1555",52,262,314,431,450
"1558",251,262,265,431,450
"1560",251,262,265,447,450
"1564",52,251,262,265,447
"1571",52,85,314,364,431
"1583",262,314,364,447,450
"1585",262,265,364,447,450
"1590",52,251,262,314,447
"1591",52,251,265,314,447
"1593",52,251,265,314,431
"1604",56,158,262,364,418
"3438",52,262,314,447,450
"3440",52,262,265,447,450
"3443",56,262,265,364,447
"3446",56,85,364,418,447
"3449",56,85,251,314,418
"3451",52,85,251,314,418
"3461",52,85,251,431,447
"3463",251,262,364,431,447
"3464",251,262,265,364,447
"3467",52,262,265,364,447
"3476",158,251,262,418,447
"4318",52,85,251,418,431
"4322",52,85,418,447,450
"4325",85,364,418,447,450
"4330",52,251,262,265,431
"4345",251,265,314,364,447
"4349",52,265,314,364,447
"4350",52,265,314,431,447
"4351",52,85,314,431,447
"4359",85,251,314,364,431
"6535",52,85,251,265,431
"6539",52,158,262,265,431
"6542",52,158,262,265,447
"6543",158,262,265,364,447
"6545",251,262,364,418,447
"6558",85,251,265,431,447
"6562",251,262,265,431,447
"6565",52,262,418,447,450
"6568",52,56,262,418,450
"6569",52,158,262,418,450
"6571",52,158,262,418,447
"6576",52,251,265,418,431
"6577",52,56,265,418,431
"7402",52,85,158,265,431
"7406",52,158,265,431,447
"7413",85,158,251,418,447
"7422",52,56,85,418,431
"7433",56,158,262,418,447
"7434",56,158,262,418,450
"7436",56,158,223,418,450
"8066",158,251,262,265,431
"8083",52,85,158,418,431
"8831",52,158,262,314,431
"8834",56,158,251,262,265
"8835",56,251,262,265,364
"8836",56,85,251,265,364
"8838",56,85,251,364,418
"8842",52,56,85,251,418
"8848",52,251,262,314,431
"8860",52,262,364,418,431
"8861",52,56,262,364,418
"8863",56,251,262,364,418
"8864",56,251,262,418,431
"11411",52,251,314,431,447
"11412",56,251,314,431,447
"11414",56,251,265,431,447
"11415",56,251,265,418,447
"11417",52,56,265,418,447
"11422",52,251,314,418,447
"11427",52,251,314,418,431
"11435",52,251,265,418,447
"11436",52,265,364,418,447
"11437",251,265,364,418,447
"11457",52,251,314,364,431
"11464",52,56,251,265,418
"12012",52,262,314,364,431
"12014",52,364,418,431,447
"12017",56,251,364,418,447
"12019",52,56,251,418,447
"12033",52,56,314,418,447
"12037",56,262,364,418,447
"12038",158,251,418,447,450
"12041",52,158,251,447,450
"12042",52,56,158,251,447
"12046",56,158,262,447,450
"16461",56,251,262,418,447
"16466",56,265,364,418,447
"16477",52,251,262,418,431
"16481",52,262,265,364,431
"16502",52,56,251,262,431
"16505",52,56,251,418,431
"17243",52,56,262,418,431
"17247",52,56,262,418,447
"17248",52,56,223,418,447
"17249",56,223,251,418,447
"17257",52,251,262,265,364
"17264",52,265,364,418,431
"17270",52,56,223,364,418
"17271",56,223,251,364,418
"17278",52,251,262,431,447
"17283",52,56,364,418,431
"17284",52,56,251,364,418
"17936",56,85,251,418,447
"17939",52,56,85,418,447
"17943",52,262,265,431,447
"17949",52,85,265,364,431
"17950",85,251,265,364,431
"17954",52,85,251,364,418
"17966",56,85,364,418,431
"19959",52,262,314,364,447
"19963",251,262,314,364,447
"19964",85,251,314,364,447
"19966",85,251,364,418,447
"19969",85,251,364,418,431
