"","V1","V2","V3","V4","V5"
"621",11,264,266,287,356
"625",11,99,264,266,356
"626",11,99,108,264,266
"629",99,108,178,266,440
"630",99,108,178,287,440
"636",99,108,178,264,287
"642",11,108,264,266,287
"645",11,108,178,266,287
"652",99,108,178,264,266
"654",99,178,266,356,440
"655",99,178,287,356,440
"657",11,178,264,287,356
"1876",11,99,287,356,440
"1877",11,99,266,356,440
"1879",11,178,264,266,356
"1884",11,178,266,287,356
"1889",11,99,108,178,266
"1893",11,99,108,264,287
"1895",108,143,178,264,287
"1899",11,108,178,264,266
"1904",11,99,266,287,356
"3855",11,108,178,264,287
"3864",11,94,264,266,287
"3879",11,99,108,178,287
"3890",94,143,243,310,440
"5069",11,108,178,287,440
"5094",99,178,264,266,356
"5097",11,99,264,266,287
"6250",108,178,190,287,440
"6254",11,108,190,287,440
"6256",11,108,190,266,287
"6269",11,99,178,266,356
"6271",99,108,178,190,266
"6274",99,108,178,190,287
"6275",99,178,190,287,356
"6277",11,99,190,287,356
"6282",11,99,190,266,356
"6284",11,190,266,287,356
"6293",94,99,143,356,440
"9540",11,266,287,356,440
"9544",99,190,266,356,440
"9548",8,99,108,190,266
"9550",8,99,108,190,287
"9557",108,178,190,266,356
"9559",11,108,190,266,356
"9561",11,108,266,287,356
"9569",99,108,190,266,440
"9572",11,99,108,190,266
"9574",11,99,108,190,287
"9590",11,108,143,287,356
"10902",99,108,190,287,356
"10904",11,99,108,287,356
"10906",11,99,108,266,356
"10913",11,99,108,266,287
"10920",11,99,178,266,287
"10923",11,108,266,287,440
"10924",11,99,108,266,440
"10932",108,190,266,287,356
"10935",99,108,266,287,356
"10947",99,178,266,287,356
"12401",108,178,190,264,287
"12403",11,190,264,287,356
"12404",11,190,264,266,356
"12406",11,108,190,264,266
"12408",11,108,190,266,440
"12423",108,178,264,266,287
"12434",8,94,143,178,440
"13588",178,266,287,356,440
"13591",99,178,264,287,356
"13599",99,108,190,264,266
"13603",99,108,190,264,287
"13611",99,190,266,287,356
"13630",99,108,264,266,287
"13638",99,190,264,266,287
"13641",99,108,190,266,287
"17816",11,178,190,287,356
"17817",11,178,190,266,356
"17839",99,264,266,287,356
"18462",11,99,178,287,356
"18464",11,143,178,266,356
"18480",99,108,190,266,356
"22641",99,108,143,190,264
"22643",108,143,178,190,264
"22650",11,99,264,287,356
"22658",99,190,264,287,356
"22663",108,143,190,264,287
"22664",143,190,264,287,356
"22665",143,190,264,287,440
"22669",94,143,178,243,440
"22670",94,143,178,243,310
"24055",11,190,287,356,440
"24059",11,108,190,264,287
"24065",99,108,143,178,264
"24080",143,178,190,264,287
"24086",11,178,190,264,287
"24089",11,99,178,264,287
"25919",99,190,264,266,356
"25928",108,178,190,266,287
"25940",11,94,99,266,287
"25965",94,99,143,264,440
"26615",108,178,190,264,266
"26617",11,108,143,178,190
"26620",11,108,143,178,266
"26623",11,99,143,266,356
"26626",11,99,266,310,356
"26631",99,108,178,266,356
"26641",11,99,178,264,266
"27261",11,99,178,190,266
"27267",99,178,264,266,287
"27270",99,178,190,264,266
"27281",94,143,190,287,440
"27283",94,99,143,190,440
"28103",11,108,178,190,266
"28110",11,108,190,287,356
"28121",99,108,178,266,287
"29027",94,143,190,264,440
"29028",94,143,190,243,440
"31688",99,190,287,356,440
"31700",108,190,264,266,287
"32765",94,99,143,243,440
"33846",99,190,264,266,440
"35612",99,266,287,356,440
