"","V1","V2","V3","V4","V5"
"1649",7,124,165,263,344
"1654",7,116,155,263,304
"1656",7,17,116,155,304
"1659",73,116,155,304,451
"1661",73,116,165,304,451
"1664",124,165,263,344,451
"1669",7,17,124,165,344
"1670",7,17,124,155,344
"1673",7,124,155,263,344
"1683",7,116,155,263,344
"1687",7,116,155,165,304
"1688",116,124,155,165,304
"1689",116,124,165,263,304
"1694",7,124,155,165,344
"1700",7,17,155,286,451
"1703",17,73,278,286,451
"4810",124,155,263,344,451
"4811",116,155,263,344,451
"4815",116,155,263,304,451
"4816",73,155,165,304,451
"4817",7,73,155,165,304
"4819",7,17,73,165,304
"4820",7,17,124,165,304
"4833",124,165,263,304,451
"4837",116,124,155,263,304
"4841",116,155,165,304,451
"4845",7,17,116,263,304
"4848",7,17,116,263,344
"4850",7,17,73,263,344
"4857",7,17,73,263,286
"7444",7,17,73,124,344
"7450",7,73,116,165,304
"7454",17,73,116,304,344
"7457",17,73,116,286,344
"7460",17,73,124,286,344
"7465",73,124,165,286,344
"7466",73,124,165,286,304
"7476",7,17,73,304,451
"7479",7,73,304,395,451
"7480",73,116,304,395,451
"7484",116,165,286,395,451
"7487",7,116,165,286,395
"7495",7,17,73,124,304
"7501",17,55,73,278,286
"8128",17,116,155,304,451
"8139",17,116,124,155,304
"8144",116,155,165,263,304
"8149",7,116,165,263,304
"8151",7,124,263,304,344
"8156",17,116,165,263,344
"8875",7,17,124,263,344
"8878",7,73,116,263,304
"8886",116,165,263,304,451
"8897",17,73,263,304,344
"8904",7,116,263,304,344
"8907",116,263,304,344,451
"8910",17,73,116,304,451
"10067",116,124,155,263,344
"10075",17,73,155,304,451
"10078",17,73,124,263,304
"10079",17,73,124,263,344
"10082",17,124,165,263,344
"10085",124,155,263,304,344
"10087",155,263,304,344,451
"10092",116,124,165,263,344
"10098",17,155,263,304,451
"10099",17,155,165,304,451
"10102",17,124,155,165,304
"10104",17,124,165,263,304
"10107",17,124,155,263,344
"10109",124,155,165,263,344
"10113",17,55,73,263,286
"10599",116,155,263,278,304
"10600",116,155,165,278,304
"10603",116,165,304,344,451
"10605",165,263,304,344,451
"10607",165,263,344,395,451
"10610",124,165,263,344,395
"10611",124,165,263,304,395
"10612",124,155,263,304,395
"10616",124,155,165,263,395
"10625",17,155,165,263,304
"10626",17,124,155,304,344
"10632",124,165,263,304,344
"10642",17,73,116,286,395
"11484",17,124,165,304,451
"11502",7,73,155,263,344
"11504",7,73,155,263,304
"11508",73,155,263,304,451
"11510",155,165,304,344,451
"11524",17,155,165,263,344
"12463",124,155,263,304,451
"12471",7,124,155,263,304
"12474",17,116,155,263,304
"12480",17,73,116,304,395
"12483",17,73,165,278,395
"13977",116,155,304,395,451
"13981",17,116,165,304,451
"13982",17,116,165,344,451
"13984",17,124,165,344,451
"13995",7,116,165,263,344
"13996",7,116,263,344,395
"13997",116,263,344,395,451
"13998",116,263,304,395,451
"14000",116,165,304,395,451
"14001",17,116,304,395,451
"14003",17,73,304,395,451
"14009",17,55,73,116,395
"15070",116,155,165,344,451
"15071",116,124,155,165,344
"15073",17,116,124,165,344
"15096",17,116,263,304,451
"15100",7,17,165,263,344
"15102",7,165,263,304,344
"17285",7,124,165,263,286
"17300",7,124,165,263,304
"17304",7,17,124,165,263
"17306",7,17,165,263,451
"17307",7,17,263,395,451
"17308",7,124,263,286,395
"17311",7,116,263,304,395
"17324",73,116,286,395,451
"17329",17,73,116,278,286
"18496",7,116,155,304,395
"18516",7,155,263,344,451
"18522",7,165,263,304,451
"18524",55,165,263,304,451
"18526",17,55,165,304,451
"18527",17,55,304,395,451
"19206",7,165,263,344,451
"19215",17,116,155,278,304
"19217",17,116,155,278,344
"19225",17,116,263,278,304
"19229",7,17,263,344,451
"19254",7,155,263,304,451
"19257",7,17,278,304,395
"19260",7,17,73,278,395
"19263",17,55,73,278,395
"20013",116,124,165,304,395
"20029",124,155,165,263,304
"20044",116,155,344,395,451
"20056",7,155,165,263,344
"21005",124,165,344,395,451
"21006",7,124,165,344,395
"21027",116,165,344,395,451
"21030",116,165,263,344,451
"21042",17,73,278,304,395
"22681",17,116,278,304,395
"22686",17,165,278,344,451
"22688",7,17,165,344,451
"22701",7,17,116,304,395
"22702",7,116,286,304,395
"22703",116,165,263,278,344
"22705",17,116,165,278,304
"22709",17,55,278,304,395
"23342",116,155,278,304,395
"23345",17,116,165,278,344
"23346",7,17,116,165,344
"23370",7,17,304,344,451
"24178",7,116,165,344,395
"24193",55,116,155,304,395
"24195",17,55,116,304,395
"24198",17,55,278,286,395
"25189",7,155,165,304,451
"25192",7,155,304,395,451
"25199",155,165,263,304,395
"25200",155,304,344,395,451
"25204",155,165,344,395,451
"25208",7,165,263,344,395
"25209",7,165,263,304,395
"25228",7,263,344,395,451
"25231",263,278,344,395,451
"25234",17,55,116,278,395
"26645",124,165,263,286,451
"26648",124,155,263,286,451
"26651",116,124,155,286,395
"26653",116,124,155,304,395
"26659",116,155,278,286,395
"26661",116,155,263,278,286
"26664",165,263,278,286,451
"26668",17,124,165,286,451
"26670",17,124,155,286,451
"26674",17,124,286,395,451
"26675",17,124,304,395,451
"26692",17,116,263,278,286
"26693",17,116,278,286,395
"26695",17,55,73,286,395
"29360",124,263,344,395,451
"29364",7,124,263,344,395
"29383",17,155,263,344,451
"29384",17,155,165,344,451
