"","V1","V2","V3","V4","V5"
"667",97,151,253,294,378
"668",82,97,253,294,378
"669",82,83,253,294,378
"673",44,82,83,91,253
"675",44,82,83,91,151
"678",44,71,82,83,91
"680",44,71,82,91,97
"682",44,71,91,97,151
"687",15,44,91,97,151
"688",15,44,97,151,378
"691",91,97,151,294,378
"694",91,97,253,294,378
"695",44,91,97,253,294
"699",44,97,151,294,378
"702",44,91,97,151,294
"706",44,71,82,91,253
"711",44,82,91,97,151
"717",44,91,97,151,378
"724",44,82,91,151,294
"1605",83,97,151,294,378
"1612",82,91,97,253,294
"1613",44,82,91,97,253
"1624",44,97,151,253,378
"1629",15,83,97,294,378
"1636",82,91,97,253,378
"1638",44,82,91,151,253
"1641",44,83,91,253,294
"1646",15,83,91,253,294
"1647",15,83,104,253,294
"1648",15,83,104,294,312
"2989",83,151,253,294,378
"2990",82,151,253,294,378
"2992",82,91,151,253,378
"3007",44,83,91,151,378
"3010",83,91,151,253,378
"3011",83,91,151,294,378
"3018",44,82,83,91,378
"3029",44,91,151,253,378
"3032",15,44,91,253,312
"3035",15,44,83,104,312
"4361",15,44,151,253,378
"4364",15,44,82,253,378
"4367",15,82,83,91,378
"4368",82,83,91,294,378
"4372",44,82,83,91,294
"4375",44,82,91,253,294
"4377",44,91,151,253,294
"4379",44,151,253,294,378
"4381",44,82,253,294,378
"4397",44,83,91,151,294
"4398",82,83,91,151,294
"4401",82,83,91,104,294
"4405",82,91,104,151,253
"4406",82,83,91,104,151
"4411",82,91,104,151,294
"4763",1,15,151,253,378
"4764",1,44,151,253,378
"4766",1,44,83,151,378
"4768",1,44,82,83,378
"4770",44,71,82,83,378
"4774",44,71,82,151,253
"4776",44,82,151,253,294
"4783",1,151,253,294,378
"4785",1,44,253,294,378
"4787",1,44,83,294,378
"4788",44,83,151,294,378
"4793",15,44,82,151,378
"4795",15,44,82,151,294
"4797",44,82,83,294,378
"4801",44,82,83,151,378
"4806",44,82,151,253,378
"5465",15,83,97,151,378
"5469",44,83,97,151,378
"5473",44,82,97,253,378
"5484",44,83,97,294,378
"5488",82,83,97,294,378
"5500",44,82,83,253,378
"5508",44,82,97,151,378
"5518",1,82,83,294,378
"6310",82,97,151,294,378
"6314",15,97,151,253,378
"6973",15,71,83,97,378
"6975",44,71,97,253,378
"6985",44,82,83,104,253
"6987",44,82,83,97,104
"6988",44,71,82,97,104
"6989",71,82,97,104,294
"6991",71,82,97,294,378
"6993",44,71,97,294,378
"6995",1,44,71,294,378
"7002",71,83,97,294,378
"7003",71,97,253,294,378
"7009",1,44,82,97,378
"7012",1,44,82,253,378
"7018",1,44,97,294,378
"7025",44,71,104,294,378
"7038",44,83,253,294,378
"7753",44,82,97,104,253
"7754",1,44,82,104,253
"7755",44,82,104,151,253
"7756",44,82,97,104,151
"7763",1,97,151,294,378
"12054",44,82,91,253,378
"12057",1,44,82,91,378
"12059",1,44,82,83,91
"12093",15,82,83,104,294
"13254",82,91,97,104,151
"13259",91,97,104,151,378
"13261",82,97,104,253,378
"13263",82,97,104,151,378
"13265",97,104,151,294,378
"13273",82,97,104,294,378
"13275",82,104,253,294,378
"13276",82,91,104,253,378
"13279",44,82,91,104,253
"13280",44,82,91,97,104
"13290",82,91,97,151,378
"14190",1,44,91,253,378
"14195",1,44,91,104,253
"14196",1,44,91,97,104
"14197",44,91,97,104,151
"14212",71,104,253,294,378
"14214",71,97,151,294,378
"14216",83,91,97,294,378
"14218",44,83,91,97,294
"14220",44,83,91,97,104
"14222",44,83,91,104,253
"14223",44,91,104,151,253
"14227",44,83,91,104,151
"14233",44,71,91,104,253
"14235",44,71,104,253,294
"14238",15,71,104,294,312
"14244",1,15,104,294,312
"16115",44,82,91,97,294
"16118",82,91,97,151,294
"16125",44,82,151,294,378
"16133",44,91,97,253,378
"16821",44,82,91,97,378
"16844",44,91,151,294,378
"18716",91,97,151,253,294
"18717",44,91,97,151,253
"18721",44,97,104,151,253
"18724",44,82,104,253,294
"18726",44,82,97,104,294
"18734",82,91,151,253,294
"18771",15,82,97,104,294
"18773",1,15,104,253,294
"22897",82,91,97,104,378
"22900",44,82,97,104,378
"22905",44,82,97,294,378
"24125",1,82,91,97,378
"24150",44,82,91,151,378
"24151",1,44,82,151,378
"24156",1,82,91,151,378
"24159",1,44,91,151,378
"25161",15,82,91,97,378
"25165",15,91,151,294,378
"25174",15,44,91,151,253
"25178",15,44,91,104,151
"25179",15,44,83,91,104
"25180",1,15,83,91,104
"25181",1,15,83,104,294
"26930",1,15,97,294,378
"26932",15,97,253,294,378
"26934",15,44,97,253,378
"26935",15,44,91,97,378
"26946",1,91,97,294,378
"26947",1,91,151,294,378
"26953",1,15,44,253,378
"26955",1,15,44,91,253
"26959",44,97,104,151,378
"26961",1,44,97,151,378
"27651",1,91,97,151,294
"27672",91,151,253,294,378
"27676",1,91,104,151,294
"27687",44,83,91,104,294
"27690",44,91,97,104,294
"29046",91,97,151,253,378
"29049",44,83,151,253,378
"29059",82,83,91,151,378
"29064",82,83,91,97,104
"29067",1,82,83,91,104
"32023",44,97,253,294,378
"32029",44,83,91,253,378
"32031",44,82,83,91,97
"32036",82,83,91,97,378
"32041",1,82,253,294,378
"32043",15,82,253,294,378
"32052",1,44,91,97,294
"32054",1,44,91,253,294
"32055",1,44,82,91,253
"32056",1,44,82,91,97
"32059",1,82,97,294,378
"32076",44,91,97,294,378
"32772",15,44,83,253,378
"32775",15,44,91,97,253
"32778",15,44,83,91,97
"32779",44,83,91,97,378
"32792",15,91,97,253,378
"32796",15,44,83,91,253
"32799",15,44,82,91,253
"32807",44,82,83,97,378
"32810",15,83,91,97,378
"32817",15,91,253,294,378
"33308",83,91,97,151,378
"33315",15,91,97,151,378
"33319",15,82,83,91,97
"33347",15,83,91,151,378
"35902",1,82,151,253,378
"35907",1,82,83,91,378
"35910",44,83,91,151,253
"35917",15,82,151,253,378
"35918",15,82,83,151,378
"35922",1,15,83,151,378
"35924",1,15,82,151,378
"35925",1,15,82,91,378
"35927",1,15,44,82,91
"35928",15,44,82,91,151
"36615",82,91,97,294,378
"36616",82,91,253,294,378
"40280",15,83,91,253,378
"40282",15,91,151,253,294
"40283",15,91,97,151,294
"40290",15,97,104,151,378
"40293",1,91,97,151,378
"40303",15,83,91,97,151
"42173",44,83,91,97,151
"42182",1,91,97,104,151
"42869",1,82,91,97,104
"42884",83,91,97,151,294
"42894",82,83,91,104,253
"42897",44,83,97,104,151
"42898",83,91,97,104,151
"43939",82,83,91,253,378
"43947",1,15,91,97,378
"43952",1,91,253,294,378
"43957",1,15,253,294,378
"43959",1,82,91,253,378
"43972",1,44,91,97,378
"43976",1,15,44,91,97
"43981",15,44,82,253,294
"47179",15,82,83,97,378
"47183",15,82,83,253,378
"47184",82,83,91,151,253
"47186",71,82,83,91,151
"47188",71,82,91,97,151
"47192",71,91,97,151,378
"47197",1,15,91,151,378
"47207",71,82,91,151,253
"47735",1,83,91,151,378
"47741",44,82,104,253,378
"47755",1,82,104,151,378
"47757",1,71,82,104,378
"47758",1,91,151,253,378
"47764",44,82,83,104,378
"47766",44,82,83,91,104
"48664",83,97,104,151,378
"48666",82,83,97,104,378
"48676",1,82,91,104,253
"48690",83,91,97,104,378
"49605",15,82,97,104,151
"49607",15,82,83,97,104
"49608",15,82,83,104,253
"49613",82,83,91,97,151
"49615",15,83,97,104,151
"49620",1,15,91,97,151
"49622",1,15,97,104,151
"49627",71,82,91,97,104
"49630",71,82,83,91,104
"49632",15,82,83,91,104
"49636",15,91,97,104,151
"49640",1,15,71,82,83
"49641",1,71,82,83,104
"49644",1,15,71,83,104
"52911",1,97,104,151,378
"52950",1,15,82,83,104
"53745",82,83,91,253,294
"53776",15,83,91,104,294
"54753",82,83,91,97,294
"54764",83,104,151,253,378
"55542",1,83,104,151,378
"55545",82,83,104,151,378
"55553",15,82,83,91,294
"55554",15,83,91,151,294
"55558",83,91,104,151,378
"55560",91,104,151,253,378
"55566",15,91,104,151,253
"55567",1,15,104,151,378
"55575",15,83,91,294,378
"55576",15,91,104,253,294
"55578",91,104,151,253,294
"56765",15,83,97,104,378
"56773",1,71,97,294,378
"56774",1,71,97,104,294
"56775",1,71,83,104,294
"56778",1,15,83,104,378
"56787",1,15,83,97,294
"56791",83,97,104,294,378
"56793",1,83,104,294,378
