"","V1","V2","V3","V4","V5"
"781",79,115,273,389,435
"784",47,79,115,273,347
"786",47,79,273,347,380
"788",47,79,242,347,380
"789",47,115,242,347,380
"790",47,115,242,273,347
"791",115,242,273,347,435
"792",79,242,273,347,435
"793",79,242,273,389,435
"795",79,115,242,389,435
"799",79,115,242,273,435
"804",47,79,115,242,273
"807",79,115,273,347,435
"814",47,230,242,347,380
"820",47,79,242,273,347
"2294",115,242,380,389,435
"2296",115,242,273,389,435
"2312",115,242,347,380,435
"2326",45,47,230,362,469
"5826",115,230,273,389,435
"5828",115,230,273,347,435
"5832",47,115,230,273,347
"5834",45,47,115,273,347
"5835",45,47,115,242,347
"5836",45,47,242,273,347
"5841",45,242,273,347,435
"5844",45,115,242,347,435
"5845",45,115,242,389,435
"5849",115,230,242,389,435
"5853",45,115,273,389,435
"5859",230,242,273,347,435
"5864",45,47,242,347,362
"5871",47,115,230,242,273
"5874",115,230,242,273,435
"7105",47,79,115,242,347
"7106",47,242,273,347,362
"7108",242,273,347,362,435
"7117",115,242,362,389,435
"7122",47,115,242,273,389
"7126",47,79,242,347,362
"7139",45,242,362,435,469
"7140",45,47,242,362,469
"11568",47,79,115,273,389
"11571",79,242,273,347,389
"11576",79,242,347,380,389
"11577",115,230,242,347,380
"11582",79,115,242,380,389
"11583",79,115,273,380,389
"11588",47,79,242,273,389
"11590",47,79,242,273,380
"11591",79,242,273,380,389
"11600",242,273,347,380,389
"11601",79,115,242,347,389
"12814",79,242,273,330,347
"12815",115,242,330,347,380
"12817",47,115,230,242,380
"12826",79,115,242,273,389
"12838",79,230,242,347,380
"14305",230,242,330,347,380
"14306",79,230,242,330,380
"14317",115,242,273,347,389
"14323",79,115,273,330,347
"14325",242,273,330,347,380
"14345",79,115,242,273,347
"15183",79,115,242,273,330
"15186",79,115,242,330,380
"15195",115,273,347,380,389
"15196",79,115,273,347,389
"15205",79,115,273,330,389
"15209",115,242,273,330,347
"15212",230,242,273,330,347
"15838",47,115,273,380,389
"15840",47,115,273,347,380
"15846",230,242,273,347,380
"15847",115,230,242,347,362
"15860",47,242,273,347,380
"15879",47,115,242,273,380
"15881",47,115,242,362,380
"16618",115,242,347,380,389
"16625",230,242,273,347,389
"16627",115,230,273,347,389
"16629",47,115,230,273,389
"16648",230,242,347,380,389
"17397",47,242,273,380,389
"17412",115,230,242,347,389
"18044",230,273,330,347,380
"18046",47,230,273,380,389
"18082",45,47,115,242,362
"18084",45,230,242,330,362
"20646",115,230,242,380,389
"20647",115,230,273,380,389
"20654",47,115,230,242,389
"20668",47,115,230,347,380
"21298",47,273,380,389,469
"21299",47,115,273,389,469
"21304",47,115,242,389,469
"21308",45,47,115,273,380
"21313",45,115,242,330,380
"21314",45,47,115,242,273
"21322",47,115,242,380,389
"24217",79,273,347,380,435
"24245",115,242,273,380,435
"24802",115,273,380,389,435
"24803",115,273,347,380,435
