"","V1","V2","V3","V4","V5"
"3519",138,156,189,206,326
"3521",69,138,156,189,206
"3523",57,69,70,138,189
"3527",57,69,70,216,274
"3530",57,69,70,156,216
"3531",57,69,70,156,206
"3532",69,70,138,156,206
"3535",69,156,189,206,274
"3538",156,189,206,274,326
"3539",189,206,216,274,326
"3540",70,189,216,274,326
"3541",57,70,189,216,326
"3543",70,156,189,216,326
"3545",69,70,156,189,216
"3546",69,156,189,216,305
"3548",70,138,156,189,326
"3550",69,70,156,189,274
"3552",57,69,70,189,274
"3558",57,69,70,138,305
"3561",57,69,138,216,305
"3565",69,70,138,189,216
"3568",70,138,189,206,216
"3570",70,156,189,206,216
"3572",69,70,138,189,206
"3576",189,229,274,305,326
"4864",69,70,138,156,189
"4867",57,69,70,156,189
"4871",57,69,70,138,216
"4876",69,138,156,206,216
"4878",70,138,156,189,206
"4883",57,69,138,189,206
"4886",57,138,189,206,326
"4900",57,70,156,189,206
"8974",57,69,70,216,465
"8977",69,70,138,206,465
"8980",69,138,206,216,465
"8982",138,156,206,216,326
"9004",57,70,216,229,465
"9005",57,70,156,206,229
"9006",70,156,189,206,229
"9009",69,70,156,189,206
"9020",70,138,189,206,229
"10656",70,138,156,206,326
"10665",70,138,189,206,465
"10676",57,69,70,189,465
"10680",69,70,156,216,465
"10681",69,70,216,274,465
"10684",57,69,138,206,216
"10687",57,138,206,216,326
"10689",57,216,229,326,465
"10694",229,274,305,326,465
"12485",57,156,189,206,326
"12489",57,70,156,206,326
"12494",69,70,229,274,465
"12495",70,189,216,274,465
"12496",57,70,189,216,465
"12497",57,70,156,189,216
"12502",57,189,206,326,465
"12503",57,189,206,274,326
"12505",57,70,189,206,274
"12517",69,70,156,216,274
"12523",69,70,156,206,274
"12525",70,156,189,206,326
"13306",57,70,156,216,326
"13314",70,156,189,206,274
"13328",57,70,189,206,216
"13334",57,69,70,138,206
"13336",57,69,156,189,206
"14251",69,70,138,189,274
"14253",69,70,189,274,465
"14256",69,70,206,274,465
"14260",69,70,138,206,216
"14261",69,70,138,216,229
"14264",69,138,189,216,229
"14267",69,138,189,206,216
"14269",69,189,206,216,465
"14280",69,70,189,216,465
"14283",69,70,206,216,465
"14286",70,138,206,216,229
"14292",57,69,138,189,229
"15113",138,189,206,274,326
"15121",57,69,70,305,465
"15126",69,138,189,206,274
"15130",138,189,206,216,326
"15138",69,70,138,189,305
"15140",69,70,138,229,305
"15142",70,138,189,274,326
"15144",57,70,138,189,326
"15149",57,70,189,305,465
"15150",57,69,70,206,465
"15153",69,70,274,305,465
"15155",69,189,274,305,465
"15156",69,138,189,274,305
"15159",57,69,138,189,305
"15166",57,70,138,189,305
"16527",69,138,206,274,305
"16532",57,70,138,189,206
"16547",57,69,206,305,465
"16550",69,206,274,305,465
"16556",69,206,216,274,465
"16557",206,216,274,326,465
"16558",216,229,274,326,465
"17352",70,138,189,206,274
"17366",57,70,206,274,305
"17367",70,138,206,274,305
"19310",69,70,138,189,465
"19319",57,69,206,274,305
"19321",57,69,70,206,274
"19324",57,69,70,229,274
"19326",57,69,189,229,274
"19329",138,189,229,274,326
"19337",57,138,189,305,326
"19347",57,70,229,274,326
"19348",57,70,229,326,465
"19349",57,70,189,326,465
"20071",57,70,138,305,326
"20073",57,69,70,216,305
"20075",57,69,206,216,305
"20076",69,206,216,305,465
"20077",69,138,206,216,305
"20083",69,138,189,206,305
"20102",138,206,216,274,326
"20103",138,189,206,216,274
"20108",57,138,189,206,216
"20110",57,70,138,189,216
"21065",57,70,189,206,465
"21078",57,70,189,274,326
"21093",69,206,229,274,305
"21094",69,216,229,274,305
"22713",189,206,274,326,465
"22720",57,69,70,189,216
"22724",69,70,216,305,465
"22728",70,216,274,305,326
"22729",70,206,216,274,326
"22733",70,189,206,274,326
"22734",57,70,189,206,326
"22735",57,189,206,216,326
"22738",57,70,216,305,326
"22741",57,70,274,305,326
"22743",57,69,274,305,326
"22744",57,216,274,305,326
"22747",57,189,274,305,326
"22748",57,69,189,274,305
"22750",57,69,189,216,229
"22752",69,189,216,229,465
"22756",69,206,216,229,465
