"","V1","V2","V3","V4","V5"
"1907",42,161,211,358,446
"1908",42,157,161,358,446
"1914",157,195,324,358,446
"1915",157,195,324,358,393
"1917",122,157,195,324,393
"1925",42,122,157,195,446
"1928",42,122,161,211,446
"1939",42,157,195,358,446
"1943",157,161,324,358,393
"1944",50,157,324,358,393
"1945",42,50,157,324,393
"1949",42,50,122,324,446
"1951",42,122,161,358,446
"1954",42,122,195,358,446
"1959",42,161,324,358,446
"3579",42,195,211,358,446
"3584",42,157,195,358,393
"3586",42,157,195,324,393
"3589",157,195,324,393,419
"3590",157,161,324,393,419
"3595",161,211,324,358,446
"3604",42,122,195,358,393
"3611",42,195,211,358,393
"3613",122,195,324,358,393
"3618",122,195,324,358,446
"3619",122,195,324,393,446
"3622",42,122,195,324,446
"3623",42,122,161,324,446
"5782",157,161,324,358,446
"5788",50,157,358,393,419
"5789",50,157,340,393,419
"5791",50,157,393,419,446
"5792",50,122,340,393,419
"5795",122,161,324,340,446
"5796",122,161,324,358,446
"5804",161,211,340,358,446
"5805",161,211,340,358,419
"5808",161,324,340,358,446
"5812",161,324,340,358,393
"5816",50,340,358,393,419
"5818",50,211,340,393,419
"5825",122,211,340,393,419
"7504",161,211,358,419,446
"7505",122,161,358,419,446
"7515",122,195,324,340,393
"7519",195,211,324,340,393
"7520",161,211,324,340,393
"7521",161,211,324,340,446
"7528",195,211,358,419,446
"7530",122,195,211,419,446
"7532",122,195,211,324,446
"7538",122,195,358,393,419
"7544",122,195,324,340,446
"7546",122,195,358,419,446
"8495",161,211,358,393,419
"8497",161,211,324,393,419
"8498",195,211,324,393,419
"8515",122,161,340,419,446
"8520",122,161,358,393,419
"8521",122,161,324,393,419
"8523",122,195,324,393,419
"8535",50,157,324,340,393
"10952",42,122,161,358,393
"10963",42,122,195,324,393
"10967",42,195,324,358,446
"10969",42,161,324,419,446
"10974",42,122,161,419,446
"10976",122,161,324,419,446
"10977",122,195,324,419,446
"10980",42,195,211,324,393
"10981",42,195,211,324,446
"10991",50,324,340,393,419
"12534",42,161,358,393,419
"12538",42,211,358,393,419
"12539",122,211,393,419,446
"12548",42,122,211,358,446
"12551",42,211,340,358,446
"12559",161,358,393,419,446
"12560",42,161,393,419,446
"12563",42,161,358,393,446
"12565",42,161,358,419,446
"14016",42,122,161,393,419
"14017",42,122,203,393,419
"14018",42,122,203,393,446
"14019",203,324,358,393,419
"14022",161,324,358,419,446
"14029",42,122,161,340,446
"14030",42,161,211,340,446
"14042",203,211,324,393,419
"14044",42,203,211,324,393
"14668",42,122,203,358,446
"14672",42,50,358,419,446
"14673",50,324,358,419,446
"14675",122,324,358,393,419
"14676",122,324,340,393,419
"14682",42,122,324,358,446
"14683",42,324,358,419,446
"14686",42,122,324,419,446
"14688",42,203,324,419,446
"14689",42,203,358,419,446
"14691",42,50,358,393,446
"14696",42,50,324,393,446
"14697",42,50,324,393,419
"14699",42,122,324,393,419
"14702",122,358,393,419,446
"14704",42,358,393,419,446
"15368",42,50,122,358,446
"15371",42,50,122,419,446
"15372",42,50,324,419,446
"15377",42,324,358,393,419
"15380",42,324,358,393,446
"15381",324,358,393,419,446
"15382",122,324,358,393,446
"15386",42,122,324,393,446
"15391",42,324,340,393,446
"15394",42,50,324,358,446
"15400",122,324,393,419,446
"15410",324,340,358,393,419
"16569",161,324,358,393,419
"16570",42,161,324,358,393
"16584",42,122,161,393,446
"16598",42,50,324,358,393
"16601",42,324,393,419,446
"20260",122,211,324,393,419
"20261",122,211,324,393,446
"20265",122,161,340,393,446
"20279",161,211,324,393,446
"20284",122,211,340,393,446
"20288",122,161,393,419,446
"20290",122,340,393,419,446
"21098",161,211,340,419,446
"21100",161,211,340,393,446
"21123",161,211,393,419,446
"21124",161,211,340,393,419
"21126",161,340,393,419,446
"21862",50,211,324,393,419
"21863",50,211,324,340,393
"21865",50,211,340,393,446
"21873",161,211,324,419,446
"21885",50,211,393,419,446
"23468",128,161,358,393,446
"23472",128,211,340,358,393
"23473",211,340,358,393,419
"23474",128,211,358,393,419
"23484",161,340,358,419,446
"23486",128,161,340,358,446
"23487",128,211,340,358,446
"23488",128,211,358,393,446
"23490",128,340,358,393,446
"23508",128,161,358,419,446
"23512",50,128,340,393,419
"24764",157,211,393,419,446
"24765",157,211,358,393,446
"24766",122,211,358,393,446
"24767",122,161,358,393,446
"24773",122,161,340,358,446
"24781",122,161,340,393,419
"24782",157,161,340,393,419
"24784",161,340,358,393,419
"24787",211,340,358,393,446
"24795",161,340,358,393,446
"25509",122,128,358,393,419
"25516",211,340,393,419,446
"25518",122,128,340,393,419
"25520",128,211,340,393,419
"26741",128,195,324,340,393
"26742",128,195,324,393,446
"26743",128,195,324,358,393
"26746",128,195,358,393,446
"26753",161,324,340,419,446
"26759",122,128,393,419,446
"26766",195,324,358,393,446
"26768",128,195,324,358,446
"26769",122,128,324,358,446
"26771",122,324,358,419,446
"27333",157,161,324,419,446
"27339",157,195,358,393,446
"27340",122,195,358,393,446
"27349",157,161,340,419,446
"27351",157,195,340,419,446
"27354",157,324,340,419,446
"27364",157,195,324,340,393
"27372",161,324,358,393,446
"29114",122,157,358,419,446
"29118",42,122,157,419,446
"29120",42,122,157,393,419
"29121",42,157,324,358,393
"29123",42,195,324,358,393
"29128",157,324,358,393,446
"29129",157,358,393,419,446
"29130",122,157,393,419,446
"29132",50,122,393,419,446
"29136",42,122,195,419,446
"29139",42,50,157,419,446
"29140",42,50,157,393,419
"29141",42,50,157,340,393
"29142",42,157,195,340,393
"29145",157,195,340,393,446
"29148",122,157,340,393,446
"29149",42,122,157,340,446
"29150",42,122,195,340,446
"29153",42,122,195,393,446
"30173",195,324,393,419,446
"30179",122,161,324,393,446
"30194",50,122,324,419,446
"30197",122,195,340,419,446
"30198",195,324,340,419,446
"30204",161,324,393,419,446
"30216",122,195,393,419,446
"30225",195,340,393,419,446
"30888",42,161,195,419,446
"30892",42,161,195,393,419
"30894",42,122,195,393,419
"30896",42,195,324,393,419
"30911",161,195,340,419,446
"30912",161,195,324,419,446
"30913",42,161,195,324,446
"30920",42,122,161,324,393
"30927",128,161,340,393,419
"31788",42,161,195,324,393
"31790",161,324,340,393,446
"31796",50,128,324,340,393
"33417",161,195,358,419,446
"33446",122,195,340,358,393
"33451",122,128,157,358,393
"33452",50,128,157,358,393
"33453",50,128,157,340,393
"34450",42,122,161,340,393
"34452",42,122,195,340,393
"34455",157,195,393,419,446
"34458",157,161,393,419,446
"34461",42,157,161,419,446
"34467",157,161,358,419,446
"36807",42,157,195,393,419
"36822",42,122,358,393,446
"36823",42,195,358,393,446
"36826",42,195,358,393,419
"36837",42,161,324,393,419
"36838",42,161,324,393,446
"36847",42,195,358,419,446
"36850",128,161,358,393,419
"37489",50,157,324,393,419
"37491",50,324,358,393,419
"37514",157,324,358,393,419
"37516",157,324,358,419,446
"39765",42,122,157,358,393
"39785",42,122,128,195,446
"39811",122,157,340,393,419
"39812",122,128,157,340,393
"40420",42,161,314,358,446
"40423",42,161,314,358,393
"40425",42,195,314,393,419
"40446",42,195,314,358,446
"40447",42,195,314,358,393
"40449",195,314,393,419,446
"40453",42,195,314,393,446
"40463",128,157,314,340,393
"41751",42,161,314,419,446
"41752",42,195,314,419,446
"41753",42,195,314,340,446
"41755",42,195,314,340,393
"41772",42,122,161,314,446
"41791",161,314,393,419,446
"41799",157,314,340,393,419
"43640",14,42,161,314,446
"43643",14,42,195,314,393
"43649",14,195,314,393,446
"43650",14,195,314,419,446
"43660",161,314,358,419,446
"43670",14,42,122,195,393
"43675",42,122,194,340,393
"43676",42,157,194,340,393
"43677",157,194,340,393,419
"43996",42,161,314,393,419
"43997",42,194,314,393,419
"44021",42,122,314,393,446
"44023",42,314,358,393,446
"44024",42,161,314,393,446
"45850",14,161,314,419,446
"45851",14,122,161,419,446
"45852",14,122,195,393,419
"45853",14,122,161,393,419
"45862",14,42,195,314,446
"45873",14,122,195,419,446
"45877",195,314,358,393,419
"45880",195,314,358,393,446
